REF_DATE,GEO,Number_of_Households,Housing completions,Housing starts,Housing under construction,House only NHPI,Land only NHPI,Total (house and land) NHPI
1976-01-01,Alberta,586.0,,,,,,
1976-01-01,British Columbia,851.0,,,,,,
1976-01-01,Manitoba,332.0,,,,,,
1976-01-01,New Brunswick,194.0,,,,,,
1976-01-01,Newfoundland and Labrador,133.0,,,,,,
1976-01-01,Nova Scotia,245.0,,,,,,
1976-01-01,Ontario,2682.0,,,,,,
1976-01-01,Prince Edward Island,33.0,,,,,,
1976-01-01,Quebec,1943.0,,,,,,
1976-01-01,Saskatchewan,295.0,,,,,,
1976-02-01,Alberta,586.0,,,,,,
1976-02-01,British Columbia,851.0,,,,,,
1976-02-01,Manitoba,332.0,,,,,,
1976-02-01,New Brunswick,194.0,,,,,,
1976-02-01,Newfoundland and Labrador,133.0,,,,,,
1976-02-01,Nova Scotia,245.0,,,,,,
1976-02-01,Ontario,2682.0,,,,,,
1976-02-01,Prince Edward Island,33.0,,,,,,
1976-02-01,Quebec,1943.0,,,,,,
1976-02-01,Saskatchewan,295.0,,,,,,
1976-03-01,Alberta,586.0,,,,,,
1976-03-01,British Columbia,851.0,,,,,,
1976-03-01,Manitoba,332.0,,,,,,
1976-03-01,New Brunswick,194.0,,,,,,
1976-03-01,Newfoundland and Labrador,133.0,,,,,,
1976-03-01,Nova Scotia,245.0,,,,,,
1976-03-01,Ontario,2682.0,,,,,,
1976-03-01,Prince Edward Island,33.0,,,,,,
1976-03-01,Quebec,1943.0,,,,,,
1976-03-01,Saskatchewan,295.0,,,,,,
1976-04-01,Alberta,586.0,,,,,,
1976-04-01,British Columbia,851.0,,,,,,
1976-04-01,Manitoba,332.0,,,,,,
1976-04-01,New Brunswick,194.0,,,,,,
1976-04-01,Newfoundland and Labrador,133.0,,,,,,
1976-04-01,Nova Scotia,245.0,,,,,,
1976-04-01,Ontario,2682.0,,,,,,
1976-04-01,Prince Edward Island,33.0,,,,,,
1976-04-01,Quebec,1943.0,,,,,,
1976-04-01,Saskatchewan,295.0,,,,,,
1976-05-01,Alberta,586.0,,,,,,
1976-05-01,British Columbia,851.0,,,,,,
1976-05-01,Manitoba,332.0,,,,,,
1976-05-01,New Brunswick,194.0,,,,,,
1976-05-01,Newfoundland and Labrador,133.0,,,,,,
1976-05-01,Nova Scotia,245.0,,,,,,
1976-05-01,Ontario,2682.0,,,,,,
1976-05-01,Prince Edward Island,33.0,,,,,,
1976-05-01,Quebec,1943.0,,,,,,
1976-05-01,Saskatchewan,295.0,,,,,,
1976-06-01,Alberta,586.0,,,,,,
1976-06-01,British Columbia,851.0,,,,,,
1976-06-01,Manitoba,332.0,,,,,,
1976-06-01,New Brunswick,194.0,,,,,,
1976-06-01,Newfoundland and Labrador,133.0,,,,,,
1976-06-01,Nova Scotia,245.0,,,,,,
1976-06-01,Ontario,2682.0,,,,,,
1976-06-01,Prince Edward Island,33.0,,,,,,
1976-06-01,Quebec,1943.0,,,,,,
1976-06-01,Saskatchewan,295.0,,,,,,
1976-07-01,Alberta,586.0,,,,,,
1976-07-01,British Columbia,851.0,,,,,,
1976-07-01,Manitoba,332.0,,,,,,
1976-07-01,New Brunswick,194.0,,,,,,
1976-07-01,Newfoundland and Labrador,133.0,,,,,,
1976-07-01,Nova Scotia,245.0,,,,,,
1976-07-01,Ontario,2682.0,,,,,,
1976-07-01,Prince Edward Island,33.0,,,,,,
1976-07-01,Quebec,1943.0,,,,,,
1976-07-01,Saskatchewan,295.0,,,,,,
1976-08-01,Alberta,586.0,,,,,,
1976-08-01,British Columbia,851.0,,,,,,
1976-08-01,Manitoba,332.0,,,,,,
1976-08-01,New Brunswick,194.0,,,,,,
1976-08-01,Newfoundland and Labrador,133.0,,,,,,
1976-08-01,Nova Scotia,245.0,,,,,,
1976-08-01,Ontario,2682.0,,,,,,
1976-08-01,Prince Edward Island,33.0,,,,,,
1976-08-01,Quebec,1943.0,,,,,,
1976-08-01,Saskatchewan,295.0,,,,,,
1976-09-01,Alberta,586.0,,,,,,
1976-09-01,British Columbia,851.0,,,,,,
1976-09-01,Manitoba,332.0,,,,,,
1976-09-01,New Brunswick,194.0,,,,,,
1976-09-01,Newfoundland and Labrador,133.0,,,,,,
1976-09-01,Nova Scotia,245.0,,,,,,
1976-09-01,Ontario,2682.0,,,,,,
1976-09-01,Prince Edward Island,33.0,,,,,,
1976-09-01,Quebec,1943.0,,,,,,
1976-09-01,Saskatchewan,295.0,,,,,,
1976-10-01,Alberta,586.0,,,,,,
1976-10-01,British Columbia,851.0,,,,,,
1976-10-01,Manitoba,332.0,,,,,,
1976-10-01,New Brunswick,194.0,,,,,,
1976-10-01,Newfoundland and Labrador,133.0,,,,,,
1976-10-01,Nova Scotia,245.0,,,,,,
1976-10-01,Ontario,2682.0,,,,,,
1976-10-01,Prince Edward Island,33.0,,,,,,
1976-10-01,Quebec,1943.0,,,,,,
1976-10-01,Saskatchewan,295.0,,,,,,
1976-11-01,Alberta,586.0,,,,,,
1976-11-01,British Columbia,851.0,,,,,,
1976-11-01,Manitoba,332.0,,,,,,
1976-11-01,New Brunswick,194.0,,,,,,
1976-11-01,Newfoundland and Labrador,133.0,,,,,,
1976-11-01,Nova Scotia,245.0,,,,,,
1976-11-01,Ontario,2682.0,,,,,,
1976-11-01,Prince Edward Island,33.0,,,,,,
1976-11-01,Quebec,1943.0,,,,,,
1976-11-01,Saskatchewan,295.0,,,,,,
1976-12-01,Alberta,586.0,,,,,,
1976-12-01,British Columbia,851.0,,,,,,
1976-12-01,Manitoba,332.0,,,,,,
1976-12-01,New Brunswick,194.0,,,,,,
