REF_DATE,GEO,Full-time educators,Part-time educators,"Total, work status",Education price index (EPI),Fees and contractual services sub-index,Instructional supplies sub-index,Non-salary sub-index,Non-teaching salaries sub-index,Salaries and wages sub-index,"School facilities, supplies and services sub-index",Teachers' salaries sub-index,Teachers salaries,Total expenditures,Total operating expenditures,Extended-time,On-time,College,Elementary and/or High School,University
01-01-1947,Alberta,,,,,,,,,,,,186.0,528.0,528.0,,,,,
01-01-1947,British Columbia,,,,,,,,,,,,224.0,1265.0,1265.0,,,,,
01-01-1947,Canada,,,,,,,,,,,,3742.0,13951.0,13951.0,,,,,
01-01-1947,Manitoba,,,,,,,,,,,,106.0,556.0,556.0,,,,,
01-01-1947,New Brunswick,,,,,,,,,,,,,,,,,,,
01-01-1947,Newfoundland and Labrador,,,,,,,,,,,,,,,,,,,
01-01-1947,Nova Scotia,,,,,,,,,,,,,,,,,,,
01-01-1947,Ontario,,,,,,,,,,,,1231.0,4509.0,4509.0,,,,,
01-01-1947,Prince Edward Island,,,,,,,,,,,,,,,,,,,
01-01-1947,Quebec,,,,,,,,,,,,1770.0,5900.0,5900.0,,,,,
01-01-1947,Saskatchewan,,,,,,,,,,,,83.0,449.0,449.0,,,,,
01-01-1948,Alberta,,,,,,,,,,,,246.5,789.0,789.0,,,,,
01-01-1948,British Columbia,,,,,,,,,,,,280.0,1280.0,1280.0,,,,,
01-01-1948,Canada,,,,,,,,,,,,4377.0,15400.0,15440.5,,,,,
01-01-1948,Manitoba,,,,,,,,,,,,153.0,607.0,607.0,,,,,
01-01-1948,New Brunswick,,,,,,,,,,,,,,,,,,,
01-01-1948,Newfoundland and Labrador,,,,,,,,,,,,,,,,,,,
01-01-1948,Nova Scotia,,,,,,,,,,,,,,,,,,,
01-01-1948,Ontario,,,,,,,,,,,,1378.5,4910.5,4910.5,,,,,
01-01-1948,Prince Edward Island,,,,,,,,,,,,,,,,,,,
01-01-1948,Quebec,,,,,,,,,,,,2045.0,6543.5,6543.5,,,,,
01-01-1948,Saskatchewan,,,,,,,,,,,,96.5,509.0,509.0,,,,,
01-01-1949,Alberta,,,,,,,,,,,,307.0,1050.0,1050.0,,,,,
01-01-1949,British Columbia,,,,,,,,,,,,336.0,1295.0,1295.0,,,,,
01-01-1949,Canada,,,,,,,,,,,,5012.0,16930.0,16930.0,,,,,
01-01-1949,Manitoba,,,,,,,,,,,,200.0,658.0,658.0,,,,,
01-01-1949,New Brunswick,,,,,,,,,,,,,,,,,,,
01-01-1949,Newfoundland and Labrador,,,,,,,,,,,,,,,,,,,
01-01-1949,Nova Scotia,,,,,,,,,,,,,,,,,,,
01-01-1949,Ontario,,,,,,,,,,,,1526.0,5312.0,5312.0,,,,,
01-01-1949,Prince Edward Island,,,,,,,,,,,,,,,,,,,
01-01-1949,Quebec,,,,,,,,,,,,2320.0,7187.0,7187.0,,,,,
01-01-1949,Saskatchewan,,,,,,,,,,,,110.0,569.0,569.0,,,,,
01-01-1950,Alberta,,,,,,,,,,,,329.0,1072.0,1072.0,,,,,
01-01-1950,British Columbia,,,,,,,,,,,,350.0,1322.0,1322.0,,,,,
01-01-1950,Canada,,,,,,,,,,,,5338.0,19312.0,19312.0,,,,,
01-01-1950,Manitoba,,,,,,,,,,,,283.0,808.0,808.0,,,,,
01-01-1950,New Brunswick,,,,,,,,,,,,,,,,,,,
01-01-1950,Newfoundland and Labrador,,,,,,,,,,,,,,,,,,,
01-01-1950,Nova Scotia,,,,,,,,,,,,,,,,,,,
01-01-1950,Ontario,,,,,,,,,,,,1627.0,5768.0,5768.0,,,,,
01-01-1950,Prince Edward Island,,,,,,,,,,,,,,,,,,,
01-01-1950,Quebec,,,,,,,,,,,,2400.0,8800.0,8800.0,,,,,
01-01-1950,Saskatchewan,,,,,,,,,,,,129.0,645.0,645.0,,,,,
01-01-1951,Alberta,,,,,,,,,,,,319.0,1116.0,1116.0,,,,,
01-01-1951,British Columbia,,,,,,,,,,,,333.0,1319.0,1319.0,,,,,
01-01-1951,Canada,,,,,,,,,,,,5313.0,19030.0,19030.0,,,,,
01-01-1951,Manitoba,,,,,,,,,,,,284.0,833.0,833.0,,,,,
01-01-1951,New Brunswick,,,,,,,,,,,,,,,,,,,
01-01-1951,Newfoundland and Labrador,,,,,,,,,,,,,,,,,,,
01-01-1951,Nova Scotia,,,,,,,,,,,,,,,,,,,
01-01-1951,Ontario,,,,,,,,,,,,1649.0,5522.0,5522.0,,,,,
01-01-1951,Prince Edward Island,,,,,,,,,,,,,,,,,,,
01-01-1951,Quebec,,,,,,,,,,,,2400.0,8835.0,8835.0,,,,,
01-01-1951,Saskatchewan,,,,,,,,,,,,105.0,564.0,564.0,,,,,
01-01-1952,Alberta,,,,,,,,,,,,318.0,1039.0,1039.0,,,,,
