REF_DATE,GEO,Number_of_Households,Housing completions,Housing starts,Housing under construction,House only NHPI,Land only NHPI,Total (house and land) NHPI,Year,Month,Quarter,Day,Number_of_Households_lag_1,Number_of_Households_lag_3,Number_of_Households_lag_6,Housing completions_lag_1,Housing completions_lag_3,Housing completions_lag_6,Housing starts_lag_1,Housing starts_lag_3,Housing starts_lag_6,Housing under construction_lag_1,Housing under construction_lag_3,Housing under construction_lag_6,House only NHPI_lag_1,House only NHPI_lag_3,House only NHPI_lag_6,Land only NHPI_lag_1,Land only NHPI_lag_3,Land only NHPI_lag_6,Total (house and land) NHPI_lag_1,Total (house and land) NHPI_lag_3,Total (house and land) NHPI_lag_6,Number_of_Households_rolling_mean_3,Housing completions_rolling_mean_3,Housing starts_rolling_mean_3,Housing under construction_rolling_mean_3,House only NHPI_rolling_mean_3,Land only NHPI_rolling_mean_3,Total (house and land) NHPI_rolling_mean_3
1986-01-01,Ontario,3329000,4303.333333333333,3435.0,11430.333333333334,33.0,44.3,36.7,1986,1,1,1,161000.0,392000.0,859000.0,181.0,426.3333333333333,662.0,74.33333333333333,536.0,603.0,1009.3333333333334,1382.0,1125.0,39.4,37.7,28.0,35.3,26.9,22.5,38.7,34.7,26.4,1242333.3333333333,1604.6666666666667,1205.0000000000007,4309.333333333332,49.166666666666664,45.23333333333333,48.63333333333335
1986-01-01,Prince Edward Island,41000,82.0,40.66666666666666,95.0,36.65,38.599999999999994,37.6,1986,1,1,1,3329000.0,237000.0,1132000.0,4303.333333333333,329.6666666666667,1304.3333333333333,3435.0,105.66666666666669,1515.6666666666667,11430.333333333334,488.3333333333333,3114.6666666666665,33.0,75.1,79.5,44.3,56.1,49.2,36.7,70.5,66.3,1177000.0,1522.111111111111,1183.333333333334,4178.222222222222,36.35,39.4,37.66666666666668
1986-01-01,Quebec,2421000,2503.6666666666665,2803.0,7382.0,40.3,32.9,38.5,1986,1,1,1,41000.0,161000.0,9238000.0,82.0,181.0,10938.333333333334,40.66666666666666,74.33333333333333,9757.333333333334,95.0,1009.3333333333334,27632.666666666668,36.65,39.4,39.4,38.599999999999994,35.3,38.8,37.6,38.7,39.8,1930333.3333333333,2296.3333333333335,2092.888888888889,6302.444444444444,36.65,38.599999999999994,37.6
1986-02-01,Alberta,859000,662.0,603.0,1125.0,28.5,22.5,26.8,1986,2,1,1,2421000.0,3329000.0,392000.0,2503.6666666666665,4303.333333333333,426.3333333333333,2803.0,3435.0,536.0,7382.0,11430.333333333334,1382.0,40.3,33.0,37.7,32.9,44.3,26.9,38.5,36.7,34.7,1107000.0,1082.5555555555554,1148.8888888888894,2867.3333333333326,35.15,31.333333333333332,34.300000000000004
1986-02-01,British Columbia,1132000,1304.3333333333333,1515.6666666666667,3114.6666666666665,79.6,49.4,66.4,1986,2,1,1,859000.0,41000.0,237000.0,662.0,82.0,329.6666666666667,603.0,40.66666666666666,105.66666666666669,1125.0,95.0,488.3333333333333,28.5,36.65,75.1,22.5,38.599999999999994,56.1,26.8,37.6,70.5,1470666.6666666667,1490.0,1640.5555555555563,3873.8888888888882,49.46666666666666,34.93333333333333,43.900000000000006
1986-02-01,Canada,9238000,10938.333333333334,9757.333333333334,27632.666666666668,39.9,39.2,40.3,1986,2,1,1,1132000.0,2421000.0,161000.0,1304.3333333333333,2503.6666666666665,181.0,1515.6666666666667,2803.0,74.33333333333333,3114.6666666666665,7382.0,1009.3333333333334,79.6,40.3,39.4,49.4,32.9,35.3,66.4,38.5,38.7,3743000.0,4301.555555555556,3958.666666666668,10624.111111111111,49.333333333333336,37.03333333333334,44.5
1986-02-01,Manitoba,392000,426.3333333333333,536.0,1382.0,37.9,26.9,34.8,1986,2,1,1,9238000.0,859000.0,3329000.0,10938.333333333334,662.0,4303.333333333333,9757.333333333334,603.0,3435.0,27632.666666666668,1125.0,11430.333333333334,39.9,28.5,33.0,39.2,22.5,44.3,40.3,26.8,36.7,3587333.3333333335,4223.000000000001,3936.333333333334,10709.777777777777,52.46666666666666,38.5,47.166666666666664
1986-02-01,New Brunswick,237000,329.6666666666667,105.66666666666669,488.3333333333333,75.3,59.8,71.6,1986,2,1,1,392000.0,1132000.0,41000.0,426.3333333333333,1304.3333333333333,82.0,536.0,1515.6666666666667,40.66666666666666,1382.0,3114.6666666666665,95.0,37.9,79.6,36.65,26.9,49.4,38.599999999999994,34.8,66.4,37.6,3289000.0,3898.1111111111113,3466.333333333334,9834.333333333332,51.03333333333333,41.96666666666667,48.9
1986-02-01,Newfoundland and Labrador,161000,181.0,74.33333333333333,1009.3333333333334,39.6,35.3,38.8,1986,2,1,1,237000.0,9238000.0,2421000.0,329.6666666666667,10938.333333333334,2503.6666666666665,105.66666666666669,9757.333333333334,2803.0,488.3333333333333,27632.666666666668,7382.0,75.3,39.9,40.3,59.8,39.2,32.9,71.6,40.3,38.5,263333.3333333333,312.3333333333333,238.66666666666728,959.8888888888878,50.93333333333333,40.666666666666664,48.4
1986-02-01,Ontario,3329000,4303.333333333333,3435.0,11430.333333333334,33.7,44.8,37.3,1986,2,1,1,161000.0,392000.0,859000.0,181.0,426.3333333333333,662.0,74.33333333333333,536.0,603.0,1009.3333333333334,1382.0,1125.0,39.6,37.9,28.5,35.3,26.9,22.5,38.8,34.8,26.8,1242333.3333333333,1604.6666666666667,1205.0000000000007,4309.333333333332,49.53333333333333,46.633333333333326,49.23333333333333
1986-02-01,Prince Edward Island,41000,82.0,40.66666666666666,95.0,37.1,39.2,38.05,1986,2,1,1,3329000.0,237000.0,1132000.0,4303.333333333333,329.6666666666667,1304.3333333333333,3435.0,105.66666666666669,1515.6666666666667,11430.333333333334,488.3333333333333,3114.6666666666665,33.7,75.3,79.6,44.8,59.8,49.4,37.3,71.6,66.4,1177000.0,1522.111111111111,1183.333333333334,4178.222222222222,36.800000000000004,39.76666666666667,38.050000000000004
1986-02-01,Quebec,2421000,2503.6666666666665,2803.0,7382.0,40.5,33.6,38.8,1986,2,1,1,41000.0,161000.0,9238000.0,82.0,181.0,10938.333333333334,40.66666666666666,74.33333333333333,9757.333333333334,95.0,1009.3333333333334,27632.666666666668,37.1,39.6,39.9,39.2,35.3,39.2,38.05,38.8,40.3,1930333.3333333333,2296.3333333333335,2092.888888888889,6302.444444444444,37.1,39.199999999999996,38.050000000000004
1986-03-01,Alberta,859000,662.0,603.0,1125.0,28.7,22.7,26.9,1986,3,1,1,2421000.0,3329000.0,392000.0,2503.6666666666665,4303.333333333333,426.3333333333333,2803.0,3435.0,536.0,7382.0,11430.333333333334,1382.0,40.5,33.7,37.9,33.6,44.8,26.9,38.8,37.3,34.8,1107000.0,1082.5555555555554,1148.8888888888894,2867.3333333333326,35.43333333333333,31.83333333333334,34.583333333333336
1986-03-01,British Columbia,1132000,1304.3333333333333,1515.6666666666667,3114.6666666666665,79.6,49.4,66.4,1986,3,1,1,859000.0,41000.0,237000.0,662.0,82.0,329.6666666666667,603.0,40.66666666666666,105.66666666666669,1125.0,95.0,488.3333333333333,28.7,37.1,75.3,22.7,39.2,59.8,26.9,38.05,71.6,1470666.6666666667,1490.0,1640.5555555555563,3873.8888888888882,49.6,35.23333333333333,44.03333333333334
1986-03-01,Canada,9238000,10938.333333333334,9757.333333333334,27632.666666666668,40.2,39.3,40.6,1986,3,1,1,1132000.0,2421000.0,161000.0,1304.3333333333333,2503.6666666666665,181.0,1515.6666666666667,2803.0,74.33333333333333,3114.6666666666665,7382.0,1009.3333333333334,79.6,40.5,39.6,49.4,33.6,35.3,66.4,38.8,38.8,3743000.0,4301.555555555556,3958.666666666668,10624.111111111111,49.5,37.13333333333333,44.63333333333333
1986-03-01,Manitoba,392000,426.3333333333333,536.0,1382.0,38.1,27.1,35.0,1986,3,1,1,9238000.0,859000.0,3329000.0,10938.333333333334,662.0,4303.333333333333,9757.333333333334,603.0,3435.0,27632.666666666668,1125.0,11430.333333333334,40.2,28.7,33.7,39.3,22.7,44.8,40.6,26.9,37.3,3587333.3333333335,4223.000000000001,3936.333333333334,10709.777777777777,52.63333333333333,38.6,47.333333333333336
1986-03-01,New Brunswick,237000,329.6666666666667,105.66666666666669,488.3333333333333,75.3,59.8,71.6,1986,3,1,1,392000.0,1132000.0,41000.0,426.3333333333333,1304.3333333333333,82.0,536.0,1515.6666666666667,40.66666666666666,1382.0,3114.6666666666665,95.0,38.1,79.6,37.1,27.1,49.4,39.2,35.0,66.4,38.05,3289000.0,3898.1111111111113,3466.333333333334,9834.333333333332,51.199999999999996,42.06666666666666,49.06666666666666
1986-03-01,Newfoundland and Labrador,161000,181.0,74.33333333333333,1009.3333333333334,39.6,35.3,38.8,1986,3,1,1,237000.0,9238000.0,2421000.0,329.6666666666667,10938.333333333334,2503.6666666666665,105.66666666666669,9757.333333333334,2803.0,488.3333333333333,27632.666666666668,7382.0,75.3,40.2,40.5,59.8,39.3,33.6,71.6,40.6,38.8,263333.3333333333,312.3333333333333,238.66666666666728,959.8888888888878,51.0,40.73333333333333,48.46666666666666
1986-03-01,Ontario,3329000,4303.333333333333,3435.0,11430.333333333334,34.2,45.0,37.7,1986,3,1,1,161000.0,392000.0,859000.0,181.0,426.3333333333333,662.0,74.33333333333333,536.0,603.0,1009.3333333333334,1382.0,1125.0,39.6,38.1,28.7,35.3,27.1,22.7,38.8,35.0,26.9,1242333.3333333333,1604.6666666666667,1205.0000000000007,4309.333333333332,49.699999999999996,46.699999999999996,49.36666666666667
