Year,Total PRs,Total Births,Total TRs,Province,Population Estimate,Total Deaths
1991,0.0,256630.0,0.0,Alberta,2572947,28902.0
1991,0.0,273628.0,0.0,British Columbia,3339935,47954.0
1991,0.0,2413304.0,0.0,Canada,27790000,391138.0
1991,0.0,103642.0,0.0,Manitoba,1106196,17886.0
1991,0.0,56978.0,0.0,New Brunswick,743210,10938.0
1991,0.0,42968.0,0.0,Newfoundland and Labrador,577377,7596.0
1991,0.0,9812.0,0.0,Northwest Territories including Nunavut,59711,474.0
1991,0.0,72112.0,0.0,Nova Scotia,912792,14510.0
1991,0.0,909316.0,0.0,Ontario,10355101,145834.0
1991,0.0,11296.0,0.0,Prince Edward Island,130477,2376.0
1991,0.0,581654.0,0.0,Quebec,7026241,98242.0
1991,0.0,91862.0,0.0,Saskatchewan,1002651,16196.0
1991,0.0,0.0,0.0,Unknown province or territory,1000942,0.0
1991,0.0,0.0,0.0,Unknown province or territory of residence,1000942,2.0
1991,0.0,3406.0,0.0,Yukon,28223,228.0
1992,0.0,252156.0,0.0,Alberta,2611786,29358.0
1992,0.0,276856.0,0.0,British Columbia,3423217,49230.0
1992,0.0,99530.0,0.0,Manitoba,1109978,17960.0
1992,0.0,56320.0,0.0,New Brunswick,746571,11218.0
1992,0.0,41496.0,0.0,Newfoundland and Labrador,579425,7596.0
1992,0.0,9322.0,0.0,Northwest Territories including Nunavut,579624,512.0
1992,0.0,71352.0,0.0,Nova Scotia,917302,15088.0
1992,0.0,904662.0,0.0,Ontario,10488022,146412.0
1992,0.0,11094.0,0.0,Prince Edward Island,130604,2228.0
1992,0.0,575094.0,0.0,Quebec,7082645,97648.0
1992,0.0,90054.0,0.0,Saskatchewan,1001136,15586.0
1992,0.0,0.0,0.0,Unknown province or territory,1002960,0.0
1992,0.0,0.0,0.0,Unknown province or territory of residence,1002960,0.0
1992,0.0,3174.0,0.0,Yukon,29239,234.0
1993,0.0,241708.0,0.0,Alberta,2650886,30676.0
1993,0.0,275950.0,0.0,British Columbia,3522509,51528.0
1993,0.0,100274.0,0.0,Manitoba,1114180,18598.0
1993,0.0,54288.0,0.0,New Brunswick,747892,11612.0
1993,0.0,38524.0,0.0,Newfoundland and Labrador,580819,7780.0
1993,0.0,9356.0,0.0,Northwest Territories including Nunavut,578194,520.0
1993,0.0,69610.0,0.0,Nova Scotia,922128,15118.0
1993,0.0,888712.0,0.0,Ontario,10629994,151706.0
1993,0.0,10520.0,0.0,Prince Edward Island,131564,2290.0
1993,0.0,554248.0,0.0,Quebec,7137514,103422.0
1993,0.0,85662.0,0.0,Saskatchewan,1003443,16328.0
1993,0.0,0.0,0.0,Unknown province or territory,1007016,0.0
1993,0.0,0.0,0.0,Unknown province or territory of residence,1007016,0.0
1993,0.0,3046.0,0.0,Yukon,29964,246.0
1994,0.0,238700.0,0.0,Alberta,2683346,31226.0
1994,0.0,281520.0,0.0,British Columbia,3623717,51878.0
1994,0.0,98836.0,0.0,Manitoba,1119284,18296.0
1994,0.0,53870.0,0.0,New Brunswick,749531,11834.0
1994,0.0,38014.0,0.0,Newfoundland and Labrador,577128,8100.0
1994,0.0,9472.0,0.0,Northwest Territories including Nunavut,572068,482.0
1994,0.0,66882.0,0.0,Nova Scotia,925852,15540.0
1994,0.0,887230.0,0.0,Ontario,10744762,154974.0
1994,0.0,10288.0,0.0,Prince Edward Island,132752,2228.0
1994,0.0,543318.0,0.0,Quebec,7177923,102730.0
1994,0.0,84266.0,0.0,Saskatchewan,1007554,16616.0
1994,0.0,12.0,0.0,Unknown province or territory,1010784,0.0
1994,0.0,0.0,0.0,Unknown province or territory of residence,1010784,2.0
1994,0.0,2650.0,0.0,Yukon,29670,248.0
1995,0.0,233448.0,0.0,Alberta,2715701,31790.0
1995,0.0,280526.0,0.0,British Columbia,3730564,52750.0
1995,0.0,96678.0,0.0,Manitoba,1124947,19316.0
1995,0.0,51382.0,0.0,New Brunswick,750819,11876.0
1995,0.0,35136.0,0.0,Newfoundland and Labrador,570563,7870.0
1995,0.0,9674.0,0.0,Northwest Territories including Nunavut,565008,454.0
1995,0.0,64792.0,0.0,Nova Scotia,927395,15374.0
1995,0.0,879386.0,0.0,Ontario,10875308,156958.0
1995,0.0,10514.0,0.0,Prince Edward Island,134060,2306.0
1995,0.0,524208.0,0.0,Quebec,7205074,105468.0
1995,0.0,81016.0,0.0,Saskatchewan,1011784,16990.0
1995,0.0,0.0,0.0,Unknown province or territory,1015349,0.0
1995,0.0,0.0,0.0,Unknown province or territory of residence,1015349,0.0
1995,0.0,2816.0,0.0,Yukon,29882,314.0
1996,0.0,227096.0,0.0,Alberta,2753463,32782.0
1996,0.0,276536.0,0.0,British Columbia,3826739,55072.0
1996,0.0,2196976.0,0.0,Canada,29671000,425760.0
1996,0.0,92856.0,0.0,Manitoba,1130288,18994.0
1996,0.0,49056.0,0.0,New Brunswick,751581,11792.0
1996,0.0,34472.0,0.0,Newfoundland and Labrador,563679,7856.0
1996,0.0,9388.0,0.0,Northwest Territories including Nunavut,557281,544.0
1996,0.0,63816.0,0.0,Nova Scotia,929782,15502.0
1996,0.0,842306.0,0.0,Ontario,11009307,158198.0
1996,0.0,10154.0,0.0,Prince Edward Island,135119,2536.0
1996,0.0,508788.0,0.0,Quebec,7232952,104672.0
1996,0.0,79850.0,0.0,Saskatchewan,1016198,17530.0
1996,0.0,0.0,0.0,Unknown province or territory,1019408,0.0
1996,0.0,0.0,0.0,Unknown province or territory of residence,1019408,42.0
1996,0.0,2658.0,0.0,Yukon,30963,240.0
1997,0.0,221394.0,0.0,Alberta,2799561,32904.0
1997,0.0,267264.0,0.0,British Columbia,3914490,54824.0
1997,0.0,87906.0,0.0,Manitoba,1134997,19022.0
1997,0.0,47520.0,0.0,New Brunswick,752334,11888.0
1997,0.0,32466.0,0.0,Newfoundland and Labrador,555432,8636.0
1997,0.0,8822.0,0.0,Northwest Territories including Nunavut,547639,516.0
1997,0.0,60118.0,0.0,Nova Scotia,932349,16088.0
1997,0.0,801382.0,0.0,Ontario,11146270,159082.0
1997,0.0,9534.0,0.0,Prince Edward Island,135935,2060.0
1997,0.0,478404.0,0.0,Quebec,7262945,108798.0
1997,0.0,77206.0,0.0,Saskatchewan,1018326,17274.0
1997,0.0,0.0,0.0,Unknown province or territory,1017426,0.0
1997,0.0,0.0,0.0,Unknown province or territory of residence,1017426,0.0
1997,0.0,2844.0,0.0,Yukon,31633,246.0
1998,0.0,227408.0,0.0,Alberta,2859305,33590.0
1998,0.0,258266.0,0.0,British Columbia,3972821,55956.0
1998,0.0,86742.0,0.0,Manitoba,1135770,19630.0
1998,0.0,47292.0,0.0,New Brunswick,751969,12610.0
1998,0.0,29916.0,0.0,Newfoundland and Labrador,545769,8460.0
1998,0.0,7816.0,0.0,Northwest Territories including Nunavut,537908,576.0
1998,0.0,58068.0,0.0,Nova Scotia,932549,16136.0
1998,0.0,796884.0,0.0,Ontario,11292059,160368.0
1998,0.0,9028.0,0.0,Prince Edward Island,135938,2414.0
1998,0.0,454910.0,0.0,Quebec,7286008,108362.0
1998,0.0,76682.0,0.0,Saskatchewan,1017504,17810.0
1998,0.0,0.0,0.0,Unknown province or territory,1017748,0.0
1998,0.0,0.0,0.0,Unknown province or territory of residence,1017748,0.0
1998,0.0,2376.0,0.0,Yukon,31510,270.0
1999,0.0,229012.0,0.0,Alberta,2926079,34412.0
1999,0.0,251482.0,0.0,British Columbia,3995643,56034.0
1999,0.0,85824.0,0.0,Manitoba,1138946,19720.0
1999,0.0,45674.0,0.0,New Brunswick,750127,12148.0
1999,0.0,30294.0,0.0,Newfoundland and Labrador,536515,8278.0
1999,0.0,5100.0,0.0,Northwest Territories,40635,324.0
1999,0.0,8386.0,0.0,Northwest Territories including Nunavut,40579,578.0
1999,0.0,57730.0,0.0,Nova Scotia,932145,15280.0
1999,0.0,3286.0,0.0,Nunavut,26575,254.0
1999,0.0,788186.0,0.0,Ontario,11419589,162786.0
1999,0.0,9064.0,0.0,Prince Edward Island,135994,2274.0
1999,0.0,441298.0,0.0,Quebec,7310238,109184.0
1999,0.0,75630.0,0.0,Saskatchewan,1016883,18088.0
1999,0.0,0.0,0.0,Unknown province or territory,1012582,0.0
1999,0.0,0.0,0.0,Unknown province or territory of residence,1012582,8.0
1999,0.0,2298.0,0.0,Yukon,30748,270.0
2000,0.0,221988.0,9430.0,Alberta,2974517,34546.0
2000,0.0,243932.0,32885.0,British Columbia,4026664,54920.0
2000,0.0,84508.0,2830.0,Manitoba,1144428,19784.0
2000,0.0,44106.0,1825.0,New Brunswick,750786,12176.0
2000,0.0,29220.0,690.0,Newfoundland and Labrador,531774,8678.0
2000,0.0,4828.0,25.0,Northwest Territories,40623,314.0
2000,0.0,0.0,0.0,Northwest Territories including Nunavut,40575,0.0
2000,0.0,55000.0,3075.0,Nova Scotia,934594,15758.0
2000,0.0,3606.0,0.0,Nunavut,27145,260.0
2000,0.0,766898.0,46120.0,Ontario,11576994,162580.0
2000,0.0,8646.0,235.0,Prince Edward Island,136442,2458.0
2000,0.0,0.0,0.0,Province / Territory not stated,136400,0.0
2000,0.0,431904.0,22770.0,Quebec,7340269,106380.0
