REF_DATE,GEO,Teachers salaries,Total expenditures,Total operating expenditures
1947,Alberta,186.0,528.0,528.0
1948,Alberta,246.5,789.0,789.0
1949,Alberta,307.0,1050.0,1050.0
1950,Alberta,329.0,1072.0,1072.0
1951,Alberta,319.0,1116.0,1116.0
1952,Alberta,318.0,1039.0,1039.0
1953,Alberta,421.0,1257.0,1257.0
1954,Alberta,487.0,1245.0,1245.0
1955,Alberta,361.0,957.0,957.0
1956,Alberta,566.0,1479.0,1479.0
1957,Alberta,693.0,2044.0,2044.0
1958,Alberta,693.0,1964.0,1964.0
1959,Alberta,843.0,2244.0,2244.0
1960,Alberta,963.0,2233.0,2233.0
1961,Alberta,1271.0,2960.0,2960.0
1962,Alberta,1378.0,3202.0,3202.0
1963,Alberta,1498.0,3368.0,3368.0
1964,Alberta,1641.0,3575.0,3575.0
1965,Alberta,2090.0,4961.0,4961.0
1966,Alberta,1841.0,4009.0,4009.0
1967,Alberta,1949.0,4517.0,4488.0
1968,Alberta,2219.0,4899.0,4771.0
1969,Alberta,2490.0,5111.0,5058.0
1970,Alberta,2814.0,5165.0,5122.0
1971,Alberta,3116.0,6225.0,6225.0
1972,Alberta,3366.0,6670.0,6670.0
1973,Alberta,2920.0,6245.0,5735.0
1974,Alberta,3045.0,6889.0,6543.0
1975,Alberta,4041.0,9147.0,8141.0
1976,Alberta,4344.0,9158.0,8590.0
1977,Alberta,5505.0,10317.0,9485.0
1978,Alberta,5927.0,11660.0,10778.0
1979,Alberta,6475.0,12723.0,11773.0
1980,Alberta,9013.0,18214.0,16347.0
1981,Alberta,13511.0,28129.0,24444.0
1982,Alberta,14468.0,29538.0,26180.0
1983,Alberta,21202.0,40360.0,36789.0
1984,Alberta,23069.0,42701.0,39016.0
1985,Alberta,26584.0,48076.0,45374.0
1986,Alberta,29765.0,53828.0,50803.0
1987,Alberta,30827.0,57005.0,53227.0
1988,Alberta,47161.0,89236.0,82422.0
1989,Alberta,45958.0,87937.0,80124.0
1990,Alberta,43590.0,84362.0,75814.0
1991,Alberta,45360.0,88812.0,78704.0
1992,Alberta,46281.0,91142.0,81595.0
1993,Alberta,51807.0,102637.0,92819.0
1994,Alberta,60174.0,119957.0,109573.0
1995,Alberta,60927.0,119799.0,110339.0
1996,Alberta,64017.0,124173.0,115313.0
1997,Alberta,64649.0,123728.0,115839.0
1998,Alberta,77837.0,150661.0,140729.0
1999,Alberta,90081.0,176359.0,164352.0
2000,Alberta,100512.0,199037.0,185058.0
2001,Alberta,113809.0,225368.0,209540.0
2002,Alberta,124919.0,247367.0,229994.0
1947,British Columbia,224.0,1265.0,1265.0
