REF_DATE,GEO,Housing completions,Housing starts,Housing under construction
1976-01-01,Alberta,1244.3333333333333,2286.6666666666665,6568.333333333333
1976-02-01,Alberta,1244.3333333333333,2286.6666666666665,6568.333333333333
1976-03-01,Alberta,1244.3333333333333,2286.6666666666665,6568.333333333333
1976-04-01,Alberta,2931.3333333333335,3413.0,7038.666666666667
1976-05-01,Alberta,2931.3333333333335,3413.0,7038.666666666667
1976-06-01,Alberta,2931.3333333333335,3413.0,7038.666666666667
1976-07-01,Alberta,1972.6666666666667,3484.0,8624.333333333334
1976-08-01,Alberta,1972.6666666666667,3484.0,8624.333333333334
1976-09-01,Alberta,1972.6666666666667,3484.0,8624.333333333334
1976-10-01,Alberta,2471.0,3740.0,9803.666666666666
1976-11-01,Alberta,2471.0,3740.0,9803.666666666666
1976-12-01,Alberta,2471.0,3740.0,9803.666666666666
1977-01-01,Alberta,2479.6666666666665,1503.6666666666667,8626.666666666666
1977-02-01,Alberta,2479.6666666666665,1503.6666666666667,8626.666666666666
1977-03-01,Alberta,2479.6666666666665,1503.6666666666667,8626.666666666666
1977-04-01,Alberta,3117.0,3300.0,8715.666666666666
1977-05-01,Alberta,3117.0,3300.0,8715.666666666666
1977-06-01,Alberta,3117.0,3300.0,8715.666666666666
1977-07-01,Alberta,2950.3333333333335,3974.3333333333335,9470.0
1977-08-01,Alberta,2950.3333333333335,3974.3333333333335,9470.0
1977-09-01,Alberta,2950.3333333333335,3974.3333333333335,9470.0
1977-10-01,Alberta,4079.3333333333335,3913.6666666666665,9101.666666666666
1977-11-01,Alberta,4079.3333333333335,3913.6666666666665,9101.666666666666
1977-12-01,Alberta,4079.3333333333335,3913.6666666666665,9101.666666666666
1978-01-01,Alberta,2849.0,4075.0,10277.666666666666
1978-02-01,Alberta,2849.0,4075.0,10277.666666666666
1978-03-01,Alberta,2849.0,4075.0,10277.666666666666
1978-04-01,Alberta,2744.3333333333335,3353.0,10819.333333333334
1978-05-01,Alberta,2744.3333333333335,3353.0,10819.333333333334
1978-06-01,Alberta,2744.3333333333335,3353.0,10819.333333333334
1978-07-01,Alberta,4613.666666666667,4204.333333333333,10307.666666666666
1978-08-01,Alberta,4613.666666666667,4204.333333333333,10307.666666666666
1978-09-01,Alberta,4613.666666666667,4204.333333333333,10307.666666666666
1978-10-01,Alberta,4134.666666666667,4342.666666666667,10441.0
