"REF_DATE","GEO","DGUID","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1971","Canada","2016A000011124","Men+","All ages","Persons","249","units","0","v466669","1.2.1","11026469","","","","0"
"1972","Canada","2016A000011124","Men+","All ages","Persons","249","units","0","v466669","1.2.1","11143941","","","","0"
"1973","Canada","2016A000011124","Men+","All ages","Persons","249","units","0","v466669","1.2.1","11271901","","","","0"
"1974","Canada","2016A000011124","Men+","All ages","Persons","249","units","0","v466669","1.2.1","11423349","","","","0"
"1975","Canada","2016A000011124","Men+","All ages","Persons","249","units","0","v466669","1.2.1","11582329","","","","0"
"1976","Canada","2016A000011124","Men+","All ages","Persons","249","units","0","v466669","1.2.1","11723355","","","","0"
"1977","Canada","2016A000011124","Men+","All ages","Persons","249","units","0","v466669","1.2.1","11847769","","","","0"
"1978","Canada","2016A000011124","Men+","All ages","Persons","249","units","0","v466669","1.2.1","11951969","","","","0"
"1979","Canada","2016A000011124","Men+","All ages","Persons","249","units","0","v466669","1.2.1","12059093","","","","0"
"1980","Canada","2016A000011124","Men+","All ages","Persons","249","units","0","v466669","1.2.1","12207837","","","","0"
"1981","Canada","2016A000011124","Men+","All ages","Persons","249","units","0","v466669","1.2.1","12351233","","","","0"
"1982","Canada","2016A000011124","Men+","All ages","Persons","249","units","0","v466669","1.2.1","12490701","","","","0"
"1983","Canada","2016A000011124","Men+","All ages","Persons","249","units","0","v466669","1.2.1","12606769","","","","0"
"1984","Canada","2016A000011124","Men+","All ages","Persons","249","units","0","v466669","1.2.1","12717823","","","","0"
"1985","Canada","2016A000011124","Men+","All ages","Persons","249","units","0","v466669","1.2.1","12828106","","","","0"
"1986","Canada","2016A000011124","Men+","All ages","Persons","249","units","0","v466669","1.2.1","12951377","","","","0"
"1987","Canada","2016A000011124","Men+","All ages","Persons","249","units","0","v466669","1.2.1","13125126","","","","0"
