"REF_DATE","GEO","DGUID","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1971","Newfoundland and Labrador","2016A000210","Men+","All ages","Persons","249","units","0","v466984","2.2.1","271282","","","","0"
"1972","Newfoundland and Labrador","2016A000210","Men+","All ages","Persons","249","units","0","v466984","2.2.1","275294","","","","0"
"1973","Newfoundland and Labrador","2016A000210","Men+","All ages","Persons","249","units","0","v466984","2.2.1","278279","","","","0"
"1974","Newfoundland and Labrador","2016A000210","Men+","All ages","Persons","249","units","0","v466984","2.2.1","280173","","","","0"
"1975","Newfoundland and Labrador","2016A000210","Men+","All ages","Persons","249","units","0","v466984","2.2.1","283508","","","","0"
"1976","Newfoundland and Labrador","2016A000210","Men+","All ages","Persons","249","units","0","v466984","2.2.1","286381","","","","0"
"1977","Newfoundland and Labrador","2016A000210","Men+","All ages","Persons","249","units","0","v466984","2.2.1","287349","","","","0"
"1978","Newfoundland and Labrador","2016A000210","Men+","All ages","Persons","249","units","0","v466984","2.2.1","288034","","","","0"
"1979","Newfoundland and Labrador","2016A000210","Men+","All ages","Persons","249","units","0","v466984","2.2.1","288878","","","","0"
"1980","Newfoundland and Labrador","2016A000210","Men+","All ages","Persons","249","units","0","v466984","2.2.1","289605","","","","0"
"1981","Newfoundland and Labrador","2016A000210","Men+","All ages","Persons","249","units","0","v466984","2.2.1","290254","","","","0"
"1982","Newfoundland and Labrador","2016A000210","Men+","All ages","Persons","249","units","0","v466984","2.2.1","288825","","","","0"
"1983","Newfoundland and Labrador","2016A000210","Men+","All ages","Persons","249","units","0","v466984","2.2.1","291762","","","","0"
"1984","Newfoundland and Labrador","2016A000210","Men+","All ages","Persons","249","units","0","v466984","2.2.1","291963","","","","0"
"1985","Newfoundland and Labrador","2016A000210","Men+","All ages","Persons","249","units","0","v466984","2.2.1","291226","","","","0"
"1986","Newfoundland and Labrador","2016A000210","Men+","All ages","Persons","249","units","0","v466984","2.2.1","289070","","","","0"
"1987","Newfoundland and Labrador","2016A000210","Men+","All ages","Persons","249","units","0","v466984","2.2.1","288364","","","","0"
"1988","Newfoundland and Labrador","2016A000210","Men+","All ages","Persons","249","units","0","v466984","2.2.1","288199","","","","0"
"1989","Newfoundland and Labrador","2016A000210","Men+","All ages","Persons","249","units","0","v466984","2.2.1","289249","","","","0"
"1990","Newfoundland and Labrador","2016A000210","Men+","All ages","Persons","249","units","0","v466984","2.2.1","289707","","","","0"
"1991","Newfoundland and Labrador","2016A000210","Men+","All ages","Persons","249","units","0","v466984","2.2.1","290868","","","","0"
"1992","Newfoundland and Labrador","2016A000210","Men+","All ages","Persons","249","units","0","v466984","2.2.1","290983","","","","0"
"1993","Newfoundland and Labrador","2016A000210","Men+","All ages","Persons","249","units","0","v466984","2.2.1","290650","","","","0"
"1994","Newfoundland and Labrador","2016A000210","Men+","All ages","Persons","249","units","0","v466984","2.2.1","287457","","","","0"
"1995","Newfoundland and Labrador","2016A000210","Men+","All ages","Persons","249","units","0","v466984","2.2.1","283056","","","","0"
"1996","Newfoundland and Labrador","2016A000210","Men+","All ages","Persons","249","units","0","v466984","2.2.1","278745","","","","0"
"1997","Newfoundland and Labrador","2016A000210","Men+","All ages","Persons","249","units","0","v466984","2.2.1","273841","","","","0"
"1998","Newfoundland and Labrador","2016A000210","Men+","All ages","Persons","249","units","0","v466984","2.2.1","267283","","","","0"
"1999","Newfoundland and Labrador","2016A000210","Men+","All ages","Persons","249","units","0","v466984","2.2.1","263704","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Men+","All ages","Persons","249","units","0","v466984","2.2.1","260785","","","","0"
"2001","Newfoundland and Labrador","2016A000210","Men+","All ages","Persons","249","units","0","v466984","2.2.1","257229","","","","0"
"2002","Newfoundland and Labrador","2016A000210","Men+","All ages","Persons","249","units","0","v466984","2.2.1","255888","","","","0"
"2003","Newfoundland and Labrador","2016A000210","Men+","All ages","Persons","249","units","0","v466984","2.2.1","255481","","","","0"
"2004","Newfoundland and Labrador","2016A000210","Men+","All ages","Persons","249","units","0","v466984","2.2.1","255065","","","","0"
"2005","Newfoundland and Labrador","2016A000210","Men+","All ages","Persons","249","units","0","v466984","2.2.1","253613","","","","0"
"2006","Newfoundland and Labrador","2016A000210","Men+","All ages","Persons","249","units","0","v466984","2.2.1","251545","","","","0"
"2007","Newfoundland and Labrador","2016A000210","Men+","All ages","Persons","249","units","0","v466984","2.2.1","250427","","","","0"
"2008","Newfoundland and Labrador","2016A000210","Men+","All ages","Persons","249","units","0","v466984","2.2.1","251730","","","","0"
"2009","Newfoundland and Labrador","2016A000210","Men+","All ages","Persons","249","units","0","v466984","2.2.1","254402","","","","0"
"2010","Newfoundland and Labrador","2016A000210","Men+","All ages","Persons","249","units","0","v466984","2.2.1","257474","","","","0"
"2011","Newfoundland and Labrador","2016A000210","Men+","All ages","Persons","249","units","0","v466984","2.2.1","259030","","","","0"
"2012","Newfoundland and Labrador","2016A000210","Men+","All ages","Persons","249","units","0","v466984","2.2.1","259856","","","","0"
"2013","Newfoundland and Labrador","2016A000210","Men+","All ages","Persons","249","units","0","v466984","2.2.1","260379","","","","0"
"2014","Newfoundland and Labrador","2016A000210","Men+","All ages","Persons","249","units","0","v466984","2.2.1","261226","","","","0"
"2015","Newfoundland and Labrador","2016A000210","Men+","All ages","Persons","249","units","0","v466984","2.2.1","261756","","","","0"
"2016","Newfoundland and Labrador","2016A000210","Men+","All ages","Persons","249","units","0","v466984","2.2.1","262616","","","","0"
"2017","Newfoundland and Labrador","2016A000210","Men+","All ages","Persons","249","units","0","v466984","2.2.1","262655","","","","0"
"2018","Newfoundland and Labrador","2016A000210","Men+","All ages","Persons","249","units","0","v466984","2.2.1","261715","","","","0"
"2019","Newfoundland and Labrador","2016A000210","Men+","All ages","Persons","249","units","0","v466984","2.2.1","261230","","","","0"
"2020","Newfoundland and Labrador","2016A000210","Men+","All ages","Persons","249","units","0","v466984","2.2.1","260669","","","","0"
