"REF_DATE","GEO","DGUID","Graduation rate","Gender","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016/2017","Alberta","2021A000248","On-time","Total gender","Percent","239","units","0","v1391416755","10.1.1","78","","","","0"
"2017/2018","Alberta","2021A000248","On-time","Total gender","Percent","239","units","0","v1391416755","10.1.1","80","","","","0"
"2018/2019","Alberta","2021A000248","On-time","Total gender","Percent","239","units","0","v1391416755","10.1.1","80","","","","0"
"2019/2020","Alberta","2021A000248","On-time","Total gender","Percent","239","units","0","v1391416755","10.1.1","84","","","","0"
"2020/2021","Alberta","2021A000248","On-time","Total gender","Percent","239","units","0","v1391416755","10.1.1","84","","","","0"
"2021/2022","Alberta","2021A000248","On-time","Total gender","Percent","239","units","0","v1391416755","10.1.1","82","","","","0"
"2016/2017","Alberta","2021A000248","On-time","Male gender","Percent","239","units","0","v1391416756","10.1.2","76","","","","0"
"2017/2018","Alberta","2021A000248","On-time","Male gender","Percent","239","units","0","v1391416756","10.1.2","78","","","","0"
"2018/2019","Alberta","2021A000248","On-time","Male gender","Percent","239","units","0","v1391416756","10.1.2","78","","","","0"
"2019/2020","Alberta","2021A000248","On-time","Male gender","Percent","239","units","0","v1391416756","10.1.2","82","","","","0"
"2020/2021","Alberta","2021A000248","On-time","Male gender","Percent","239","units","0","v1391416756","10.1.2","82","","","","0"
"2021/2022","Alberta","2021A000248","On-time","Male gender","Percent","239","units","0","v1391416756","10.1.2","80","","","","0"
"2016/2017","Alberta","2021A000248","On-time","Female gender","Percent","239","units","0","v1391416757","10.1.3","81","","","","0"
"2017/2018","Alberta","2021A000248","On-time","Female gender","Percent","239","units","0","v1391416757","10.1.3","82","","","","0"
"2018/2019","Alberta","2021A000248","On-time","Female gender","Percent","239","units","0","v1391416757","10.1.3","83","","","","0"
"2019/2020","Alberta","2021A000248","On-time","Female gender","Percent","239","units","0","v1391416757","10.1.3","87","","","","0"
"2020/2021","Alberta","2021A000248","On-time","Female gender","Percent","239","units","0","v1391416757","10.1.3","86","","","","0"
"2021/2022","Alberta","2021A000248","On-time","Female gender","Percent","239","units","0","v1391416757","10.1.3","84","","","","0"
"2016/2017","Alberta","2021A000248","Extended-time","Total gender","Percent","239","units","0","v1391416758","10.2.1","84","","","","0"
"2017/2018","Alberta","2021A000248","Extended-time","Total gender","Percent","239","units","0","v1391416758","10.2.1","86","","","","0"
"2018/2019","Alberta","2021A000248","Extended-time","Total gender","Percent","239","units","0","v1391416758","10.2.1","86","","","","0"
"2019/2020","Alberta","2021A000248","Extended-time","Total gender","Percent","239","units","0","v1391416758","10.2.1","87","","","","0"
"2020/2021","Alberta","2021A000248","Extended-time","Total gender","Percent","239","units","0","v1391416758","10.2.1","88","","","","0"
"2021/2022","Alberta","2021A000248","Extended-time","Total gender","Percent","239","units","0","v1391416758","10.2.1","90","","","","0"
"2016/2017","Alberta","2021A000248","Extended-time","Male gender","Percent","239","units","0","v1391416759","10.2.2","82","","","","0"
"2017/2018","Alberta","2021A000248","Extended-time","Male gender","Percent","239","units","0","v1391416759","10.2.2","84","","","","0"
"2018/2019","Alberta","2021A000248","Extended-time","Male gender","Percent","239","units","0","v1391416759","10.2.2","84","","","","0"
"2019/2020","Alberta","2021A000248","Extended-time","Male gender","Percent","239","units","0","v1391416759","10.2.2","85","","","","0"
"2020/2021","Alberta","2021A000248","Extended-time","Male gender","Percent","239","units","0","v1391416759","10.2.2","86","","","","0"
"2021/2022","Alberta","2021A000248","Extended-time","Male gender","Percent","239","units","0","v1391416759","10.2.2","88","","","","0"
"2016/2017","Alberta","2021A000248","Extended-time","Female gender","Percent","239","units","0","v1391416760","10.2.3","86","","","","0"
"2017/2018","Alberta","2021A000248","Extended-time","Female gender","Percent","239","units","0","v1391416760","10.2.3","88","","","","0"
"2018/2019","Alberta","2021A000248","Extended-time","Female gender","Percent","239","units","0","v1391416760","10.2.3","88","","","","0"
"2019/2020","Alberta","2021A000248","Extended-time","Female gender","Percent","239","units","0","v1391416760","10.2.3","89","","","","0"
"2020/2021","Alberta","2021A000248","Extended-time","Female gender","Percent","239","units","0","v1391416760","10.2.3","90","","","","0"
"2021/2022","Alberta","2021A000248","Extended-time","Female gender","Percent","239","units","0","v1391416760","10.2.3","92","","","","0"


