"REF_DATE","GEO","DGUID","Graduation rate","Gender","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016/2017","British Columbia","2021A000259","On-time","Total gender","Percent","239","units","0","v1391416761","11.1.1","81","","","","0"
"2017/2018","British Columbia","2021A000259","On-time","Total gender","Percent","239","units","0","v1391416761","11.1.1","81","","","","0"
"2018/2019","British Columbia","2021A000259","On-time","Total gender","Percent","239","units","0","v1391416761","11.1.1","81","","","","0"
"2019/2020","British Columbia","2021A000259","On-time","Total gender","Percent","239","units","0","v1391416761","11.1.1","84","","","","0"
"2020/2021","British Columbia","2021A000259","On-time","Total gender","Percent","239","units","0","v1391416761","11.1.1","83","","","","0"
"2021/2022","British Columbia","2021A000259","On-time","Total gender","Percent","239","units","0","v1391416761","11.1.1","84","","","","0"
"2016/2017","British Columbia","2021A000259","On-time","Male gender","Percent","239","units","0","v1391416762","11.1.2","79","","","","0"
"2017/2018","British Columbia","2021A000259","On-time","Male gender","Percent","239","units","0","v1391416762","11.1.2","78","","","","0"
"2018/2019","British Columbia","2021A000259","On-time","Male gender","Percent","239","units","0","v1391416762","11.1.2","79","","","","0"
"2019/2020","British Columbia","2021A000259","On-time","Male gender","Percent","239","units","0","v1391416762","11.1.2","82","","","","0"
"2020/2021","British Columbia","2021A000259","On-time","Male gender","Percent","239","units","0","v1391416762","11.1.2","82","","","","0"
"2021/2022","British Columbia","2021A000259","On-time","Male gender","Percent","239","units","0","v1391416762","11.1.2","82","","","","0"
"2016/2017","British Columbia","2021A000259","On-time","Female gender","Percent","239","units","0","v1391416763","11.1.3","83","","","","0"
"2017/2018","British Columbia","2021A000259","On-time","Female gender","Percent","239","units","0","v1391416763","11.1.3","83","","","","0"
"2018/2019","British Columbia","2021A000259","On-time","Female gender","Percent","239","units","0","v1391416763","11.1.3","84","","","","0"
"2019/2020","British Columbia","2021A000259","On-time","Female gender","Percent","239","units","0","v1391416763","11.1.3","85","","","","0"
"2020/2021","British Columbia","2021A000259","On-time","Female gender","Percent","239","units","0","v1391416763","11.1.3","84","","","","0"
"2021/2022","British Columbia","2021A000259","On-time","Female gender","Percent","239","units","0","v1391416763","11.1.3","85","","","","0"
"2016/2017","British Columbia","2021A000259","Extended-time","Total gender","Percent","239","units","0","v1391416764","11.2.1","88","","","","0"
"2017/2018","British Columbia","2021A000259","Extended-time","Total gender","Percent","239","units","0","v1391416764","11.2.1","88","","","","0"
"2018/2019","British Columbia","2021A000259","Extended-time","Total gender","Percent","239","units","0","v1391416764","11.2.1","89","","","","0"
"2019/2020","British Columbia","2021A000259","Extended-time","Total gender","Percent","239","units","0","v1391416764","11.2.1","89","","","","0"
"2020/2021","British Columbia","2021A000259","Extended-time","Total gender","Percent","239","units","0","v1391416764","11.2.1","89","","","","0"
"2021/2022","British Columbia","2021A000259","Extended-time","Total gender","Percent","239","units","0","v1391416764","11.2.1","87","","","","0"
"2016/2017","British Columbia","2021A000259","Extended-time","Male gender","Percent","239","units","0","v1391416765","11.2.2","86","","","","0"
"2017/2018","British Columbia","2021A000259","Extended-time","Male gender","Percent","239","units","0","v1391416765","11.2.2","86","","","","0"
"2018/2019","British Columbia","2021A000259","Extended-time","Male gender","Percent","239","units","0","v1391416765","11.2.2","87","","","","0"
"2019/2020","British Columbia","2021A000259","Extended-time","Male gender","Percent","239","units","0","v1391416765","11.2.2","87","","","","0"
"2020/2021","British Columbia","2021A000259","Extended-time","Male gender","Percent","239","units","0","v1391416765","11.2.2","88","","","","0"
"2021/2022","British Columbia","2021A000259","Extended-time","Male gender","Percent","239","units","0","v1391416765","11.2.2","86","","","","0"
"2016/2017","British Columbia","2021A000259","Extended-time","Female gender","Percent","239","units","0","v1391416766","11.2.3","90","","","","0"
"2017/2018","British Columbia","2021A000259","Extended-time","Female gender","Percent","239","units","0","v1391416766","11.2.3","90","","","","0"
"2018/2019","British Columbia","2021A000259","Extended-time","Female gender","Percent","239","units","0","v1391416766","11.2.3","90","","","","0"
"2019/2020","British Columbia","2021A000259","Extended-time","Female gender","Percent","239","units","0","v1391416766","11.2.3","91","","","","0"
"2020/2021","British Columbia","2021A000259","Extended-time","Female gender","Percent","239","units","0","v1391416766","11.2.3","91","","","","0"
"2021/2022","British Columbia","2021A000259","Extended-time","Female gender","Percent","239","units","0","v1391416766","11.2.3","89","","","","0"


