"REF_DATE","GEO","DGUID","Graduation rate","Gender","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016/2017","Manitoba","2021A000246","On-time","Total gender","Percent","239","units","0","v1391416743","8.1.1","82","","","","0"
"2017/2018","Manitoba","2021A000246","On-time","Total gender","Percent","239","units","0","v1391416743","8.1.1","83","","","","0"
"2018/2019","Manitoba","2021A000246","On-time","Total gender","Percent","239","units","0","v1391416743","8.1.1","82","","","","0"
"2019/2020","Manitoba","2021A000246","On-time","Total gender","Percent","239","units","0","v1391416743","8.1.1","82","","","","0"
"2020/2021","Manitoba","2021A000246","On-time","Total gender","Percent","239","units","0","v1391416743","8.1.1","85","","","","0"
"2021/2022","Manitoba","2021A000246","On-time","Total gender","Percent","239","units","0","v1391416743","8.1.1","84","","","","0"
"2016/2017","Manitoba","2021A000246","On-time","Male gender","Percent","239","units","0","v1391416744","8.1.2","79","","","","0"
"2017/2018","Manitoba","2021A000246","On-time","Male gender","Percent","239","units","0","v1391416744","8.1.2","80","","","","0"
"2018/2019","Manitoba","2021A000246","On-time","Male gender","Percent","239","units","0","v1391416744","8.1.2","79","","","","0"
"2019/2020","Manitoba","2021A000246","On-time","Male gender","Percent","239","units","0","v1391416744","8.1.2","80","","","","0"
"2020/2021","Manitoba","2021A000246","On-time","Male gender","Percent","239","units","0","v1391416744","8.1.2","83","","","","0"
"2021/2022","Manitoba","2021A000246","On-time","Male gender","Percent","239","units","0","v1391416744","8.1.2","82","","","","0"
"2016/2017","Manitoba","2021A000246","On-time","Female gender","Percent","239","units","0","v1391416745","8.1.3","85","","","","0"
"2017/2018","Manitoba","2021A000246","On-time","Female gender","Percent","239","units","0","v1391416745","8.1.3","85","","","","0"
"2018/2019","Manitoba","2021A000246","On-time","Female gender","Percent","239","units","0","v1391416745","8.1.3","86","","","","0"
"2019/2020","Manitoba","2021A000246","On-time","Female gender","Percent","239","units","0","v1391416745","8.1.3","84","","","","0"
"2020/2021","Manitoba","2021A000246","On-time","Female gender","Percent","239","units","0","v1391416745","8.1.3","87","","","","0"
"2021/2022","Manitoba","2021A000246","On-time","Female gender","Percent","239","units","0","v1391416745","8.1.3","87","","","","0"
"2016/2017","Manitoba","2021A000246","Extended-time","Total gender","Percent","239","units","0","v1391416746","8.2.1","87","","","","0"
"2017/2018","Manitoba","2021A000246","Extended-time","Total gender","Percent","239","units","0","v1391416746","8.2.1","87","","","","0"
"2018/2019","Manitoba","2021A000246","Extended-time","Total gender","Percent","239","units","0","v1391416746","8.2.1","88","","","","0"
"2019/2020","Manitoba","2021A000246","Extended-time","Total gender","Percent","239","units","0","v1391416746","8.2.1","87","","","","0"
"2020/2021","Manitoba","2021A000246","Extended-time","Total gender","Percent","239","units","0","v1391416746","8.2.1","89","","","","0"
"2021/2022","Manitoba","2021A000246","Extended-time","Total gender","Percent","239","units","0","v1391416746","8.2.1","88","","","","0"
"2016/2017","Manitoba","2021A000246","Extended-time","Male gender","Percent","239","units","0","v1391416747","8.2.2","85","","","","0"
"2017/2018","Manitoba","2021A000246","Extended-time","Male gender","Percent","239","units","0","v1391416747","8.2.2","85","","","","0"
"2018/2019","Manitoba","2021A000246","Extended-time","Male gender","Percent","239","units","0","v1391416747","8.2.2","86","","","","0"
"2019/2020","Manitoba","2021A000246","Extended-time","Male gender","Percent","239","units","0","v1391416747","8.2.2","86","","","","0"
"2020/2021","Manitoba","2021A000246","Extended-time","Male gender","Percent","239","units","0","v1391416747","8.2.2","87","","","","0"
"2021/2022","Manitoba","2021A000246","Extended-time","Male gender","Percent","239","units","0","v1391416747","8.2.2","87","","","","0"
"2016/2017","Manitoba","2021A000246","Extended-time","Female gender","Percent","239","units","0","v1391416748","8.2.3","89","","","","0"
"2017/2018","Manitoba","2021A000246","Extended-time","Female gender","Percent","239","units","0","v1391416748","8.2.3","89","","","","0"
"2018/2019","Manitoba","2021A000246","Extended-time","Female gender","Percent","239","units","0","v1391416748","8.2.3","90","","","","0"
"2019/2020","Manitoba","2021A000246","Extended-time","Female gender","Percent","239","units","0","v1391416748","8.2.3","89","","","","0"
"2020/2021","Manitoba","2021A000246","Extended-time","Female gender","Percent","239","units","0","v1391416748","8.2.3","91","","","","0"
"2021/2022","Manitoba","2021A000246","Extended-time","Female gender","Percent","239","units","0","v1391416748","8.2.3","89","","","","0"


