REF_DATE,GEO,DGUID,Age,Type of institution attended,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2022/2023,Canada,2021A000011124,15 years old,Total type of institution attended,Percent,239,units,0,v99908352,1.1.1,96,A,,,0
2023/2024,Canada,2021A000011124,15 years old,Total type of institution attended,Percent,239,units,0,v99908352,1.1.1,97,A,,,0
2022/2023,Canada,2021A000011124,15 years old,Elementary/High School,Percent,239,units,0,v99908353,1.1.2,95,A,,,0
2023/2024,Canada,2021A000011124,15 years old,Elementary/High School,Percent,239,units,0,v99908353,1.1.2,95,A,,,0
2022/2023,Canada,2021A000011124,15 years old,College,Percent,239,units,0,v99908354,1.1.3,0,C,,,0
2023/2024,Canada,2021A000011124,15 years old,College,Percent,239,units,0,v99908354,1.1.3,1,C,,,0
2022/2023,Canada,2021A000011124,15 years old,University,Percent,239,units,0,v99908355,1.1.4,0,C,,,0
2023/2024,Canada,2021A000011124,15 years old,University,Percent,239,units,0,v99908355,1.1.4,1,C,,,0
2022/2023,Canada,2021A000011124,16 years old,Total type of institution attended,Percent,239,units,0,v99908356,1.2.1,96,A,,,0
2023/2024,Canada,2021A000011124,16 years old,Total type of institution attended,Percent,239,units,0,v99908356,1.2.1,95,A,,,0
2022/2023,Canada,2021A000011124,16 years old,Elementary/High School,Percent,239,units,0,v99908357,1.2.2,94,A,,,0
2023/2024,Canada,2021A000011124,16 years old,Elementary/High School,Percent,239,units,0,v99908357,1.2.2,93,A,,,0
2022/2023,Canada,2021A000011124,16 years old,College,Percent,239,units,0,v99908358,1.2.3,1,B,,,0
2023/2024,Canada,2021A000011124,16 years old,College,Percent,239,units,0,v99908358,1.2.3,1,C,,,0
2022/2023,Canada,2021A000011124,16 years old,University,Percent,239,units,0,v99908359,1.2.4,1,C,,,0
2023/2024,Canada,2021A000011124,16 years old,University,Percent,239,units,0,v99908359,1.2.4,1,C,,,0
2022/2023,Canada,2021A000011124,17 years old,Total type of institution attended,Percent,239,units,0,v99908360,1.3.1,91,A,,,0
2023/2024,Canada,2021A000011124,17 years old,Total type of institution attended,Percent,239,units,0,v99908360,1.3.1,90,A,,,0
2022/2023,Canada,2021A000011124,17 years old,Elementary/High School,Percent,239,units,0,v99908361,1.3.2,78,A,,,0
2023/2024,Canada,2021A000011124,17 years old,Elementary/High School,Percent,239,units,0,v99908361,1.3.2,76,A,,,0
2022/2023,Canada,2021A000011124,17 years old,College,Percent,239,units,0,v99908362,1.3.3,10,B,,,0
2023/2024,Canada,2021A000011124,17 years old,College,Percent,239,units,0,v99908362,1.3.3,11,B,,,0
2022/2023,Canada,2021A000011124,17 years old,University,Percent,239,units,0,v99908363,1.3.4,3,B,,,0
2023/2024,Canada,2021A000011124,17 years old,University,Percent,239,units,0,v99908363,1.3.4,4,B,,,0
2022/2023,Canada,2021A000011124,18 years old,Total type of institution attended,Percent,239,units,0,v99908364,1.4.1,70,A,,,0
2023/2024,Canada,2021A000011124,18 years old,Total type of institution attended,Percent,239,units,0,v99908364,1.4.1,73,A,,,0
2022/2023,Canada,2021A000011124,18 years old,Elementary/High School,Percent,239,units,0,v99908365,1.4.2,21,A,,,0
2023/2024,Canada,2021A000011124,18 years old,Elementary/High School,Percent,239,units,0,v99908365,1.4.2,22,A,,,0
2022/2023,Canada,2021A000011124,18 years old,College,Percent,239,units,0,v99908366,1.4.3,22,A,,,0
2023/2024,Canada,2021A000011124,18 years old,College,Percent,239,units,0,v99908366,1.4.3,20,A,,,0
2022/2023,Canada,2021A000011124,18 years old,University,Percent,239,units,0,v99908367,1.4.4,27,A,,,0
2023/2024,Canada,2021A000011124,18 years old,University,Percent,239,units,0,v99908367,1.4.4,30,A,,,0
2022/2023,Canada,2021A000011124,19 years old,Total type of institution attended,Percent,239,units,0,v99908368,1.5.1,65,A,,,0
2023/2024,Canada,2021A000011124,19 years old,Total type of institution attended,Percent,239,units,0,v99908368,1.5.1,66,A,,,0
2022/2023,Canada,2021A000011124,19 years old,Elementary/High School,Percent,239,units,0,v99908369,1.5.2,8,B,,,0
2023/2024,Canada,2021A000011124,19 years old,Elementary/High School,Percent,239,units,0,v99908369,1.5.2,9,B,,,0
2022/2023,Canada,2021A000011124,19 years old,College,Percent,239,units,0,v99908370,1.5.3,21,A,,,0
2023/2024,Canada,2021A000011124,19 years old,College,Percent,239,units,0,v99908370,1.5.3,21,A,,,0
2022/2023,Canada,2021A000011124,19 years old,University,Percent,239,units,0,v99908371,1.5.4,36,A,,,0
2023/2024,Canada,2021A000011124,19 years old,University,Percent,239,units,0,v99908371,1.5.4,37,A,,,0
2022/2023,Canada,2021A000011124,20 years old,Total type of institution attended,Percent,239,units,0,v99908372,1.6.1,56,A,,,0
2023/2024,Canada,2021A000011124,20 years old,Total type of institution attended,Percent,239,units,0,v99908372,1.6.1,57,A,,,0
2022/2023,Canada,2021A000011124,20 years old,Elementary/High School,Percent,239,units,0,v99908373,1.6.2,2,B,,,0
2023/2024,Canada,2021A000011124,20 years old,Elementary/High School,Percent,239,units,0,v99908373,1.6.2,2,B,,,0
2022/2023,Canada,2021A000011124,20 years old,College,Percent,239,units,0,v99908374,1.6.3,16,B,,,0
2023/2024,Canada,2021A000011124,20 years old,College,Percent,239,units,0,v99908374,1.6.3,16,A,,,0
2022/2023,Canada,2021A000011124,20 years old,University,Percent,239,units,0,v99908375,1.6.4,38,A,,,0
2023/2024,Canada,2021A000011124,20 years old,University,Percent,239,units,0,v99908375,1.6.4,39,A,,,0
2022/2023,Canada,2021A000011124,21 years old,Total type of institution attended,Percent,239,units,0,v99908376,1.7.1,50,A,,,0
2023/2024,Canada,2021A000011124,21 years old,Total type of institution attended,Percent,239,units,0,v99908376,1.7.1,53,A,,,0
2022/2023,Canada,2021A000011124,21 years old,Elementary/High School,Percent,239,units,0,v99908377,1.7.2,1,C,,,0
2023/2024,Canada,2021A000011124,21 years old,Elementary/High School,Percent,239,units,0,v99908377,1.7.2,1,B,,,0
2022/2023,Canada,2021A000011124,21 years old,College,Percent,239,units,0,v99908378,1.7.3,12,B,,,0
2023/2024,Canada,2021A000011124,21 years old,College,Percent,239,units,0,v99908378,1.7.3,12,B,,,0
2022/2023,Canada,2021A000011124,21 years old,University,Percent,239,units,0,v99908379,1.7.4,37,A,,,0
2023/2024,Canada,2021A000011124,21 years old,University,Percent,239,units,0,v99908379,1.7.4,40,A,,,0
2022/2023,Canada,2021A000011124,22 years old,Total type of institution attended,Percent,239,units,0,v99908380,1.8.1,43,A,,,0
2023/2024,Canada,2021A000011124,22 years old,Total type of institution attended,Percent,239,units,0,v99908380,1.8.1,42,A,,,0
2022/2023,Canada,2021A000011124,22 years old,Elementary/High School,Percent,239,units,0,v99908381,1.8.2,1,C,,,0
2023/2024,Canada,2021A000011124,22 years old,Elementary/High School,Percent,239,units,0,v99908381,1.8.2,1,D,,,0
2022/2023,Canada,2021A000011124,22 years old,College,Percent,239,units,0,v99908382,1.8.3,10,B,,,0
2023/2024,Canada,2021A000011124,22 years old,College,Percent,239,units,0,v99908382,1.8.3,10,B,,,0
2022/2023,Canada,2021A000011124,22 years old,University,Percent,239,units,0,v99908383,1.8.4,32,A,,,0
2023/2024,Canada,2021A000011124,22 years old,University,Percent,239,units,0,v99908383,1.8.4,32,A,,,0
2022/2023,Canada,2021A000011124,23 years old,Total type of institution attended,Percent,239,units,0,v99908384,1.9.1,32,A,,,0
2023/2024,Canada,2021A000011124,23 years old,Total type of institution attended,Percent,239,units,0,v99908384,1.9.1,36,A,,,0
2022/2023,Canada,2021A000011124,23 years old,Elementary/High School,Percent,239,units,0,v99908385,1.9.2,1,C,,,0
2023/2024,Canada,2021A000011124,23 years old,Elementary/High School,Percent,239,units,0,v99908385,1.9.2,1,C,,,0
2022/2023,Canada,2021A000011124,23 years old,College,Percent,239,units,0,v99908386,1.9.3,8,B,,,0
2023/2024,Canada,2021A000011124,23 years old,College,Percent,239,units,0,v99908386,1.9.3,9,B,,,0
