Year,Ownership rate,Total,Single-detached,Apartments,Other dwellings,Owners,Owner-Single-detached,Owner-Apartments,Owner-Other dwellings,Renter,Renter-Single-detached,Renter-Apartments,Renter-Other dwellings,Geo
1976,65,586100,378500,110700,96800,378700,326300,6400,46100,207300,52200,104300,50800,Alberta
1977,64,624320,399580,118760,105920,400640,343220,6300,51220,223620,56360,112460,54780,Alberta
1978,64,662540,420660,126820,115040,422580,360140,6200,56340,239940,60520,120620,58760,Alberta
1979,64,700760,441740,134880,124160,444520,377060,6100,61460,256260,64680,128780,62740,Alberta
1980,63,738980,462820,142940,133280,466460,393980,6000,66580,272580,68840,136940,66720,Alberta
1981,63,777200,483900,151000,142400,488400,410900,5900,71700,288900,73000,145100,70700,Alberta
1982,63,793640,494980,156360,142380,496680,420840,6660,69260,297040,74140,149680,73140,Alberta
1983,62,810080,506060,161720,142360,504960,430780,7420,66820,305180,75280,154260,75580,Alberta
1984,62,826520,517140,167080,142340,513240,440720,8180,64380,313320,76420,158840,78020,Alberta
1985,62,842960,528220,172440,142320,521520,450660,8940,61940,321460,77560,163420,80460,Alberta
1986,62,859400,539300,177800,142300,529800,460600,9700,59500,329600,78700,168000,82900,Alberta
1987,62,872820,546940,178380,147500,542500,469400,9840,63260,330300,77520,168460,84320,Alberta
1988,63,886240,554580,178960,152700,555200,478200,9980,67020,331000,76340,168920,85740,Alberta
1989,63,899660,562220,179540,157900,567900,487000,10120,70780,331700,75160,169380,87160,Alberta
1990,64,913080,569860,180120,163100,580600,495800,10260,74540,332400,73980,169840,88580,Alberta
1991,64,926500,577500,180700,168300,593300,504600,10400,78300,333100,72800,170300,90000,Alberta
1992,65,942820,593120,183320,166380,611620,519460,12340,79820,331120,73580,170980,86560,Alberta
1993,66,959140,608740,185940,164460,629940,534320,14280,81340,329140,74360,171660,83120,Alberta
1994,66,975460,624360,188560,162540,648260,549180,16220,82860,327160,75140,172340,79680,Alberta
1995,67,991780,639980,191180,160620,666580,564040,18160,84380,325180,75920,173020,76240,Alberta
1996,68,1008100,655600,193800,158700,684900,578900,20100,85900,323200,76700,173700,72800,Alberta
1997,68,1033580,671400,196580,165600,708260,595180,23020,90060,325320,76220,173560,75520,Alberta
1998,69,1059060,687200,199360,172500,731620,611460,25940,94220,327440,75740,173420,78240,Alberta
1999,70,1084540,703000,202140,179400,754980,627740,28860,98380,329560,75260,173280,80960,Alberta
2000,70,1110020,718800,204920,186300,778340,644020,31780,102540,331680,74780,173140,83680,Alberta
2001,71,1135500,734600,207700,193200,801700,660300,34700,106700,333800,74300,173000,86400,Alberta
2002,71,1169360,752180,216540,200640,832460,678140,40900,113420,336900,74040,175620,87140,Alberta
2003,72,1203220,769760,225380,208080,863220,695980,47100,120140,340000,73780,178240,87880,Alberta
2004,72,1237080,787340,234220,215520,893980,713820,53300,126860,343100,73520,180860,88620,Alberta
2005,73,1270940,804920,243060,222960,924740,731660,59500,133580,346200,73260,183480,89360,Alberta
2006,73,1304800,822500,251900,230400,955500,749500,65700,140300,349300,73000,186100,90100,Alberta
2007,73,1333320,840860,255040,237400,977840,764160,68540,145160,355460,76700,186420,92260,Alberta
2008,73,1361840,859220,258180,244400,1000180,778820,71380,150020,361620,80400,186740,94420,Alberta
2009,74,1390360,877580,261320,251400,1022520,793480,74220,154880,367780,84100,187060,96580,Alberta
2010,74,1418880,895940,264460,258400,1044860,808140,77060,159740,373940,87800,187380,98740,Alberta
2011,74,1447400,914300,267600,265400,1067200,822800,79900,164600,380100,91500,187700,100900,Alberta
2012,74,1493080,942940,276180,273880,1101820,848880,82780,170240,391180,94060,193400,103720,Alberta
2013,74,1538760,971580,284760,282360,1136440,874960,85660,175880,402260,96620,199100,106540,Alberta
2014,74,1584440,1000220,293340,290840,1171060,901040,88540,181520,413340,99180,204800,109360,Alberta
2015,74,1630120,1028860,301920,299320,1205680,927120,91420,187160,424420,101740,210500,112180,Alberta
2016,74,1675800,1057500,310500,307800,1240300,953200,94300,192800,435500,104300,216200,115000,Alberta
2017,74,1715160,1082720,317560,314860,1271060,976460,96860,197740,444080,106260,220700,117120,Alberta
2018,74,1754520,1107940,324620,321920,1301820,999720,99420,202680,452660,108220,225200,119240,Alberta
2019,74,1793880,1133160,331680,328980,1332580,1022980,101980,207620,461240,110180,229700,121360,Alberta
2020,74,1833240,1158380,338740,336040,1363340,1046240,104540,212560,469820,112140,234200,123480,Alberta
2021,74,1872600,1183600,345800,343100,1394100,1069500,107100,217500,478400,114100,238700,125600,Alberta
2022,74,1913400,1209300,353660,350360,1425740,1093200,110000,222560,487580,116120,243660,127820,Alberta
2023,75,1954200,1235000,361520,357620,1457380,1116900,112900,227620,496760,118140,248620,130040,Alberta
2024,75,1995000,1260700,369380,364880,1489020,1140600,115800,232680,505940,120160,253580,132260,Alberta
2025,75,2035800,1286400,377240,372140,1520660,1164300,118700,237740,515120,122180,258540,134480,Alberta
2026,75,2076600,1312100,385100,379400,1552300,1188000,121600,242800,524300,124200,263500,136700,Alberta
2027,75,2119440,1338400,394000,387040,1584640,1212040,124760,247920,534800,126440,269240,139200,Alberta
2028,75,2162280,1364700,402900,394680,1616980,1236080,127920,253040,545300,128680,274980,141700,Alberta
2029,75,2205120,1391000,411800,402320,1649320,1260120,131080,258160,555800,130920,280720,144200,Alberta
2030,75,2247960,1417300,420700,409960,1681660,1284160,134240,263280,566300,133160,286460,146700,Alberta
2031,75,2290800,1443600,429600,417600,1714000,1308200,137400,268400,576800,135400,292200,149200,Alberta
2032,75,2336080,1470780,439520,425800,1747660,1332920,140900,273820,588440,137860,298620,151980,Alberta
2033,75,2381360,1497960,449440,434000,1781320,1357640,144400,279240,600080,140320,305040,154760,Alberta
2034,75,2426640,1525140,459360,442200,1814980,1382360,147900,284660,611720,142780,311460,157540,Alberta
2035,75,2471920,1552320,469280,450400,1848640,1407080,151400,290080,623360,145240,317880,160320,Alberta
2036,75,2517200,1579500,479200,458600,1882300,1431800,154900,295500,635000,147700,324300,163100,Alberta
