Geographic code,Geographic name,Census year,Sex,Total (counts),Age groups: 0 to 14 years (counts) ,Age groups: 15 to 64 years (counts) ,Age groups: 65 years and over (counts) ,Average age,Ratio: 15 to 64 vs 65 years and over,Ratio: 15 to 64 vs 0 to 14 and 65 years and over,Total (Distribution),Age groups: 0 to 14 years (distribution) ,Age groups: 15 to 64 years (distribution) ,Age groups: 65 years and over (distribution) 
01,Canada,1851,Both sexes,2313880,1036755,1219605,57530,21.6,21.2,1.1,100,44.8,52.7,2.5
01,Canada,1851,Male,1187685,527575,628440,31675,22,19.8,1.1,100,44.4,52.9,2.7
01,Canada,1851,Female,1126200,509175,591165,25855,21.1,22.9,1.1,100,45.2,52.5,2.3
01,Canada,1861,Both sexes,3090560,1311940,1686620,92000,22.5,18.3,1.2,100,42.4,54.6,3
01,Canada,1861,Male,1588975,668015,870680,50275,22.9,17.3,1.2,100,42,54.8,3.2
01,Canada,1861,Female,1501585,643925,815940,41720,22.1,19.6,1.2,100,42.9,54.3,2.8
01,Canada,1871,Both sexes,3508585,1462380,1918740,127465,23.4,15.1,1.2,100,41.7,54.7,3.6
01,Canada,1871,Male,1778200,745290,963350,69560,23.7,13.8,1.2,100,41.9,54.2,3.9
01,Canada,1871,Female,1730380,717085,955395,57900,23.2,16.5,1.2,100,41.4,55.2,3.3
01,Canada,1881,Both sexes,4324810,1674750,2471365,178700,24.6,13.8,1.3,100,38.7,57.1,4.1
01,Canada,1881,Male,2188850,851675,1242855,94325,24.8,13.2,1.3,100,38.9,56.8,4.3
01,Canada,1881,Female,2135955,823080,1228515,84375,24.4,14.6,1.4,100,38.5,57.5,4
01,Canada,1891,Both sexes,4801075,1749975,2830885,220210,25.7,12.9,1.4,100,36.4,59,4.6
01,Canada,1891,Male,2444310,888940,1440215,115160,25.8,12.5,1.4,100,36.4,58.9,4.7
01,Canada,1891,Female,2356760,861035,1390675,105055,25.5,13.2,1.4,100,36.5,59,4.5
01,Canada,1901,Both sexes,5345820,1846405,3228530,270890,26.8,11.9,1.5,100,34.5,60.4,5.1
01,Canada,1901,Male,2738520,936240,1663435,138845,26.9,12,1.5,100,34.2,60.7,5.1
01,Canada,1901,Female,2607300,910165,1565090,132045,26.6,11.9,1.5,100,34.9,60,5.1
01,Canada,1911,Both sexes,7206645,2382950,4488260,335440,26.9,13.4,1.7,100,33.1,62.3,4.7
01,Canada,1911,Male,3821995,1206605,2444595,170800,27.3,14.3,1.8,100,31.6,64,4.5
01,Canada,1911,Female,3384650,1176345,2043660,164640,26.6,12.4,1.5,100,34.8,60.4,4.9
01,Canada,1921,Both sexes,8787995,3026880,5341000,420120,27.3,12.7,1.5,100,34.4,60.8,4.8
01,Canada,1921,Male,4529460,1527375,2787165,214920,27.7,13,1.6,100,33.7,61.5,4.7
01,Canada,1921,Female,4258540,1499495,2553835,205200,26.8,12.4,1.5,100,35.2,60,4.8
01,Canada,1931,Both sexes,10376780,3282395,6518350,576040,28.5,11.3,1.7,100,31.6,62.8,5.6
01,Canada,1931,Male,5374545,1659445,3420575,294525,28.9,11.6,1.8,100,30.9,63.6,5.5
01,Canada,1931,Female,5002240,1622945,3097780,281515,28.1,11,1.6,100,32.4,61.9,5.6
01,Canada,1941,Both sexes,11506650,3198550,7540285,767810,30.4,9.8,1.9,100,27.8,65.5,6.7
01,Canada,1941,Male,5900530,1619300,3890325,390905,30.7,10,1.9,100,27.4,65.9,6.6
01,Canada,1941,Female,5606120,1579255,3649965,376905,30.1,9.7,1.9,100,28.2,65.1,6.7
01,Canada,1951,Both sexes,14009460,4250720,8672435,1086305,30.3,8,1.6,100,30.3,61.9,7.8
01,Canada,1951,Male,7088900,2168060,4369510,551330,30.4,7.9,1.6,100,30.6,61.6,7.8
01,Canada,1951,Female,6920555,2082655,4302925,534975,30.2,8,1.6,100,30.1,62.2,7.7
01,Canada,1956,Both sexes,16080795,5225205,9611640,1243940,29.8,7.7,1.5,100,32.5,59.8,7.7
01,Canada,1956,Male,8151875,2663815,4865850,622210,29.8,7.8,1.5,100,32.7,59.7,7.6
01,Canada,1956,Female,7928910,2561390,4745790,621730,29.9,7.6,1.5,100,32.3,59.9,7.8
01,Canada,1961,Both sexes,18238250,6191920,10655170,1391155,29.5,7.7,1.4,100,34,58.4,7.6
01,Canada,1961,Male,9218895,3166090,5378685,674120,29.3,8,1.4,100,34.3,58.3,7.3
01,Canada,1961,Female,9019350,3025830,5276485,717035,29.7,7.4,1.4,100,33.5,58.5,7.9
01,Canada,1966,Both sexes,20014880,6591760,11883575,1539550,29.7,7.7,1.5,100,32.9,59.4,7.7
01,Canada,1966,Male,10054345,3372850,5964940,716560,29.3,8.3,1.5,100,33.5,59.3,7.1
01,Canada,1966,Female,9960535,3218910,5918635,822995,30.2,7.2,1.5,100,32.3,59.4,8.3
01,Canada,1971,Both sexes,21568310,6380900,13443005,1744405,30.7,7.7,1.7,100,29.6,62.3,8.1
01,Canada,1971,Male,10795365,3263485,6750025,781860,30.1,8.6,1.7,100,30.2,62.5,7.2
01,Canada,1971,Female,10772945,3117415,6692980,962545,31.4,7,1.6,100,28.9,62.1,8.9
01,Canada,1976,Both sexes,22992605,5896175,15094085,2002345,31.9,7.5,1.9,100,25.6,65.6,8.7
01,Canada,1976,Male,11449525,3020010,7554110,875400,31.1,8.6,1.9,100,26.4,66,7.6
01,Canada,1976,Female,11543080,2876170,7539970,1126940,32.7,6.7,1.9,100,24.9,65.3,9.8
01,Canada,1981,Both sexes,24343180,5481100,16501105,2360975,33.2,7,2.1,100,22.5,67.8,9.7
01,Canada,1981,Male,12068290,2811130,8246305,1010855,32.3,8.2,2.2,100,23.3,68.3,8.4
01,Canada,1981,Female,12274890,2669975,8254795,1350120,34.1,6.1,2.1,100,21.8,67.2,11
01,Canada,1986,Both sexes,25309335,5391965,17219790,2697575,34.4,6.4,2.1,100,21.3,68,10.7
01,Canada,1986,Male,12485655,2764635,8587680,1133335,33.4,7.6,2.2,100,22.1,68.8,9.1
01,Canada,1986,Female,12823675,2627330,8632110,1564240,35.4,5.5,2.1,100,20.5,67.3,12.2
01,Canada,1991,Both sexes,27296860,5692555,18434335,3169970,35.4,5.8,2.1,100,20.9,67.5,11.6
01,Canada,1991,Male,13454580,2916910,9207245,1330420,34.4,6.9,2.2,100,21.7,68.4,9.9
01,Canada,1991,Female,13842280,2775645,9227085,1839545,36.4,5,2,100,20.1,66.7,13.3
01,Canada,1996,Both sexes,28846760,5901280,19417640,3527840,36.3,5.5,2.1,100,20.5,67.3,12.2
01,Canada,1996,Male,14170025,3025215,9656990,1487825,35.3,6.5,2.1,100,21.3,68.2,10.5
01,Canada,1996,Female,14676735,2876065,9760650,2040015,37.4,4.8,2,100,19.6,66.5,13.9
01,Canada,2001,Both sexes,30007090,5725535,20393010,3888550,37.7,5.2,2.1,100,19.1,68,13
01,Canada,2001,Male,14706850,2930990,10113205,1662655,36.7,6.1,2.2,100,19.9,68.8,11.3
01,Canada,2001,Female,15300240,2794545,10279800,2225895,38.8,4.6,2,100,18.3,67.2,14.5
01,Canada,2006,Both sexes,31612895,5579840,21697805,4335250,39.1,5,2.2,100,17.7,68.6,13.7
01,Canada,2006,Male,15475970,2857320,10731550,1887100,38.1,5.7,2.3,100,18.5,69.3,12.2
01,Canada,2006,Female,16136925,2722515,10966255,2448155,40.1,4.5,2.1,100,16.9,68,15.2
01,Canada,2011,Both sexes,33476685,5607345,22924285,4945055,40.1,4.6,2.2,100,16.8,68.5,14.8
01,Canada,2011,Male,16414230,2871105,11344355,2198775,39.1,5.2,2.2,100,17.5,69.1,13.4
01,Canada,2011,Female,17062460,2736245,11579930,2746285,41,4.2,2.1,100,16,67.9,16.1
01,Canada,2016,Both sexes,35151725,5839570,23376525,5935630,41,3.9,2,100,16.6,66.5,16.9
01,Canada,2016,Male,17264200,2992925,11576130,2695150,40.1,4.3,2,100,17.3,67.1,15.6
01,Canada,2016,Female,17887530,2846645,11800400,3240485,41.9,3.6,1.9,100,15.9,66,18.1
10,Newfoundland and Labrador,1951,Both sexes,361415,141390,196535,23495,26.4,8.4,1.2,100,39.1,54.4,6.5
10,Newfoundland and Labrador,1951,Male,185145,71815,101315,12015,26.5,8.4,1.2,100,38.8,54.7,6.5
10,Newfoundland and Labrador,1951,Female,176275,69580,95215,11475,26.3,8.3,1.2,100,39.5,54,6.5
