Province,Model,RMSE,MAE,R2
Ontario,Prophet,102774.32230199022,95284.49506998961,0.6301123255892741
Ontario,RandomForest,403602.1197517242,357003.6170212766,-4.704367454393509
Ontario,XGBoost,416045.28984234395,360094.625,-5.061523914337158
Prince Edward Island,Prophet,743.5903462355351,661.3705903028027,0.8751875264603072
Prince Edward Island,RandomForest,4837.624482976937,4344.893617021276,-4.282686174126301
Prince Edward Island,XGBoost,4804.699782504626,4319.15283203125,-4.211022853851318
Quebec,Prophet,23254.45651856345,18935.4337271285,0.9023608777583982
Quebec,RandomForest,169391.0760542258,153398.29787234042,-4.180748765763283
Quebec,XGBoost,167111.15725767685,149615.390625,-4.042227745056152
Alberta,Prophet,71229.72129484611,57784.4444004825,0.5012122223572685
Alberta,RandomForest,220205.43283854943,193864.94623655913,-3.7670463205105973
Alberta,XGBoost,220478.87604938482,197662.046875,-3.7788925170898438
British Columbia,Prophet,33739.33373345732,27573.784363009672,0.7805406667738035
British Columbia,RandomForest,168248.8463013058,143668.17204301077,-4.457393143778737
British Columbia,XGBoost,152825.3733906775,122950.3671875,-3.502689838409424
Canada,Prophet,165885.6100751365,135013.0962300972,0.8672928956748112
Canada,RandomForest,963847.4387366186,842776.5591397849,-3.480158095213209
Canada,XGBoost,836899.200238595,702174.8125,-2.3777148723602295
Manitoba,Prophet,17443.573859209548,14361.771306499035,-0.1058726911134904
Manitoba,RandomForest,35762.52924290258,30719.462365591397,-3.6482625281541923
Manitoba,XGBoost,29957.906468910674,24946.51171875,-2.2617979049682617
New Brunswick,Prophet,5948.5898273789035,5114.08981863178,-1.4663241817489365
New Brunswick,RandomForest,8470.924147575546,7547.419354838709,-4.001309126293397
New Brunswick,XGBoost,8093.223832317996,7299.7861328125,-3.5652565956115723
Newfoundland and Labrador,Prophet,5358.689255931383,4786.493106227761,-41.18084181973442
Newfoundland and Labrador,RandomForest,2041.5277328194609,1866.3440860215053,-5.1222162194293475
Newfoundland and Labrador,XGBoost,1569.3332979325967,1364.50048828125,-2.6176655292510986
