REF_DATE,GEO,DGUID,Place of death,Characteristics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
1991,"Canada, place of residence",2016A000011124,"Total, place of death",Number of deaths,Number,223,units,0,v21227354,1.1.1,195569,,,,0
1991,"Canada, place of residence",2016A000011124,"Total, place of death",Percentage of deaths,Percentage,242,units,0,v21227355,1.1.2,100,,,,1
1991,"Canada, place of residence",2016A000011124,"Place of death, hospital",Number of deaths,Number,223,units,0,v21227356,1.2.1,150535,,,,0
1991,"Canada, place of residence",2016A000011124,"Place of death, hospital",Percentage of deaths,Percentage,242,units,0,v21227357,1.2.2,77,,,,1
1991,"Canada, place of residence",2016A000011124,"Place of death, non-hospital",Number of deaths,Number,223,units,0,v21227358,1.3.1,44027,,,,0
1991,"Canada, place of residence",2016A000011124,"Place of death, non-hospital",Percentage of deaths,Percentage,242,units,0,v21227359,1.3.2,22.5,,,,1
1991,"Canada, place of residence",2016A000011124,"Place of death, unknown",Number of deaths,Number,223,units,0,v21227360,1.4.1,1007,,,,0
1991,"Canada, place of residence",2016A000011124,"Place of death, unknown",Percentage of deaths,Percentage,242,units,0,v21227361,1.4.2,0.5,,,,1
1991,"Newfoundland and Labrador, place of residence",2016A000210,"Total, place of death",Number of deaths,Number,223,units,0,v21227362,2.1.1,3798,,,,0
1991,"Newfoundland and Labrador, place of residence",2016A000210,"Total, place of death",Percentage of deaths,Percentage,242,units,0,v21227363,2.1.2,100,,,,1
1991,"Newfoundland and Labrador, place of residence",2016A000210,"Place of death, hospital",Number of deaths,Number,223,units,0,v21227364,2.2.1,2499,,,,0
1991,"Newfoundland and Labrador, place of residence",2016A000210,"Place of death, hospital",Percentage of deaths,Percentage,242,units,0,v21227365,2.2.2,65.8,,,,1
1991,"Newfoundland and Labrador, place of residence",2016A000210,"Place of death, non-hospital",Number of deaths,Number,223,units,0,v21227366,2.3.1,1291,,,,0
1991,"Newfoundland and Labrador, place of residence",2016A000210,"Place of death, non-hospital",Percentage of deaths,Percentage,242,units,0,v21227367,2.3.2,34,,,,1
1991,"Newfoundland and Labrador, place of residence",2016A000210,"Place of death, unknown",Number of deaths,Number,223,units,0,v21227368,2.4.1,8,,,,0
1991,"Newfoundland and Labrador, place of residence",2016A000210,"Place of death, unknown",Percentage of deaths,Percentage,242,units,0,v21227369,2.4.2,0.2,,,,1
1991,"Prince Edward Island, place of residence",2016A000211,"Total, place of death",Number of deaths,Number,223,units,0,v21227370,3.1.1,1188,,,,0
1991,"Prince Edward Island, place of residence",2016A000211,"Total, place of death",Percentage of deaths,Percentage,242,units,0,v21227371,3.1.2,100,,,,1
1991,"Prince Edward Island, place of residence",2016A000211,"Place of death, hospital",Number of deaths,Number,223,units,0,v21227372,3.2.1,752,,,,0
1991,"Prince Edward Island, place of residence",2016A000211,"Place of death, hospital",Percentage of deaths,Percentage,242,units,0,v21227373,3.2.2,63.3,,,,1
1991,"Prince Edward Island, place of residence",2016A000211,"Place of death, non-hospital",Number of deaths,Number,223,units,0,v21227374,3.3.1,418,,,,0
1991,"Prince Edward Island, place of residence",2016A000211,"Place of death, non-hospital",Percentage of deaths,Percentage,242,units,0,v21227375,3.3.2,35.2,,,,1
1991,"Prince Edward Island, place of residence",2016A000211,"Place of death, unknown",Number of deaths,Number,223,units,0,v21227376,3.4.1,18,,,,0
1991,"Prince Edward Island, place of residence",2016A000211,"Place of death, unknown",Percentage of deaths,Percentage,242,units,0,v21227377,3.4.2,1.5,,,,1
1991,"Nova Scotia, place of residence",2016A000212,"Total, place of death",Number of deaths,Number,223,units,0,v21227378,4.1.1,7255,,,,0
1991,"Nova Scotia, place of residence",2016A000212,"Total, place of death",Percentage of deaths,Percentage,242,units,0,v21227379,4.1.2,100,,,,1
1991,"Nova Scotia, place of residence",2016A000212,"Place of death, hospital",Number of deaths,Number,223,units,0,v21227380,4.2.1,5069,,,,0
1991,"Nova Scotia, place of residence",2016A000212,"Place of death, hospital",Percentage of deaths,Percentage,242,units,0,v21227381,4.2.2,69.9,,,,1
1991,"Nova Scotia, place of residence",2016A000212,"Place of death, non-hospital",Number of deaths,Number,223,units,0,v21227382,4.3.1,2154,,,,0
1991,"Nova Scotia, place of residence",2016A000212,"Place of death, non-hospital",Percentage of deaths,Percentage,242,units,0,v21227383,4.3.2,29.7,,,,1
1991,"Nova Scotia, place of residence",2016A000212,"Place of death, unknown",Number of deaths,Number,223,units,0,v21227384,4.4.1,32,,,,0
1991,"Nova Scotia, place of residence",2016A000212,"Place of death, unknown",Percentage of deaths,Percentage,242,units,0,v21227385,4.4.2,0.4,,,,1
1991,"New Brunswick, place of residence",2016A000213,"Total, place of death",Number of deaths,Number,223,units,0,v21227386,5.1.1,5469,,,,0
1991,"New Brunswick, place of residence",2016A000213,"Total, place of death",Percentage of deaths,Percentage,242,units,0,v21227387,5.1.2,100,,,,1
1991,"New Brunswick, place of residence",2016A000213,"Place of death, hospital",Number of deaths,Number,223,units,0,v21227388,5.2.1,5453,,,,0
1991,"New Brunswick, place of residence",2016A000213,"Place of death, hospital",Percentage of deaths,Percentage,242,units,0,v21227389,5.2.2,99.7,,,,1
1991,"New Brunswick, place of residence",2016A000213,"Place of death, non-hospital",Number of deaths,Number,223,units,0,v21227390,5.3.1,15,,,,0
1991,"New Brunswick, place of residence",2016A000213,"Place of death, non-hospital",Percentage of deaths,Percentage,242,units,0,v21227391,5.3.2,0.3,,,,1
1991,"New Brunswick, place of residence",2016A000213,"Place of death, unknown",Number of deaths,Number,223,units,0,v21227392,5.4.1,1,,,,0
1991,"New Brunswick, place of residence",2016A000213,"Place of death, unknown",Percentage of deaths,Percentage,242,units,0,v21227393,5.4.2,0,,,,1
