REF_DATE,GEO,Education price index (EPI),Fees and contractual services sub-index,Instructional supplies sub-index,Non-salary sub-index,Non-teaching salaries sub-index,Salaries and wages sub-index,"School facilities, supplies and services sub-index",Teachers' salaries sub-index
1971,Alberta,30.13,29.86,28.19,27.24,27.59,30.76,23.58,31.33
1971,British Columbia,30.19,25.15,28.19,25.06,27.79,31.13,22.67,31.82
1971,Canada,29.82,28.81,28.19,26.93,27.65,30.51,23.51,30.91
1971,Manitoba,29.49,31.8,28.19,27.75,27.85,29.88,23.81,30.22
1971,New Brunswick,27.93,31.71,28.19,27.28,27.76,28.1,24.67,28.22
1971,Newfoundland and Labrador,29.37,29.39,28.19,27.45,28.22,29.77,24.19,29.88
1971,Nova Scotia,27.54,27.6,28.19,26.18,27.02,27.74,24.29,27.84
1971,Ontario,30.36,30.07,28.19,26.9,27.76,31.17,23.48,31.68
1971,Prince Edward Island,27.99,30.6,28.19,27.44,28.22,28.07,25.1,28.16
1971,Quebec,29.49,27.64,28.19,27.11,27.36,30.08,24.08,30.32
1971,Saskatchewan,28.92,31.13,28.19,27.44,27.79,29.37,21.89,29.6
1972,Alberta,31.62,30.74,28.61,27.98,28.08,32.42,24.45,33.17
1972,British Columbia,32.11,26.64,28.61,25.92,28.28,33.26,23.51,34.25
1972,Canada,31.2,29.86,28.61,27.72,28.15,32.02,24.39,32.58
1972,Manitoba,30.88,32.43,28.61,28.39,28.34,31.42,24.69,31.94
1972,New Brunswick,29.66,32.37,28.61,28.03,28.25,30.01,25.59,30.33
1972,Newfoundland and Labrador,31.68,30.34,28.61,28.32,28.72,32.46,25.09,32.72
1972,Nova Scotia,29.3,28.85,28.61,27.11,27.5,29.63,25.2,29.92
1972,Ontario,31.31,30.95,28.61,27.61,28.25,32.18,24.35,32.77
1972,Prince Edward Island,29.6,31.41,28.61,28.23,28.72,29.8,26.04,30.05
1972,Quebec,31.1,28.86,28.61,28.04,27.84,31.87,24.98,32.27
1972,Saskatchewan,30.53,31.87,28.61,28.11,28.28,31.27,22.71,31.69
1973,Alberta,33.45,31.07,29.77,29.17,28.42,34.4,26.57,35.41
1973,British Columbia,34.63,28.14,29.77,27.6,28.62,35.93,25.54,37.36
1973,Canada,33.03,30.5,29.77,28.97,28.48,33.99,26.49,34.79
1973,Manitoba,32.62,32.28,29.77,29.57,28.68,33.29,26.82,34.06
1973,New Brunswick,31.52,32.27,29.77,29.42,28.59,31.95,27.8,32.51
1973,Newfoundland and Labrador,33.66,30.8,29.77,29.46,29.06,34.64,27.25,35.03
1973,Nova Scotia,31.17,29.87,29.77,28.63,27.83,31.54,27.37,32.03
1973,Ontario,32.46,31.27,29.77,28.83,28.59,33.31,26.45,34.03
1973,Prince Edward Island,31.79,31.61,29.77,29.65,29.06,32.12,28.28,32.59
1973,Quebec,33.62,29.81,29.77,29.23,28.18,34.78,27.13,35.51
1973,Saskatchewan,32.53,31.94,29.77,29.06,28.62,33.59,24.67,34.25
1974,Alberta,36.55,32.07,39.6,33.96,31.09,37.12,30.81,38.16
1974,British Columbia,38.65,29.91,39.6,33.0,31.31,39.68,29.62,41.32
1974,Canada,36.46,31.72,39.6,33.79,31.16,37.1,30.73,37.96
1974,Manitoba,36.69,32.99,39.6,35.51,31.38,36.95,31.11,37.89
1974,New Brunswick,33.9,33.01,39.6,33.9,31.28,33.96,32.24,34.43
1974,Newfoundland and Labrador,36.14,31.9,39.6,32.8,31.8,36.88,31.61,37.24
1974,Nova Scotia,34.19,31.35,39.6,33.05,30.45,34.37,31.75,34.89
