"REF_DATE","GEO","DGUID","Type of expenditure","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1947/1948","Canada","","Total expenditures","Dollars","81","thousands","3","v1568007","1.1","13951","","","","0"
"1947/1948","Canada","","Total operating expenditures","Dollars","81","thousands","3","v1568013","1.7","13951","","","","0"
"1947/1948","Canada","","Subtotal instructional expenditures","Dollars","81","thousands","3","v1568010","1.4","3742","","","","0"
"1947/1948","Canada","","Teachers salaries","Dollars","81","thousands","3","v1568008","1.2","3742","","","","0"
"1947/1948","Canada","","Non-instructional salaries and wages","Dollars","81","thousands","3","v1568011","1.5","1965","","","","0"
"1947/1948","Canada","","Other operating expenditures","Dollars","81","thousands","3","v1568012","1.6","8244","","","","0"
"1947/1948","Canada","","Capita outlay and debt charges","Dollars","81","thousands","3","v1568014","1.8","0","","","","0"
"1947/1948","Atlantic Province","","Total expenditures","Dollars","81","thousands","3","v1568047","6.1","744","","","","0"
"1947/1948","Atlantic Province","","Total operating expenditures","Dollars","81","thousands","3","v1568053","6.7","744","","","","0"
"1947/1948","Atlantic Province","","Subtotal instructional expenditures","Dollars","81","thousands","3","v1568050","6.4","142","","","","0"
"1947/1948","Atlantic Province","","Teachers salaries","Dollars","81","thousands","3","v1568048","6.2","142","","","","0"
"1947/1948","Atlantic Province","","Non-instructional salaries and wages","Dollars","81","thousands","3","v1568051","6.5","57","","","","0"
"1947/1948","Atlantic Province","","Other operating expenditures","Dollars","81","thousands","3","v1568052","6.6","545","","","","0"
"1947/1948","Atlantic Province","","Capita outlay and debt charges","Dollars","81","thousands","3","v1568054","6.8","0","","","","0"
"1947/1948","Newfoundland and Labrador","","Total expenditures","Dollars","81","thousands","3","v1568015","2.1","","x","","","0"
"1947/1948","Newfoundland and Labrador","","Total operating expenditures","Dollars","81","thousands","3","v1568021","2.7","","x","","","0"
"1947/1948","Newfoundland and Labrador","","Subtotal instructional expenditures","Dollars","81","thousands","3","v1568018","2.4","","x","","","0"
"1947/1948","Newfoundland and Labrador","","Teachers salaries","Dollars","81","thousands","3","v1568016","2.2","","x","","","0"
"1947/1948","Newfoundland and Labrador","","Non-instructional salaries and wages","Dollars","81","thousands","3","v1568019","2.5","","x","","","0"
"1947/1948","Newfoundland and Labrador","","Other operating expenditures","Dollars","81","thousands","3","v1568020","2.6","","x","","","0"
"1947/1948","Newfoundland and Labrador","","Capita outlay and debt charges","Dollars","81","thousands","3","v1568022","2.8","","x","","","0"
"1947/1948","Prince Edward Island","","Total expenditures","Dollars","81","thousands","3","v1568023","3.1","","x","","","0"
"1947/1948","Prince Edward Island","","Total operating expenditures","Dollars","81","thousands","3","v1568029","3.7","","x","","","0"
"1947/1948","Prince Edward Island","","Subtotal instructional expenditures","Dollars","81","thousands","3","v1568026","3.4","","x","","","0"
"1947/1948","Prince Edward Island","","Teachers salaries","Dollars","81","thousands","3","v1568024","3.2","","x","","","0"
"1947/1948","Prince Edward Island","","Non-instructional salaries and wages","Dollars","81","thousands","3","v1568027","3.5","","x","","","0"
"1947/1948","Prince Edward Island","","Other operating expenditures","Dollars","81","thousands","3","v1568028","3.6","","x","","","0"
"1947/1948","Prince Edward Island","","Capita outlay and debt charges","Dollars","81","thousands","3","v1568030","3.8","","x","","","0"
"1947/1948","Nova Scotia","","Total expenditures","Dollars","81","thousands","3","v1568031","4.1","","x","","","0"
"1947/1948","Nova Scotia","","Total operating expenditures","Dollars","81","thousands","3","v1568037","4.7","","x","","","0"
"1947/1948","Nova Scotia","","Subtotal instructional expenditures","Dollars","81","thousands","3","v1568034","4.4","","x","","","0"
"1947/1948","Nova Scotia","","Teachers salaries","Dollars","81","thousands","3","v1568032","4.2","","x","","","0"
"1947/1948","Nova Scotia","","Non-instructional salaries and wages","Dollars","81","thousands","3","v1568035","4.5","","x","","","0"
"1947/1948","Nova Scotia","","Other operating expenditures","Dollars","81","thousands","3","v1568036","4.6","","x","","","0"
"1947/1948","Nova Scotia","","Capita outlay and debt charges","Dollars","81","thousands","3","v1568038","4.8","","x","","","0"
"1947/1948","New Brunswick","","Total expenditures","Dollars","81","thousands","3","v1568039","5.1","","x","","","0"
"1947/1948","New Brunswick","","Total operating expenditures","Dollars","81","thousands","3","v1568045","5.7","","x","","","0"
"1947/1948","New Brunswick","","Subtotal instructional expenditures","Dollars","81","thousands","3","v1568042","5.4","","x","","","0"
"1947/1948","New Brunswick","","Teachers salaries","Dollars","81","thousands","3","v1568040","5.2","","x","","","0"
"1947/1948","New Brunswick","","Non-instructional salaries and wages","Dollars","81","thousands","3","v1568043","5.5","","x","","","0"
"1947/1948","New Brunswick","","Other operating expenditures","Dollars","81","thousands","3","v1568044","5.6","","x","","","0"
"1947/1948","New Brunswick","","Capita outlay and debt charges","Dollars","81","thousands","3","v1568046","5.8","","x","","","0"
"1947/1948","Quebec","","Total expenditures","Dollars","81","thousands","3","v1568055","7.1","5900","","","","0"
"1947/1948","Quebec","","Total operating expenditures","Dollars","81","thousands","3","v1568061","7.7","5900","","","","0"
"1947/1948","Quebec","","Subtotal instructional expenditures","Dollars","81","thousands","3","v1568058","7.4","1770","","","","0"
"1947/1948","Quebec","","Teachers salaries","Dollars","81","thousands","3","v1568056","7.2","1770","","","","0"
"1947/1948","Quebec","","Non-instructional salaries and wages","Dollars","81","thousands","3","v1568059","7.5","944","","","","0"
"1947/1948","Quebec","","Other operating expenditures","Dollars","81","thousands","3","v1568060","7.6","3186","","","","0"
"1947/1948","Quebec","","Capita outlay and debt charges","Dollars","81","thousands","3","v1568062","7.8","0","","","","0"
"1947/1948","Ontario","","Total expenditures","Dollars","81","thousands","3","v1568063","8.1","4509","","","","0"
"1947/1948","Ontario","","Total operating expenditures","Dollars","81","thousands","3","v1568069","8.7","4509","","","","0"
"1947/1948","Ontario","","Subtotal instructional expenditures","Dollars","81","thousands","3","v1568066","8.4","1231","","","","0"
"1947/1948","Ontario","","Teachers salaries","Dollars","81","thousands","3","v1568064","8.2","1231","","","","0"
"1947/1948","Ontario","","Non-instructional salaries and wages","Dollars","81","thousands","3","v1568067","8.5","642","","","","0"
"1947/1948","Ontario","","Other operating expenditures","Dollars","81","thousands","3","v1568068","8.6","2636","","","","0"
"1947/1948","Ontario","","Capita outlay and debt charges","Dollars","81","thousands","3","v1568070","8.8","0","","","","0"
"1947/1948","Manitoba","","Total expenditures","Dollars","81","thousands","3","v1568071","9.1","556","","","","0"
"1947/1948","Manitoba","","Total operating expenditures","Dollars","81","thousands","3","v1568077","9.7","556","","","","0"
"1947/1948","Manitoba","","Subtotal instructional expenditures","Dollars","81","thousands","3","v1568074","9.4","106","","","","0"
"1947/1948","Manitoba","","Teachers salaries","Dollars","81","thousands","3","v1568072","9.2","106","","","","0"
"1947/1948","Manitoba","","Non-instructional salaries and wages","Dollars","81","thousands","3","v1568075","9.5","39","","","","0"
"1947/1948","Manitoba","","Other operating expenditures","Dollars","81","thousands","3","v1568076","9.6","411","","","","0"
"1947/1948","Manitoba","","Capita outlay and debt charges","Dollars","81","thousands","3","v1568078","9.8","0","","","","0"
"1947/1948","Saskatchewan","","Total expenditures","Dollars","81","thousands","3","v1568079","10.1","449","","","","0"
"1947/1948","Saskatchewan","","Total operating expenditures","Dollars","81","thousands","3","v1568085","10.7","449","","","","0"
"1947/1948","Saskatchewan","","Subtotal instructional expenditures","Dollars","81","thousands","3","v1568082","10.4","83","","","","0"
"1947/1948","Saskatchewan","","Teachers salaries","Dollars","81","thousands","3","v1568080","10.2","83","","","","0"
"1947/1948","Saskatchewan","","Non-instructional salaries and wages","Dollars","81","thousands","3","v1568083","10.5","36","","","","0"
"1947/1948","Saskatchewan","","Other operating expenditures","Dollars","81","thousands","3","v1568084","10.6","330","","","","0"
"1947/1948","Saskatchewan","","Capita outlay and debt charges","Dollars","81","thousands","3","v1568086","10.8","0","","","","0"
"1947/1948","Alberta","","Total expenditures","Dollars","81","thousands","3","v1568087","11.1","528","","","","0"
"1947/1948","Alberta","","Total operating expenditures","Dollars","81","thousands","3","v1568093","11.7","528","","","","0"
