REF_DATE,GEO,Full-time educators,Part-time educators,"Total, work status"
2002,Alberta,26970.0,7788.0,34761.0
2002,British Columbia,28572.0,8577.0,37149.0
2002,Canada,283023.0,67599.0,350619.0
2002,Manitoba,12042.0,2097.0,14139.0
2002,New Brunswick,7050.0,366.0,7416.0
2002,Newfoundland and Labrador,6066.0,1968.0,8037.0
2002,Nova Scotia,9594.0,,9594.0
2002,Ontario,115914.0,14913.0,130821.0
2002,Prince Edward Island,1290.0,309.0,1599.0
2002,Quebec,63627.0,29457.0,93081.0
2002,Saskatchewan,10227.0,2124.0,12351.0
2003,Alberta,26631.0,10719.0,37350.0
2003,British Columbia,28005.0,8556.0,36564.0
2003,Canada,281517.0,70785.0,352302.0
2003,Manitoba,12207.0,2238.0,14445.0
2003,New Brunswick,7080.0,393.0,7473.0
2003,Newfoundland and Labrador,5850.0,2070.0,7920.0
2003,Nova Scotia,9612.0,,9612.0
2003,Ontario,115332.0,14580.0,129912.0
2003,Prince Edward Island,1329.0,261.0,1587.0
2003,Quebec,63555.0,29808.0,93360.0
2003,Saskatchewan,10218.0,2163.0,12381.0
2004,Alberta,28161.0,11229.0,39390.0
2004,British Columbia,27870.0,8460.0,36330.0
2004,Canada,284160.0,72186.0,356343.0
2004,Manitoba,12105.0,2172.0,14277.0
2004,New Brunswick,7137.0,375.0,7509.0
2004,Newfoundland and Labrador,5631.0,2106.0,7737.0
2004,Nova Scotia,9582.0,,9582.0
2004,Ontario,117537.0,15141.0,132675.0
2004,Prince Edward Island,1323.0,264.0,1587.0
2004,Quebec,62937.0,30267.0,93201.0
2004,Saskatchewan,10089.0,2172.0,12261.0
2005,Alberta,28758.0,11538.0,40293.0
2005,British Columbia,28326.0,8559.0,36885.0
2005,Canada,289398.0,73275.0,362673.0
2005,Manitoba,12135.0,2076.0,14211.0
2005,New Brunswick,7155.0,351.0,7509.0
2005,Newfoundland and Labrador,5448.0,1872.0,7317.0
2005,Nova Scotia,9708.0,,9708.0
2005,Ontario,122238.0,15648.0,137889.0
2005,Prince Edward Island,1299.0,240.0,1542.0
2005,Quebec,62331.0,30942.0,93273.0
2005,Saskatchewan,10122.0,2049.0,12171.0
2006,Alberta,28941.0,11616.0,40557.0
2006,British Columbia,28617.0,8535.0,37149.0
2006,Canada,294327.0,84291.0,378621.0
2006,Manitoba,12177.0,2070.0,14247.0
2006,New Brunswick,7305.0,321.0,7629.0
2006,Newfoundland and Labrador,5466.0,1938.0,7404.0
2006,Nova Scotia,9918.0,,9918.0
2006,Ontario,124971.0,24741.0,149712.0
2006,Prince Edward Island,1320.0,225.0,1545.0
2006,Quebec,63495.0,32634.0,96132.0
2006,Saskatchewan,10236.0,2211.0,12447.0
2007,Alberta,28461.0,12084.0,40542.0
2007,British Columbia,28359.0,8760.0,37116.0
2007,Canada,296025.0,88293.0,384321.0
2007,Manitoba,12210.0,2136.0,14346.0
2007,New Brunswick,7560.0,339.0,7899.0
2007,Newfoundland and Labrador,5529.0,1956.0,7485.0
2007,Nova Scotia,9972.0,,9975.0
2007,Ontario,127464.0,27498.0,154962.0
2007,Prince Edward Island,1326.0,255.0,1581.0
2007,Quebec,63009.0,33213.0,96225.0
2007,Saskatchewan,10200.0,2052.0,12249.0
2008,Alberta,30006.0,12507.0,42516.0
2008,British Columbia,28197.0,8727.0,36921.0
2008,Canada,296922.0,91221.0,388143.0
2008,Manitoba,12225.0,2097.0,14322.0
2008,New Brunswick,7746.0,330.0,8076.0
2008,Newfoundland and Labrador,5613.0,1929.0,7542.0
2008,Nova Scotia,10065.0,,10065.0
2008,Ontario,127659.0,29643.0,157302.0
2008,Prince Edward Island,1386.0,255.0,1638.0
2008,Quebec,62475.0,33672.0,96147.0
2008,Saskatchewan,9633.0,2061.0,11694.0
2009,Alberta,31716.0,13914.0,45627.0
2009,British Columbia,27621.0,8754.0,36372.0
2009,Canada,298785.0,93918.0,392703.0
2009,Manitoba,12207.0,2124.0,14334.0
2009,New Brunswick,7662.0,336.0,7998.0
2009,Newfoundland and Labrador,5622.0,2100.0,7722.0
2009,Nova Scotia,10068.0,,10068.0
2009,Ontario,128445.0,29727.0,158175.0
2009,Prince Edward Island,1407.0,243.0,1647.0
2009,Quebec,62322.0,34605.0,96927.0
2009,Saskatchewan,9786.0,2118.0,11904.0
2010,Alberta,31608.0,13173.0,44781.0
2010,British Columbia,27288.0,8673.0,35961.0
2010,Canada,300507.0,93051.0,393558.0
2010,Manitoba,12276.0,2154.0,14433.0
2010,New Brunswick,7461.0,342.0,7803.0
2010,Newfoundland and Labrador,5697.0,1938.0,7635.0
2010,Nova Scotia,9744.0,,9744.0
2010,Ontario,130182.0,30273.0,160455.0
2010,Prince Edward Island,1539.0,213.0,1749.0
2010,Quebec,62832.0,34203.0,97032.0
2010,Saskatchewan,10017.0,2082.0,12099.0
2011,Alberta,31590.0,13056.0,44643.0
2011,British Columbia,27801.0,8307.0,36108.0
2011,Canada,301365.0,91947.0,393312.0
2011,Manitoba,11106.0,1959.0,13065.0
2011,New Brunswick,7320.0,363.0,7683.0
2011,Newfoundland and Labrador,5724.0,1884.0,7608.0
2011,Nova Scotia,9501.0,,9501.0
2011,Ontario,131199.0,30324.0,161523.0
2011,Prince Edward Island,1539.0,225.0,1761.0
2011,Quebec,63546.0,33603.0,97149.0
2011,Saskatchewan,10293.0,2133.0,12426.0
2012,Alberta,31395.0,12813.0,44211.0
2012,British Columbia,27909.0,8244.0,36150.0
2012,Canada,305418.0,90276.0,395691.0
2012,Manitoba,11469.0,2007.0,13476.0
2012,New Brunswick,7122.0,324.0,7449.0
2012,Newfoundland and Labrador,5676.0,1908.0,7584.0
2012,Nova Scotia,9207.0,,9204.0
2012,Ontario,133920.0,29391.0,163308.0
2012,Prince Edward Island,1530.0,237.0,1767.0
2012,Quebec,64782.0,32835.0,97617.0
2012,Saskatchewan,10419.0,2148.0,12564.0
2013,Alberta,31464.0,6669.0,38133.0
2013,British Columbia,27537.0,8250.0,35787.0
2013,Canada,299886.0,77607.0,377493.0
2013,Manitoba,11679.0,1980.0,13662.0
2013,New Brunswick,6597.0,303.0,6900.0
2013,Newfoundland and Labrador,5211.0,237.0,5451.0
2013,Nova Scotia,8913.0,,8916.0
2013,Ontario,128874.0,25902.0,154773.0
2013,Prince Edward Island,1485.0,207.0,1692.0
2013,Quebec,65790.0,32319.0,98109.0
2013,Saskatchewan,10560.0,1362.0,11922.0
2014,Alberta,32631.0,6768.0,39399.0
2014,British Columbia,27561.0,8121.0,35679.0
2014,Canada,305319.0,75705.0,381024.0
2014,Manitoba,11445.0,1818.0,13263.0
2014,New Brunswick,6585.0,258.0,6843.0
2014,Newfoundland and Labrador,5220.0,270.0,5493.0
2014,Nova Scotia,9150.0,,9150.0
2014,Ontario,132021.0,25539.0,157560.0
2014,Prince Edward Island,1434.0,252.0,1686.0
2014,Quebec,66531.0,30813.0,97344.0
2014,Saskatchewan,10782.0,1431.0,12216.0
2015,Alberta,33450.0,6729.0,40182.0
2015,British Columbia,27717.0,8220.0,35940.0
2015,Canada,306411.0,75285.0,381696.0
2015,Manitoba,11640.0,1884.0,13524.0
2015,New Brunswick,6756.0,267.0,7023.0
2015,Newfoundland and Labrador,5148.0,285.0,5436.0
2015,Nova Scotia,9027.0,,9030.0
2015,Ontario,131124.0,24789.0,155910.0
2015,Prince Edward Island,1440.0,246.0,1683.0
2015,Quebec,67260.0,31035.0,98295.0
2015,Saskatchewan,10716.0,1347.0,12066.0
2016,Alberta,34269.0,6441.0,40707.0
2016,British Columbia,28056.0,8205.0,36261.0
2016,Canada,309894.0,75720.0,385614.0
2016,Manitoba,11889.0,1782.0,13671.0
2016,New Brunswick,7182.0,333.0,7515.0
2016,Newfoundland and Labrador,5052.0,291.0,5343.0
