REF_DATE,GEO,Extended-time,On-time
2016-01-01,Alberta,84.0,78.0
2016-01-01,British Columbia,88.0,81.0
2016-01-01,Canada,87.0,80.0
2016-01-01,Manitoba,87.0,82.0
2016-01-01,New Brunswick,85.0,85.0
2016-01-01,Newfoundland and Labrador,90.0,88.0
2016-01-01,Northwest Territories,90.5,54.0
2016-01-01,Nova Scotia,91.0,50.5
2016-01-01,Nunavut,91.5,47.0
2016-01-01,Ontario,92.0,82.0
2016-01-01,Quebec,82.0,74.0
2016-01-01,Saskatchewan,85.0,78.0
2017-01-01,Alberta,86.0,80.0
2017-01-01,British Columbia,88.0,81.0
2017-01-01,Canada,88.0,81.0
2017-01-01,Manitoba,87.0,83.0
2017-01-01,New Brunswick,90.0,86.0
2017-01-01,Newfoundland and Labrador,92.0,88.0
2017-01-01,Northwest Territories,91.0,51.0
2017-01-01,Nova Scotia,90.0,87.0
2017-01-01,Nunavut,90.5,84.5
2017-01-01,Ontario,91.0,82.0
2017-01-01,Quebec,84.0,75.0
2017-01-01,Saskatchewan,84.0,79.0
2018-01-01,Alberta,86.0,80.0
2018-01-01,British Columbia,89.0,81.0
2018-01-01,Canada,89.0,81.0
2018-01-01,Manitoba,88.0,82.0
2018-01-01,New Brunswick,89.0,85.0
2018-01-01,Newfoundland and Labrador,92.0,89.0
2018-01-01,Northwest Territories,91.0,49.0
2018-01-01,Nova Scotia,90.0,86.0
2018-01-01,Nunavut,91.0,84.5
2018-01-01,Ontario,92.0,83.0
2018-01-01,Quebec,84.0,75.0
2018-01-01,Saskatchewan,86.0,80.0
2019-01-01,Alberta,87.0,84.0
2019-01-01,British Columbia,89.0,84.0
2019-01-01,Canada,89.0,84.0
2019-01-01,Manitoba,87.0,82.0
2019-01-01,New Brunswick,89.0,87.0
2019-01-01,Newfoundland and Labrador,92.0,94.0
2019-01-01,Northwest Territories,91.5,46.0
2019-01-01,Nova Scotia,91.0,92.0
2019-01-01,Nunavut,91.5,89.0
2019-01-01,Ontario,92.0,86.0
2019-01-01,Quebec,83.0,79.0
2019-01-01,Saskatchewan,88.0,85.0
2020-01-01,Alberta,88.0,84.0
2020-01-01,British Columbia,89.0,83.0
2020-01-01,Canada,89.0,84.0
2020-01-01,Manitoba,89.0,85.0
2020-01-01,New Brunswick,87.0,87.0
2020-01-01,Newfoundland and Labrador,94.0,89.0
2020-01-01,Northwest Territories,51.0,88.0
2020-01-01,Nova Scotia,92.0,87.0
2020-01-01,Nunavut,92.5,86.0
2020-01-01,Ontario,93.0,85.0
2020-01-01,Quebec,83.0,80.0
2020-01-01,Saskatchewan,89.0,83.0
2021-01-01,Alberta,90.0,82.0
2021-01-01,British Columbia,87.0,84.0
2021-01-01,Canada,91.0,84.0
2021-01-01,Manitoba,88.0,84.0
2021-01-01,New Brunswick,90.0,85.0
2021-01-01,Newfoundland and Labrador,97.0,89.0
2021-01-01,Northwest Territories,57.0,90.0
2021-01-01,Nova Scotia,96.0,91.0
2021-01-01,Nunavut,95.0,89.0
2021-01-01,Ontario,94.0,87.0
2021-01-01,Quebec,86.0,76.0
2021-01-01,Saskatchewan,91.0,83.0
