"REF_DATE","GEO","DGUID","Graduation rate","Gender","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016/2017","Canada","2021A000011124","On-time","Total gender","Percent","239","units","0","v1391416701","1.1.1","80","","","","0"
"2017/2018","Canada","2021A000011124","On-time","Total gender","Percent","239","units","0","v1391416701","1.1.1","81","","","","0"
"2018/2019","Canada","2021A000011124","On-time","Total gender","Percent","239","units","0","v1391416701","1.1.1","81","","","","0"
"2019/2020","Canada","2021A000011124","On-time","Total gender","Percent","239","units","0","v1391416701","1.1.1","84","","","","0"
"2020/2021","Canada","2021A000011124","On-time","Total gender","Percent","239","units","0","v1391416701","1.1.1","84","","","","0"
"2021/2022","Canada","2021A000011124","On-time","Total gender","Percent","239","units","0","v1391416701","1.1.1","84","","","","0"
"2016/2017","Canada","2021A000011124","On-time","Male gender","Percent","239","units","0","v1391416702","1.1.2","76","","","","0"
"2017/2018","Canada","2021A000011124","On-time","Male gender","Percent","239","units","0","v1391416702","1.1.2","77","","","","0"
"2018/2019","Canada","2021A000011124","On-time","Male gender","Percent","239","units","0","v1391416702","1.1.2","77","","","","0"
"2019/2020","Canada","2021A000011124","On-time","Male gender","Percent","239","units","0","v1391416702","1.1.2","81","","","","0"
"2020/2021","Canada","2021A000011124","On-time","Male gender","Percent","239","units","0","v1391416702","1.1.2","81","","","","0"
"2021/2022","Canada","2021A000011124","On-time","Male gender","Percent","239","units","0","v1391416702","1.1.2","81","","","","0"
"2016/2017","Canada","2021A000011124","On-time","Female gender","Percent","239","units","0","v1391416703","1.1.3","84","","","","0"
"2017/2018","Canada","2021A000011124","On-time","Female gender","Percent","239","units","0","v1391416703","1.1.3","84","","","","0"
"2018/2019","Canada","2021A000011124","On-time","Female gender","Percent","239","units","0","v1391416703","1.1.3","85","","","","0"
"2019/2020","Canada","2021A000011124","On-time","Female gender","Percent","239","units","0","v1391416703","1.1.3","87","","","","0"
"2020/2021","Canada","2021A000011124","On-time","Female gender","Percent","239","units","0","v1391416703","1.1.3","87","","","","0"
"2021/2022","Canada","2021A000011124","On-time","Female gender","Percent","239","units","0","v1391416703","1.1.3","86","","","","0"
"2016/2017","Canada","2021A000011124","Extended-time","Total gender","Percent","239","units","0","v1391416704","1.2.1","87","","","","0"
"2017/2018","Canada","2021A000011124","Extended-time","Total gender","Percent","239","units","0","v1391416704","1.2.1","88","","","","0"
"2018/2019","Canada","2021A000011124","Extended-time","Total gender","Percent","239","units","0","v1391416704","1.2.1","89","","","","0"
"2019/2020","Canada","2021A000011124","Extended-time","Total gender","Percent","239","units","0","v1391416704","1.2.1","89","","","","0"
"2020/2021","Canada","2021A000011124","Extended-time","Total gender","Percent","239","units","0","v1391416704","1.2.1","89","","","","0"
"2021/2022","Canada","2021A000011124","Extended-time","Total gender","Percent","239","units","0","v1391416704","1.2.1","91","","","","0"
"2016/2017","Canada","2021A000011124","Extended-time","Male gender","Percent","239","units","0","v1391416705","1.2.2","85","","","","0"
"2017/2018","Canada","2021A000011124","Extended-time","Male gender","Percent","239","units","0","v1391416705","1.2.2","86","","","","0"
"2018/2019","Canada","2021A000011124","Extended-time","Male gender","Percent","239","units","0","v1391416705","1.2.2","86","","","","0"
"2019/2020","Canada","2021A000011124","Extended-time","Male gender","Percent","239","units","0","v1391416705","1.2.2","86","","","","0"
"2020/2021","Canada","2021A000011124","Extended-time","Male gender","Percent","239","units","0","v1391416705","1.2.2","87","","","","0"
"2021/2022","Canada","2021A000011124","Extended-time","Male gender","Percent","239","units","0","v1391416705","1.2.2","89","","","","0"
"2016/2017","Canada","2021A000011124","Extended-time","Female gender","Percent","239","units","0","v1391416706","1.2.3","91","","","","0"
"2017/2018","Canada","2021A000011124","Extended-time","Female gender","Percent","239","units","0","v1391416706","1.2.3","91","","","","0"
"2018/2019","Canada","2021A000011124","Extended-time","Female gender","Percent","239","units","0","v1391416706","1.2.3","91","","","","0"
"2019/2020","Canada","2021A000011124","Extended-time","Female gender","Percent","239","units","0","v1391416706","1.2.3","91","","","","0"
"2020/2021","Canada","2021A000011124","Extended-time","Female gender","Percent","239","units","0","v1391416706","1.2.3","92","","","","0"
"2021/2022","Canada","2021A000011124","Extended-time","Female gender","Percent","239","units","0","v1391416706","1.2.3","93","","","","0"


