"REF_DATE","GEO","DGUID","Graduation rate","Gender","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016/2017","New Brunswick","2021A000213","On-time","Total gender","Percent","239","units","0","v1391416725","5.1.1","85","","","","0"
"2017/2018","New Brunswick","2021A000213","On-time","Total gender","Percent","239","units","0","v1391416725","5.1.1","86","","","","0"
"2018/2019","New Brunswick","2021A000213","On-time","Total gender","Percent","239","units","0","v1391416725","5.1.1","85","","","","0"
"2019/2020","New Brunswick","2021A000213","On-time","Total gender","Percent","239","units","0","v1391416725","5.1.1","87","","","","0"
"2020/2021","New Brunswick","2021A000213","On-time","Total gender","Percent","239","units","0","v1391416725","5.1.1","87","","","","0"
"2021/2022","New Brunswick","2021A000213","On-time","Total gender","Percent","239","units","0","v1391416725","5.1.1","85","","","","0"
"2016/2017","New Brunswick","2021A000213","On-time","Male gender","Percent","239","units","0","v1391416726","5.1.2","82","","","","0"
"2017/2018","New Brunswick","2021A000213","On-time","Male gender","Percent","239","units","0","v1391416726","5.1.2","83","","","","0"
"2018/2019","New Brunswick","2021A000213","On-time","Male gender","Percent","239","units","0","v1391416726","5.1.2","83","","","","0"
"2019/2020","New Brunswick","2021A000213","On-time","Male gender","Percent","239","units","0","v1391416726","5.1.2","86","","","","0"
"2020/2021","New Brunswick","2021A000213","On-time","Male gender","Percent","239","units","0","v1391416726","5.1.2","87","","","","0"
"2021/2022","New Brunswick","2021A000213","On-time","Male gender","Percent","239","units","0","v1391416726","5.1.2","84","","","","0"
"2016/2017","New Brunswick","2021A000213","On-time","Female gender","Percent","239","units","0","v1391416727","5.1.3","88","","","","0"
"2017/2018","New Brunswick","2021A000213","On-time","Female gender","Percent","239","units","0","v1391416727","5.1.3","89","","","","0"
"2018/2019","New Brunswick","2021A000213","On-time","Female gender","Percent","239","units","0","v1391416727","5.1.3","88","","","","0"
"2019/2020","New Brunswick","2021A000213","On-time","Female gender","Percent","239","units","0","v1391416727","5.1.3","89","","","","0"
"2020/2021","New Brunswick","2021A000213","On-time","Female gender","Percent","239","units","0","v1391416727","5.1.3","87","","","","0"
"2021/2022","New Brunswick","2021A000213","On-time","Female gender","Percent","239","units","0","v1391416727","5.1.3","86","","","","0"
"2016/2017","New Brunswick","2021A000213","Extended-time","Total gender","Percent","239","units","0","v1391416728","5.2.1","85","","","","0"
"2017/2018","New Brunswick","2021A000213","Extended-time","Total gender","Percent","239","units","0","v1391416728","5.2.1","90","","","","0"
"2018/2019","New Brunswick","2021A000213","Extended-time","Total gender","Percent","239","units","0","v1391416728","5.2.1","89","","","","0"
"2019/2020","New Brunswick","2021A000213","Extended-time","Total gender","Percent","239","units","0","v1391416728","5.2.1","89","","","","0"
"2020/2021","New Brunswick","2021A000213","Extended-time","Total gender","Percent","239","units","0","v1391416728","5.2.1","87","","","","0"
"2021/2022","New Brunswick","2021A000213","Extended-time","Total gender","Percent","239","units","0","v1391416728","5.2.1","90","","","","0"
"2016/2017","New Brunswick","2021A000213","Extended-time","Male gender","Percent","239","units","0","v1391416729","5.2.2","82","","","","0"
"2017/2018","New Brunswick","2021A000213","Extended-time","Male gender","Percent","239","units","0","v1391416729","5.2.2","88","","","","0"
"2018/2019","New Brunswick","2021A000213","Extended-time","Male gender","Percent","239","units","0","v1391416729","5.2.2","88","","","","0"
"2019/2020","New Brunswick","2021A000213","Extended-time","Male gender","Percent","239","units","0","v1391416729","5.2.2","88","","","","0"
"2020/2021","New Brunswick","2021A000213","Extended-time","Male gender","Percent","239","units","0","v1391416729","5.2.2","84","","","","0"
"2021/2022","New Brunswick","2021A000213","Extended-time","Male gender","Percent","239","units","0","v1391416729","5.2.2","88","","","","0"
"2016/2017","New Brunswick","2021A000213","Extended-time","Female gender","Percent","239","units","0","v1391416730","5.2.3","88","","","","0"
"2017/2018","New Brunswick","2021A000213","Extended-time","Female gender","Percent","239","units","0","v1391416730","5.2.3","92","","","","0"
"2018/2019","New Brunswick","2021A000213","Extended-time","Female gender","Percent","239","units","0","v1391416730","5.2.3","90","","","","0"
"2019/2020","New Brunswick","2021A000213","Extended-time","Female gender","Percent","239","units","0","v1391416730","5.2.3","91","","","","0"
"2020/2021","New Brunswick","2021A000213","Extended-time","Female gender","Percent","239","units","0","v1391416730","5.2.3","89","","","","0"
"2021/2022","New Brunswick","2021A000213","Extended-time","Female gender","Percent","239","units","0","v1391416730","5.2.3","93","","","","0"


