"REF_DATE","GEO","DGUID","Graduation rate","Gender","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016/2017","Nova Scotia","2021A000212","On-time","Total gender","Percent","239","units","0","v1391416719","4.1.1","","..","","","0"
"2017/2018","Nova Scotia","2021A000212","On-time","Total gender","Percent","239","units","0","v1391416719","4.1.1","87","","","","0"
"2018/2019","Nova Scotia","2021A000212","On-time","Total gender","Percent","239","units","0","v1391416719","4.1.1","86","","","","0"
"2019/2020","Nova Scotia","2021A000212","On-time","Total gender","Percent","239","units","0","v1391416719","4.1.1","92","","","","0"
"2020/2021","Nova Scotia","2021A000212","On-time","Total gender","Percent","239","units","0","v1391416719","4.1.1","87","","","","0"
"2021/2022","Nova Scotia","2021A000212","On-time","Total gender","Percent","239","units","0","v1391416719","4.1.1","91","","","","0"
"2016/2017","Nova Scotia","2021A000212","On-time","Male gender","Percent","239","units","0","v1391416720","4.1.2","","..","","","0"
"2017/2018","Nova Scotia","2021A000212","On-time","Male gender","Percent","239","units","0","v1391416720","4.1.2","86","","","","0"
"2018/2019","Nova Scotia","2021A000212","On-time","Male gender","Percent","239","units","0","v1391416720","4.1.2","86","","","","0"
"2019/2020","Nova Scotia","2021A000212","On-time","Male gender","Percent","239","units","0","v1391416720","4.1.2","91","","","","0"
"2020/2021","Nova Scotia","2021A000212","On-time","Male gender","Percent","239","units","0","v1391416720","4.1.2","86","","","","0"
"2021/2022","Nova Scotia","2021A000212","On-time","Male gender","Percent","239","units","0","v1391416720","4.1.2","92","","","","0"
"2016/2017","Nova Scotia","2021A000212","On-time","Female gender","Percent","239","units","0","v1391416721","4.1.3","","..","","","0"
"2017/2018","Nova Scotia","2021A000212","On-time","Female gender","Percent","239","units","0","v1391416721","4.1.3","88","","","","0"
"2018/2019","Nova Scotia","2021A000212","On-time","Female gender","Percent","239","units","0","v1391416721","4.1.3","87","","","","0"
"2019/2020","Nova Scotia","2021A000212","On-time","Female gender","Percent","239","units","0","v1391416721","4.1.3","93","","","","0"
"2020/2021","Nova Scotia","2021A000212","On-time","Female gender","Percent","239","units","0","v1391416721","4.1.3","88","","","","0"
"2021/2022","Nova Scotia","2021A000212","On-time","Female gender","Percent","239","units","0","v1391416721","4.1.3","90","","","","0"
"2016/2017","Nova Scotia","2021A000212","Extended-time","Total gender","Percent","239","units","0","v1391416722","4.2.1","","..","","","0"
"2017/2018","Nova Scotia","2021A000212","Extended-time","Total gender","Percent","239","units","0","v1391416722","4.2.1","90","","","","0"
"2018/2019","Nova Scotia","2021A000212","Extended-time","Total gender","Percent","239","units","0","v1391416722","4.2.1","90","","","","0"
"2019/2020","Nova Scotia","2021A000212","Extended-time","Total gender","Percent","239","units","0","v1391416722","4.2.1","91","","","","0"
"2020/2021","Nova Scotia","2021A000212","Extended-time","Total gender","Percent","239","units","0","v1391416722","4.2.1","92","","","","0"
"2021/2022","Nova Scotia","2021A000212","Extended-time","Total gender","Percent","239","units","0","v1391416722","4.2.1","96","","","","0"
"2016/2017","Nova Scotia","2021A000212","Extended-time","Male gender","Percent","239","units","0","v1391416723","4.2.2","","..","","","0"
"2017/2018","Nova Scotia","2021A000212","Extended-time","Male gender","Percent","239","units","0","v1391416723","4.2.2","88","","","","0"
"2018/2019","Nova Scotia","2021A000212","Extended-time","Male gender","Percent","239","units","0","v1391416723","4.2.2","89","","","","0"
"2019/2020","Nova Scotia","2021A000212","Extended-time","Male gender","Percent","239","units","0","v1391416723","4.2.2","90","","","","0"
"2020/2021","Nova Scotia","2021A000212","Extended-time","Male gender","Percent","239","units","0","v1391416723","4.2.2","92","","","","0"
"2021/2022","Nova Scotia","2021A000212","Extended-time","Male gender","Percent","239","units","0","v1391416723","4.2.2","96","","","","0"
"2016/2017","Nova Scotia","2021A000212","Extended-time","Female gender","Percent","239","units","0","v1391416724","4.2.3","","..","","","0"
"2017/2018","Nova Scotia","2021A000212","Extended-time","Female gender","Percent","239","units","0","v1391416724","4.2.3","92","","","","0"
"2018/2019","Nova Scotia","2021A000212","Extended-time","Female gender","Percent","239","units","0","v1391416724","4.2.3","92","","","","0"
"2019/2020","Nova Scotia","2021A000212","Extended-time","Female gender","Percent","239","units","0","v1391416724","4.2.3","92","","","","0"
"2020/2021","Nova Scotia","2021A000212","Extended-time","Female gender","Percent","239","units","0","v1391416724","4.2.3","92","","","","0"
"2021/2022","Nova Scotia","2021A000212","Extended-time","Female gender","Percent","239","units","0","v1391416724","4.2.3","96","","","","0"


