"REF_DATE","GEO","DGUID","Graduation rate","Gender","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016/2017","Nunavut","2021A000262","On-time","Total gender","Percent","239","units","0","v1391416773","13.1.1","47","","","","0"
"2017/2018","Nunavut","2021A000262","On-time","Total gender","Percent","239","units","0","v1391416773","13.1.1","","..","","","0"
"2018/2019","Nunavut","2021A000262","On-time","Total gender","Percent","239","units","0","v1391416773","13.1.1","","..","","","0"
"2019/2020","Nunavut","2021A000262","On-time","Total gender","Percent","239","units","0","v1391416773","13.1.1","","..","","","0"
"2020/2021","Nunavut","2021A000262","On-time","Total gender","Percent","239","units","0","v1391416773","13.1.1","","..","","","0"
"2021/2022","Nunavut","2021A000262","On-time","Total gender","Percent","239","units","0","v1391416773","13.1.1","","..","","","0"
"2016/2017","Nunavut","2021A000262","On-time","Male gender","Percent","239","units","0","v1391416774","13.1.2","44","","","","0"
"2017/2018","Nunavut","2021A000262","On-time","Male gender","Percent","239","units","0","v1391416774","13.1.2","","..","","","0"
"2018/2019","Nunavut","2021A000262","On-time","Male gender","Percent","239","units","0","v1391416774","13.1.2","","..","","","0"
"2019/2020","Nunavut","2021A000262","On-time","Male gender","Percent","239","units","0","v1391416774","13.1.2","","..","","","0"
"2020/2021","Nunavut","2021A000262","On-time","Male gender","Percent","239","units","0","v1391416774","13.1.2","","..","","","0"
"2021/2022","Nunavut","2021A000262","On-time","Male gender","Percent","239","units","0","v1391416774","13.1.2","","..","","","0"
"2016/2017","Nunavut","2021A000262","On-time","Female gender","Percent","239","units","0","v1391416775","13.1.3","50","","","","0"
"2017/2018","Nunavut","2021A000262","On-time","Female gender","Percent","239","units","0","v1391416775","13.1.3","","..","","","0"
"2018/2019","Nunavut","2021A000262","On-time","Female gender","Percent","239","units","0","v1391416775","13.1.3","","..","","","0"
"2019/2020","Nunavut","2021A000262","On-time","Female gender","Percent","239","units","0","v1391416775","13.1.3","","..","","","0"
"2020/2021","Nunavut","2021A000262","On-time","Female gender","Percent","239","units","0","v1391416775","13.1.3","","..","","","0"
"2021/2022","Nunavut","2021A000262","On-time","Female gender","Percent","239","units","0","v1391416775","13.1.3","","..","","","0"
"2016/2017","Nunavut","2021A000262","Extended-time","Total gender","Percent","239","units","0","v1391416776","13.2.1","","..","","","0"
"2017/2018","Nunavut","2021A000262","Extended-time","Total gender","Percent","239","units","0","v1391416776","13.2.1","","..","","","0"
"2018/2019","Nunavut","2021A000262","Extended-time","Total gender","Percent","239","units","0","v1391416776","13.2.1","","..","","","0"
"2019/2020","Nunavut","2021A000262","Extended-time","Total gender","Percent","239","units","0","v1391416776","13.2.1","","..","","","0"
"2020/2021","Nunavut","2021A000262","Extended-time","Total gender","Percent","239","units","0","v1391416776","13.2.1","","..","","","0"
"2021/2022","Nunavut","2021A000262","Extended-time","Total gender","Percent","239","units","0","v1391416776","13.2.1","","..","","","0"
"2016/2017","Nunavut","2021A000262","Extended-time","Male gender","Percent","239","units","0","v1391416777","13.2.2","","..","","","0"
"2017/2018","Nunavut","2021A000262","Extended-time","Male gender","Percent","239","units","0","v1391416777","13.2.2","","..","","","0"
"2018/2019","Nunavut","2021A000262","Extended-time","Male gender","Percent","239","units","0","v1391416777","13.2.2","","..","","","0"
"2019/2020","Nunavut","2021A000262","Extended-time","Male gender","Percent","239","units","0","v1391416777","13.2.2","","..","","","0"
"2020/2021","Nunavut","2021A000262","Extended-time","Male gender","Percent","239","units","0","v1391416777","13.2.2","","..","","","0"
"2021/2022","Nunavut","2021A000262","Extended-time","Male gender","Percent","239","units","0","v1391416777","13.2.2","","..","","","0"
"2016/2017","Nunavut","2021A000262","Extended-time","Female gender","Percent","239","units","0","v1391416778","13.2.3","","..","","","0"
"2017/2018","Nunavut","2021A000262","Extended-time","Female gender","Percent","239","units","0","v1391416778","13.2.3","","..","","","0"
"2018/2019","Nunavut","2021A000262","Extended-time","Female gender","Percent","239","units","0","v1391416778","13.2.3","","..","","","0"
"2019/2020","Nunavut","2021A000262","Extended-time","Female gender","Percent","239","units","0","v1391416778","13.2.3","","..","","","0"
"2020/2021","Nunavut","2021A000262","Extended-time","Female gender","Percent","239","units","0","v1391416778","13.2.3","","..","","","0"
"2021/2022","Nunavut","2021A000262","Extended-time","Female gender","Percent","239","units","0","v1391416778","13.2.3","","..","","","0"


