"REF_DATE","GEO","DGUID","Graduation rate","Gender","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016/2017","Ontario","2021A000235","On-time","Total gender","Percent","239","units","0","v1391416737","7.1.1","82","","","","0"
"2017/2018","Ontario","2021A000235","On-time","Total gender","Percent","239","units","0","v1391416737","7.1.1","82","","","","0"
"2018/2019","Ontario","2021A000235","On-time","Total gender","Percent","239","units","0","v1391416737","7.1.1","83","","","","0"
"2019/2020","Ontario","2021A000235","On-time","Total gender","Percent","239","units","0","v1391416737","7.1.1","86","","","","0"
"2020/2021","Ontario","2021A000235","On-time","Total gender","Percent","239","units","0","v1391416737","7.1.1","85","","","","0"
"2021/2022","Ontario","2021A000235","On-time","Total gender","Percent","239","units","0","v1391416737","7.1.1","87","","","","0"
"2016/2017","Ontario","2021A000235","On-time","Male gender","Percent","239","units","0","v1391416738","7.1.2","79","","","","0"
"2017/2018","Ontario","2021A000235","On-time","Male gender","Percent","239","units","0","v1391416738","7.1.2","79","","","","0"
"2018/2019","Ontario","2021A000235","On-time","Male gender","Percent","239","units","0","v1391416738","7.1.2","80","","","","0"
"2019/2020","Ontario","2021A000235","On-time","Male gender","Percent","239","units","0","v1391416738","7.1.2","83","","","","0"
"2020/2021","Ontario","2021A000235","On-time","Male gender","Percent","239","units","0","v1391416738","7.1.2","82","","","","0"
"2021/2022","Ontario","2021A000235","On-time","Male gender","Percent","239","units","0","v1391416738","7.1.2","85","","","","0"
"2016/2017","Ontario","2021A000235","On-time","Female gender","Percent","239","units","0","v1391416739","7.1.3","86","","","","0"
"2017/2018","Ontario","2021A000235","On-time","Female gender","Percent","239","units","0","v1391416739","7.1.3","86","","","","0"
"2018/2019","Ontario","2021A000235","On-time","Female gender","Percent","239","units","0","v1391416739","7.1.3","87","","","","0"
"2019/2020","Ontario","2021A000235","On-time","Female gender","Percent","239","units","0","v1391416739","7.1.3","89","","","","0"
"2020/2021","Ontario","2021A000235","On-time","Female gender","Percent","239","units","0","v1391416739","7.1.3","88","","","","0"
"2021/2022","Ontario","2021A000235","On-time","Female gender","Percent","239","units","0","v1391416739","7.1.3","90","","","","0"
"2016/2017","Ontario","2021A000235","Extended-time","Total gender","Percent","239","units","0","v1391416740","7.2.1","92","","","","0"
"2017/2018","Ontario","2021A000235","Extended-time","Total gender","Percent","239","units","0","v1391416740","7.2.1","91","","","","0"
"2018/2019","Ontario","2021A000235","Extended-time","Total gender","Percent","239","units","0","v1391416740","7.2.1","92","","","","0"
"2019/2020","Ontario","2021A000235","Extended-time","Total gender","Percent","239","units","0","v1391416740","7.2.1","92","","","","0"
"2020/2021","Ontario","2021A000235","Extended-time","Total gender","Percent","239","units","0","v1391416740","7.2.1","93","","","","0"
"2021/2022","Ontario","2021A000235","Extended-time","Total gender","Percent","239","units","0","v1391416740","7.2.1","94","","","","0"
"2016/2017","Ontario","2021A000235","Extended-time","Male gender","Percent","239","units","0","v1391416741","7.2.2","89","","","","0"
"2017/2018","Ontario","2021A000235","Extended-time","Male gender","Percent","239","units","0","v1391416741","7.2.2","89","","","","0"
"2018/2019","Ontario","2021A000235","Extended-time","Male gender","Percent","239","units","0","v1391416741","7.2.2","90","","","","0"
"2019/2020","Ontario","2021A000235","Extended-time","Male gender","Percent","239","units","0","v1391416741","7.2.2","90","","","","0"
"2020/2021","Ontario","2021A000235","Extended-time","Male gender","Percent","239","units","0","v1391416741","7.2.2","91","","","","0"
"2021/2022","Ontario","2021A000235","Extended-time","Male gender","Percent","239","units","0","v1391416741","7.2.2","92","","","","0"
"2016/2017","Ontario","2021A000235","Extended-time","Female gender","Percent","239","units","0","v1391416742","7.2.3","94","","","","0"
"2017/2018","Ontario","2021A000235","Extended-time","Female gender","Percent","239","units","0","v1391416742","7.2.3","94","","","","0"
"2018/2019","Ontario","2021A000235","Extended-time","Female gender","Percent","239","units","0","v1391416742","7.2.3","94","","","","0"
"2019/2020","Ontario","2021A000235","Extended-time","Female gender","Percent","239","units","0","v1391416742","7.2.3","94","","","","0"
"2020/2021","Ontario","2021A000235","Extended-time","Female gender","Percent","239","units","0","v1391416742","7.2.3","94","","","","0"
"2021/2022","Ontario","2021A000235","Extended-time","Female gender","Percent","239","units","0","v1391416742","7.2.3","96","","","","0"


