REF_DATE,GEO,Extended-time,On-time
2016,Alberta,84.0,78.0
2016,British Columbia,88.0,81.0
2016,Canada,87.0,80.0
2016,Manitoba,87.0,82.0
2016,New Brunswick,85.0,85.0
2016,Newfoundland and Labrador,90.0,88.0
2016,Nova Scotia,91.0,85.0
2016,Ontario,92.0,82.0
2016,Quebec,82.0,74.0
2016,Saskatchewan,85.0,78.0
2017,Alberta,86.0,80.0
2017,British Columbia,88.0,81.0
2017,Canada,88.0,81.0
2017,Manitoba,87.0,83.0
2017,New Brunswick,90.0,86.0
2017,Newfoundland and Labrador,92.0,88.0
2017,Nova Scotia,90.0,87.0
2017,Ontario,91.0,82.0
2017,Quebec,84.0,75.0
2017,Saskatchewan,84.0,79.0
2018,Alberta,86.0,80.0
2018,British Columbia,89.0,81.0
2018,Canada,89.0,81.0
2018,Manitoba,88.0,82.0
2018,New Brunswick,89.0,85.0
2018,Newfoundland and Labrador,92.0,89.0
2018,Nova Scotia,90.0,86.0
2018,Ontario,92.0,83.0
2018,Quebec,84.0,75.0
2018,Saskatchewan,86.0,80.0
2019,Alberta,87.0,84.0
2019,British Columbia,89.0,84.0
2019,Canada,89.0,84.0
2019,Manitoba,87.0,82.0
2019,New Brunswick,89.0,87.0
2019,Newfoundland and Labrador,92.0,94.0
2019,Nova Scotia,91.0,92.0
2019,Ontario,92.0,86.0
2019,Quebec,83.0,79.0
2019,Saskatchewan,88.0,85.0
2020,Alberta,88.0,84.0
2020,British Columbia,89.0,83.0
2020,Canada,89.0,84.0
2020,Manitoba,89.0,85.0
2020,New Brunswick,87.0,87.0
2020,Newfoundland and Labrador,94.0,89.0
2020,Nova Scotia,92.0,87.0
2020,Ontario,93.0,85.0
2020,Quebec,83.0,80.0
2020,Saskatchewan,89.0,83.0
2021,Alberta,90.0,82.0
2021,British Columbia,87.0,84.0
2021,Canada,91.0,84.0
2021,Manitoba,88.0,84.0
2021,New Brunswick,90.0,85.0
2021,Newfoundland and Labrador,97.0,89.0
2021,Nova Scotia,96.0,91.0
2021,Ontario,94.0,87.0
2021,Quebec,86.0,76.0
2021,Saskatchewan,91.0,83.0
