"REF_DATE","GEO","DGUID","Graduation rate","Gender","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016/2017","Quebec","2021A000224","On-time","Total gender","Percent","239","units","0","v1391416731","6.1.1","74","","","","0"
"2017/2018","Quebec","2021A000224","On-time","Total gender","Percent","239","units","0","v1391416731","6.1.1","75","","","","0"
"2018/2019","Quebec","2021A000224","On-time","Total gender","Percent","239","units","0","v1391416731","6.1.1","75","","","","0"
"2019/2020","Quebec","2021A000224","On-time","Total gender","Percent","239","units","0","v1391416731","6.1.1","79","","","","0"
"2020/2021","Quebec","2021A000224","On-time","Total gender","Percent","239","units","0","v1391416731","6.1.1","80","","","","0"
"2021/2022","Quebec","2021A000224","On-time","Total gender","Percent","239","units","0","v1391416731","6.1.1","76","","","","0"
"2016/2017","Quebec","2021A000224","On-time","Male gender","Percent","239","units","0","v1391416732","6.1.2","69","","","","0"
"2017/2018","Quebec","2021A000224","On-time","Male gender","Percent","239","units","0","v1391416732","6.1.2","70","","","","0"
"2018/2019","Quebec","2021A000224","On-time","Male gender","Percent","239","units","0","v1391416732","6.1.2","69","","","","0"
"2019/2020","Quebec","2021A000224","On-time","Male gender","Percent","239","units","0","v1391416732","6.1.2","74","","","","0"
"2020/2021","Quebec","2021A000224","On-time","Male gender","Percent","239","units","0","v1391416732","6.1.2","75","","","","0"
"2021/2022","Quebec","2021A000224","On-time","Male gender","Percent","239","units","0","v1391416732","6.1.2","70","","","","0"
"2016/2017","Quebec","2021A000224","On-time","Female gender","Percent","239","units","0","v1391416733","6.1.3","80","","","","0"
"2017/2018","Quebec","2021A000224","On-time","Female gender","Percent","239","units","0","v1391416733","6.1.3","81","","","","0"
"2018/2019","Quebec","2021A000224","On-time","Female gender","Percent","239","units","0","v1391416733","6.1.3","81","","","","0"
"2019/2020","Quebec","2021A000224","On-time","Female gender","Percent","239","units","0","v1391416733","6.1.3","84","","","","0"
"2020/2021","Quebec","2021A000224","On-time","Female gender","Percent","239","units","0","v1391416733","6.1.3","86","","","","0"
"2021/2022","Quebec","2021A000224","On-time","Female gender","Percent","239","units","0","v1391416733","6.1.3","82","","","","0"
"2016/2017","Quebec","2021A000224","Extended-time","Total gender","Percent","239","units","0","v1391416734","6.2.1","82","","","","0"
"2017/2018","Quebec","2021A000224","Extended-time","Total gender","Percent","239","units","0","v1391416734","6.2.1","84","","","","0"
"2018/2019","Quebec","2021A000224","Extended-time","Total gender","Percent","239","units","0","v1391416734","6.2.1","84","","","","0"
"2019/2020","Quebec","2021A000224","Extended-time","Total gender","Percent","239","units","0","v1391416734","6.2.1","83","","","","0"
"2020/2021","Quebec","2021A000224","Extended-time","Total gender","Percent","239","units","0","v1391416734","6.2.1","83","","","","0"
"2021/2022","Quebec","2021A000224","Extended-time","Total gender","Percent","239","units","0","v1391416734","6.2.1","86","","","","0"
"2016/2017","Quebec","2021A000224","Extended-time","Male gender","Percent","239","units","0","v1391416735","6.2.2","78","","","","0"
"2017/2018","Quebec","2021A000224","Extended-time","Male gender","Percent","239","units","0","v1391416735","6.2.2","80","","","","0"
"2018/2019","Quebec","2021A000224","Extended-time","Male gender","Percent","239","units","0","v1391416735","6.2.2","79","","","","0"
"2019/2020","Quebec","2021A000224","Extended-time","Male gender","Percent","239","units","0","v1391416735","6.2.2","80","","","","0"
"2020/2021","Quebec","2021A000224","Extended-time","Male gender","Percent","239","units","0","v1391416735","6.2.2","79","","","","0"
"2021/2022","Quebec","2021A000224","Extended-time","Male gender","Percent","239","units","0","v1391416735","6.2.2","83","","","","0"
"2016/2017","Quebec","2021A000224","Extended-time","Female gender","Percent","239","units","0","v1391416736","6.2.3","89","","","","0"
"2017/2018","Quebec","2021A000224","Extended-time","Female gender","Percent","239","units","0","v1391416736","6.2.3","88","","","","0"
"2018/2019","Quebec","2021A000224","Extended-time","Female gender","Percent","239","units","0","v1391416736","6.2.3","88","","","","0"
"2019/2020","Quebec","2021A000224","Extended-time","Female gender","Percent","239","units","0","v1391416736","6.2.3","87","","","","0"
"2020/2021","Quebec","2021A000224","Extended-time","Female gender","Percent","239","units","0","v1391416736","6.2.3","88","","","","0"
"2021/2022","Quebec","2021A000224","Extended-time","Female gender","Percent","239","units","0","v1391416736","6.2.3","89","","","","0"


