"REF_DATE","GEO","DGUID","Graduation rate","Gender","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016/2017","Saskatchewan","2021A000247","On-time","Total gender","Percent","239","units","0","v1391416749","9.1.1","78","","","","0"
"2017/2018","Saskatchewan","2021A000247","On-time","Total gender","Percent","239","units","0","v1391416749","9.1.1","79","","","","0"
"2018/2019","Saskatchewan","2021A000247","On-time","Total gender","Percent","239","units","0","v1391416749","9.1.1","80","","","","0"
"2019/2020","Saskatchewan","2021A000247","On-time","Total gender","Percent","239","units","0","v1391416749","9.1.1","85","","","","0"
"2020/2021","Saskatchewan","2021A000247","On-time","Total gender","Percent","239","units","0","v1391416749","9.1.1","83","","","","0"
"2021/2022","Saskatchewan","2021A000247","On-time","Total gender","Percent","239","units","0","v1391416749","9.1.1","83","","","","0"
"2016/2017","Saskatchewan","2021A000247","On-time","Male gender","Percent","239","units","0","v1391416750","9.1.2","76","","","","0"
"2017/2018","Saskatchewan","2021A000247","On-time","Male gender","Percent","239","units","0","v1391416750","9.1.2","76","","","","0"
"2018/2019","Saskatchewan","2021A000247","On-time","Male gender","Percent","239","units","0","v1391416750","9.1.2","77","","","","0"
"2019/2020","Saskatchewan","2021A000247","On-time","Male gender","Percent","239","units","0","v1391416750","9.1.2","83","","","","0"
"2020/2021","Saskatchewan","2021A000247","On-time","Male gender","Percent","239","units","0","v1391416750","9.1.2","82","","","","0"
"2021/2022","Saskatchewan","2021A000247","On-time","Male gender","Percent","239","units","0","v1391416750","9.1.2","82","","","","0"
"2016/2017","Saskatchewan","2021A000247","On-time","Female gender","Percent","239","units","0","v1391416751","9.1.3","81","","","","0"
"2017/2018","Saskatchewan","2021A000247","On-time","Female gender","Percent","239","units","0","v1391416751","9.1.3","82","","","","0"
"2018/2019","Saskatchewan","2021A000247","On-time","Female gender","Percent","239","units","0","v1391416751","9.1.3","82","","","","0"
"2019/2020","Saskatchewan","2021A000247","On-time","Female gender","Percent","239","units","0","v1391416751","9.1.3","87","","","","0"
"2020/2021","Saskatchewan","2021A000247","On-time","Female gender","Percent","239","units","0","v1391416751","9.1.3","84","","","","0"
"2021/2022","Saskatchewan","2021A000247","On-time","Female gender","Percent","239","units","0","v1391416751","9.1.3","84","","","","0"
"2016/2017","Saskatchewan","2021A000247","Extended-time","Total gender","Percent","239","units","0","v1391416752","9.2.1","85","","","","0"
"2017/2018","Saskatchewan","2021A000247","Extended-time","Total gender","Percent","239","units","0","v1391416752","9.2.1","84","","","","0"
"2018/2019","Saskatchewan","2021A000247","Extended-time","Total gender","Percent","239","units","0","v1391416752","9.2.1","86","","","","0"
"2019/2020","Saskatchewan","2021A000247","Extended-time","Total gender","Percent","239","units","0","v1391416752","9.2.1","88","","","","0"
"2020/2021","Saskatchewan","2021A000247","Extended-time","Total gender","Percent","239","units","0","v1391416752","9.2.1","89","","","","0"
"2021/2022","Saskatchewan","2021A000247","Extended-time","Total gender","Percent","239","units","0","v1391416752","9.2.1","91","","","","0"
"2016/2017","Saskatchewan","2021A000247","Extended-time","Male gender","Percent","239","units","0","v1391416753","9.2.2","82","","","","0"
"2017/2018","Saskatchewan","2021A000247","Extended-time","Male gender","Percent","239","units","0","v1391416753","9.2.2","82","","","","0"
"2018/2019","Saskatchewan","2021A000247","Extended-time","Male gender","Percent","239","units","0","v1391416753","9.2.2","84","","","","0"
"2019/2020","Saskatchewan","2021A000247","Extended-time","Male gender","Percent","239","units","0","v1391416753","9.2.2","85","","","","0"
"2020/2021","Saskatchewan","2021A000247","Extended-time","Male gender","Percent","239","units","0","v1391416753","9.2.2","87","","","","0"
"2021/2022","Saskatchewan","2021A000247","Extended-time","Male gender","Percent","239","units","0","v1391416753","9.2.2","89","","","","0"
"2016/2017","Saskatchewan","2021A000247","Extended-time","Female gender","Percent","239","units","0","v1391416754","9.2.3","88","","","","0"
"2017/2018","Saskatchewan","2021A000247","Extended-time","Female gender","Percent","239","units","0","v1391416754","9.2.3","86","","","","0"
"2018/2019","Saskatchewan","2021A000247","Extended-time","Female gender","Percent","239","units","0","v1391416754","9.2.3","88","","","","0"
"2019/2020","Saskatchewan","2021A000247","Extended-time","Female gender","Percent","239","units","0","v1391416754","9.2.3","90","","","","0"
"2020/2021","Saskatchewan","2021A000247","Extended-time","Female gender","Percent","239","units","0","v1391416754","9.2.3","92","","","","0"
"2021/2022","Saskatchewan","2021A000247","Extended-time","Female gender","Percent","239","units","0","v1391416754","9.2.3","92","","","","0"


