"REF_DATE","GEO","DGUID","Family characteristics measured five years earlier","Statistics ","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016","Canada","2016A000011124","All characteristics","Participation rate","Percent","239","units","0","v1273598652","1.1.1","70","","","","0"
"2016","Canada","2016A000011124","Were living with their parents","Participation rate","Percent","239","units","0","v1273598653","1.2.1","71","","","","0"
"2016","Canada","2016A000011124","Parental highest level of education: No parent with postsecondary education","Participation rate","Percent","239","units","0","v1273598654","1.3.1","56","","","","0"
"2016","Canada","2016A000011124","Parental highest level of education: No high school diploma","Participation rate","Percent","239","units","0","v1273598655","1.4.1","49","","","","0"
"2016","Canada","2016A000011124","Parental highest level of education: High school diploma","Participation rate","Percent","239","units","0","v1273598656","1.5.1","59","","","","0"
"2016","Canada","2016A000011124","Parental highest level of education: At least one parent with postsecondary education","Participation rate","Percent","239","units","0","v1273598657","1.6.1","75","","","","0"
"2016","Canada","2016A000011124","Parental highest level of education: Above a high school diploma and below a bachelor's degree","Participation rate","Percent","239","units","0","v1273598658","1.7.1","68","","","","0"
"2016","Canada","2016A000011124","Parental highest level of education: Bachelor's degree and above","Participation rate","Percent","239","units","0","v1273598659","1.8.1","85","","","","0"
"2016","Canada","2016A000011124","Highest half of the Canadian households income","Participation rate","Percent","239","units","0","v1273598660","1.9.1","78","","","","0"
"2016","Canada","2016A000011124","Lowest half of the Canadian households income","Participation rate","Percent","239","units","0","v1273598661","1.10.1","64","","","","0"
"2016","Canada","2016A000011124","Family type, lone parent","Participation rate","Percent","239","units","0","v1273598662","1.11.1","60","","","","0"
"2016","Canada","2016A000011124","Family type, two parents, married couple","Participation rate","Percent","239","units","0","v1273598663","1.12.1","75","","","","0"
"2016","Canada","2016A000011124","Family type, two parents, common-law couple","Participation rate","Percent","239","units","0","v1273598664","1.13.1","66","","","","0"
"2016","Canada","2016A000011124","Were living in a rural area","Participation rate","Percent","239","units","0","v1273598665","1.14.1","65","","","","0"
"2016","Canada","2016A000011124","Were living in a population centre","Participation rate","Percent","239","units","0","v1273598666","1.15.1","72","","","","0"
"2016","Canada","2016A000011124","Non-immigrant parents","Participation rate","Percent","239","units","0","v1273598667","1.16.1","67","","","","0"
"2016","Canada","2016A000011124","At least one immigrant parent","Participation rate","Percent","239","units","0","v1273598668","1.17.1","78","","","","0"
"2016","Canada","2016A000011124","Were not living with their parents","Participation rate","Percent","239","units","0","v1273598669","1.18.1","47","","","","0"
"2016","Newfoundland and Labrador","2016A000210","All characteristics","Participation rate","Percent","239","units","0","v1273598670","2.1.1","71","","","","0"
"2016","Newfoundland and Labrador","2016A000210","Were living with their parents","Participation rate","Percent","239","units","0","v1273598671","2.2.1","73","","","","0"
"2016","Newfoundland and Labrador","2016A000210","Parental highest level of education: No parent with postsecondary education","Participation rate","Percent","239","units","0","v1273598672","2.3.1","47","","","","0"
"2016","Newfoundland and Labrador","2016A000210","Parental highest level of education: No high school diploma","Participation rate","Percent","239","units","0","v1273598673","2.4.1","43","","","","0"
"2016","Newfoundland and Labrador","2016A000210","Parental highest level of education: High school diploma","Participation rate","Percent","239","units","0","v1273598674","2.5.1","53","","","","0"
"2016","Newfoundland and Labrador","2016A000210","Parental highest level of education: At least one parent with postsecondary education","Participation rate","Percent","239","units","0","v1273598675","2.6.1","80","","","","0"
"2016","Newfoundland and Labrador","2016A000210","Parental highest level of education: Above a high school diploma and below a bachelor's degree","Participation rate","Percent","239","units","0","v1273598676","2.7.1","75","","","","0"
"2016","Newfoundland and Labrador","2016A000210","Parental highest level of education: Bachelor's degree and above","Participation rate","Percent","239","units","0","v1273598677","2.8.1","","x","","","0"
"2016","Newfoundland and Labrador","2016A000210","Highest half of the Canadian households income","Participation rate","Percent","239","units","0","v1273598678","2.9.1","89","","","","0"
"2016","Newfoundland and Labrador","2016A000210","Lowest half of the Canadian households income","Participation rate","Percent","239","units","0","v1273598679","2.10.1","58","","","","0"
"2016","Newfoundland and Labrador","2016A000210","Family type, lone parent","Participation rate","Percent","239","units","0","v1273598680","2.11.1","59","","","","0"
"2016","Newfoundland and Labrador","2016A000210","Family type, two parents, married couple","Participation rate","Percent","239","units","0","v1273598681","2.12.1","80","","","","0"
"2016","Newfoundland and Labrador","2016A000210","Family type, two parents, common-law couple","Participation rate","Percent","239","units","0","v1273598682","2.13.1","52","","","","0"
"2016","Newfoundland and Labrador","2016A000210","Were living in a rural area","Participation rate","Percent","239","units","0","v1273598683","2.14.1","73","","","","0"
"2016","Newfoundland and Labrador","2016A000210","Were living in a population centre","Participation rate","Percent","239","units","0","v1273598684","2.15.1","72","","","","0"
"2016","Newfoundland and Labrador","2016A000210","Non-immigrant parents","Participation rate","Percent","239","units","0","v1273598685","2.16.1","72","","","","0"
"2016","Newfoundland and Labrador","2016A000210","At least one immigrant parent","Participation rate","Percent","239","units","0","v1273598686","2.17.1","","x","","","0"
"2016","Newfoundland and Labrador","2016A000210","Were not living with their parents","Participation rate","Percent","239","units","0","v1273598687","2.18.1","","x","","","0"
"2016","Prince Edward Island","2016A000211","All characteristics","Participation rate","Percent","239","units","0","v1273598688","3.1.1","66","","","","0"
"2016","Prince Edward Island","2016A000211","Were living with their parents","Participation rate","Percent","239","units","0","v1273598689","3.2.1","65","","","","0"
"2016","Prince Edward Island","2016A000211","Parental highest level of education: No parent with postsecondary education","Participation rate","Percent","239","units","0","v1273598690","3.3.1","","x","","","0"
"2016","Prince Edward Island","2016A000211","Parental highest level of education: No high school diploma","Participation rate","Percent","239","units","0","v1273598691","3.4.1","","x","","","0"
"2016","Prince Edward Island","2016A000211","Parental highest level of education: High school diploma","Participation rate","Percent","239","units","0","v1273598692","3.5.1","","x","","","0"
"2016","Prince Edward Island","2016A000211","Parental highest level of education: At least one parent with postsecondary education","Participation rate","Percent","239","units","0","v1273598693","3.6.1","71","","","","0"
