"REF_DATE","GEO","DGUID","Graduation rate","Gender","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016/2017","Northwest Territories","2021A000260","On-time","Total gender","Percent","239","units","0","v1391416767","12.1.1","54","","","","0"
"2017/2018","Northwest Territories","2021A000260","On-time","Total gender","Percent","239","units","0","v1391416767","12.1.1","51","","","","0"
"2018/2019","Northwest Territories","2021A000260","On-time","Total gender","Percent","239","units","0","v1391416767","12.1.1","49","","","","0"
"2019/2020","Northwest Territories","2021A000260","On-time","Total gender","Percent","239","units","0","v1391416767","12.1.1","46","","","","0"
"2020/2021","Northwest Territories","2021A000260","On-time","Total gender","Percent","239","units","0","v1391416767","12.1.1","","..","","","0"
"2021/2022","Northwest Territories","2021A000260","On-time","Total gender","Percent","239","units","0","v1391416767","12.1.1","","..","","","0"
"2016/2017","Northwest Territories","2021A000260","On-time","Male gender","Percent","239","units","0","v1391416768","12.1.2","52","","","","0"
"2017/2018","Northwest Territories","2021A000260","On-time","Male gender","Percent","239","units","0","v1391416768","12.1.2","45","","","","0"
"2018/2019","Northwest Territories","2021A000260","On-time","Male gender","Percent","239","units","0","v1391416768","12.1.2","42","","","","0"
"2019/2020","Northwest Territories","2021A000260","On-time","Male gender","Percent","239","units","0","v1391416768","12.1.2","40","","","","0"
"2020/2021","Northwest Territories","2021A000260","On-time","Male gender","Percent","239","units","0","v1391416768","12.1.2","","..","","","0"
"2021/2022","Northwest Territories","2021A000260","On-time","Male gender","Percent","239","units","0","v1391416768","12.1.2","","..","","","0"
"2016/2017","Northwest Territories","2021A000260","On-time","Female gender","Percent","239","units","0","v1391416769","12.1.3","54","","","","0"
"2017/2018","Northwest Territories","2021A000260","On-time","Female gender","Percent","239","units","0","v1391416769","12.1.3","58","","","","0"
"2018/2019","Northwest Territories","2021A000260","On-time","Female gender","Percent","239","units","0","v1391416769","12.1.3","56","","","","0"
"2019/2020","Northwest Territories","2021A000260","On-time","Female gender","Percent","239","units","0","v1391416769","12.1.3","46","","","","0"
"2020/2021","Northwest Territories","2021A000260","On-time","Female gender","Percent","239","units","0","v1391416769","12.1.3","","..","","","0"
"2021/2022","Northwest Territories","2021A000260","On-time","Female gender","Percent","239","units","0","v1391416769","12.1.3","","..","","","0"
"2016/2017","Northwest Territories","2021A000260","Extended-time","Total gender","Percent","239","units","0","v1391416770","12.2.1","","..","","","0"
"2017/2018","Northwest Territories","2021A000260","Extended-time","Total gender","Percent","239","units","0","v1391416770","12.2.1","","..","","","0"
"2018/2019","Northwest Territories","2021A000260","Extended-time","Total gender","Percent","239","units","0","v1391416770","12.2.1","","..","","","0"
"2019/2020","Northwest Territories","2021A000260","Extended-time","Total gender","Percent","239","units","0","v1391416770","12.2.1","","..","","","0"
"2020/2021","Northwest Territories","2021A000260","Extended-time","Total gender","Percent","239","units","0","v1391416770","12.2.1","51","","","","0"
"2021/2022","Northwest Territories","2021A000260","Extended-time","Total gender","Percent","239","units","0","v1391416770","12.2.1","57","","","","0"
"2016/2017","Northwest Territories","2021A000260","Extended-time","Male gender","Percent","239","units","0","v1391416771","12.2.2","","..","","","0"
"2017/2018","Northwest Territories","2021A000260","Extended-time","Male gender","Percent","239","units","0","v1391416771","12.2.2","","..","","","0"
"2018/2019","Northwest Territories","2021A000260","Extended-time","Male gender","Percent","239","units","0","v1391416771","12.2.2","","..","","","0"
"2019/2020","Northwest Territories","2021A000260","Extended-time","Male gender","Percent","239","units","0","v1391416771","12.2.2","","..","","","0"
"2020/2021","Northwest Territories","2021A000260","Extended-time","Male gender","Percent","239","units","0","v1391416771","12.2.2","44","","","","0"
"2021/2022","Northwest Territories","2021A000260","Extended-time","Male gender","Percent","239","units","0","v1391416771","12.2.2","50","","","","0"
"2016/2017","Northwest Territories","2021A000260","Extended-time","Female gender","Percent","239","units","0","v1391416772","12.2.3","","..","","","0"
"2017/2018","Northwest Territories","2021A000260","Extended-time","Female gender","Percent","239","units","0","v1391416772","12.2.3","","..","","","0"
"2018/2019","Northwest Territories","2021A000260","Extended-time","Female gender","Percent","239","units","0","v1391416772","12.2.3","","..","","","0"
"2019/2020","Northwest Territories","2021A000260","Extended-time","Female gender","Percent","239","units","0","v1391416772","12.2.3","","..","","","0"
"2020/2021","Northwest Territories","2021A000260","Extended-time","Female gender","Percent","239","units","0","v1391416772","12.2.3","57","","","","0"
"2021/2022","Northwest Territories","2021A000260","Extended-time","Female gender","Percent","239","units","0","v1391416772","12.2.3","57","","","","0"


