"REF_DATE","GEO","DGUID","Graduation rate","Gender","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016/2017","Newfoundland and Labrador","2021A000210","On-time","Total gender","Percent","239","units","0","v1391416707","2.1.1","88","","","","0"
"2017/2018","Newfoundland and Labrador","2021A000210","On-time","Total gender","Percent","239","units","0","v1391416707","2.1.1","88","","","","0"
"2018/2019","Newfoundland and Labrador","2021A000210","On-time","Total gender","Percent","239","units","0","v1391416707","2.1.1","89","","","","0"
"2019/2020","Newfoundland and Labrador","2021A000210","On-time","Total gender","Percent","239","units","0","v1391416707","2.1.1","94","","","","0"
"2020/2021","Newfoundland and Labrador","2021A000210","On-time","Total gender","Percent","239","units","0","v1391416707","2.1.1","89","","","","0"
"2021/2022","Newfoundland and Labrador","2021A000210","On-time","Total gender","Percent","239","units","0","v1391416707","2.1.1","89","","","","0"
"2016/2017","Newfoundland and Labrador","2021A000210","On-time","Male gender","Percent","239","units","0","v1391416708","2.1.2","87","","","","0"
"2017/2018","Newfoundland and Labrador","2021A000210","On-time","Male gender","Percent","239","units","0","v1391416708","2.1.2","86","","","","0"
"2018/2019","Newfoundland and Labrador","2021A000210","On-time","Male gender","Percent","239","units","0","v1391416708","2.1.2","87","","","","0"
"2019/2020","Newfoundland and Labrador","2021A000210","On-time","Male gender","Percent","239","units","0","v1391416708","2.1.2","94","","","","0"
"2020/2021","Newfoundland and Labrador","2021A000210","On-time","Male gender","Percent","239","units","0","v1391416708","2.1.2","87","","","","0"
"2021/2022","Newfoundland and Labrador","2021A000210","On-time","Male gender","Percent","239","units","0","v1391416708","2.1.2","88","","","","0"
"2016/2017","Newfoundland and Labrador","2021A000210","On-time","Female gender","Percent","239","units","0","v1391416709","2.1.3","90","","","","0"
"2017/2018","Newfoundland and Labrador","2021A000210","On-time","Female gender","Percent","239","units","0","v1391416709","2.1.3","89","","","","0"
"2018/2019","Newfoundland and Labrador","2021A000210","On-time","Female gender","Percent","239","units","0","v1391416709","2.1.3","91","","","","0"
"2019/2020","Newfoundland and Labrador","2021A000210","On-time","Female gender","Percent","239","units","0","v1391416709","2.1.3","95","","","","0"
"2020/2021","Newfoundland and Labrador","2021A000210","On-time","Female gender","Percent","239","units","0","v1391416709","2.1.3","91","","","","0"
"2021/2022","Newfoundland and Labrador","2021A000210","On-time","Female gender","Percent","239","units","0","v1391416709","2.1.3","90","","","","0"
"2016/2017","Newfoundland and Labrador","2021A000210","Extended-time","Total gender","Percent","239","units","0","v1391416710","2.2.1","90","","","","0"
"2017/2018","Newfoundland and Labrador","2021A000210","Extended-time","Total gender","Percent","239","units","0","v1391416710","2.2.1","92","","","","0"
"2018/2019","Newfoundland and Labrador","2021A000210","Extended-time","Total gender","Percent","239","units","0","v1391416710","2.2.1","92","","","","0"
"2019/2020","Newfoundland and Labrador","2021A000210","Extended-time","Total gender","Percent","239","units","0","v1391416710","2.2.1","92","","","","0"
"2020/2021","Newfoundland and Labrador","2021A000210","Extended-time","Total gender","Percent","239","units","0","v1391416710","2.2.1","94","","","","0"
"2021/2022","Newfoundland and Labrador","2021A000210","Extended-time","Total gender","Percent","239","units","0","v1391416710","2.2.1","97","","","","0"
"2016/2017","Newfoundland and Labrador","2021A000210","Extended-time","Male gender","Percent","239","units","0","v1391416711","2.2.2","88","","","","0"
"2017/2018","Newfoundland and Labrador","2021A000210","Extended-time","Male gender","Percent","239","units","0","v1391416711","2.2.2","92","","","","0"
"2018/2019","Newfoundland and Labrador","2021A000210","Extended-time","Male gender","Percent","239","units","0","v1391416711","2.2.2","90","","","","0"
"2019/2020","Newfoundland and Labrador","2021A000210","Extended-time","Male gender","Percent","239","units","0","v1391416711","2.2.2","90","","","","0"
"2020/2021","Newfoundland and Labrador","2021A000210","Extended-time","Male gender","Percent","239","units","0","v1391416711","2.2.2","93","","","","0"
"2021/2022","Newfoundland and Labrador","2021A000210","Extended-time","Male gender","Percent","239","units","0","v1391416711","2.2.2","96","","","","0"
"2016/2017","Newfoundland and Labrador","2021A000210","Extended-time","Female gender","Percent","239","units","0","v1391416712","2.2.3","91","","","","0"
"2017/2018","Newfoundland and Labrador","2021A000210","Extended-time","Female gender","Percent","239","units","0","v1391416712","2.2.3","93","","","","0"
"2018/2019","Newfoundland and Labrador","2021A000210","Extended-time","Female gender","Percent","239","units","0","v1391416712","2.2.3","93","","","","0"
"2019/2020","Newfoundland and Labrador","2021A000210","Extended-time","Female gender","Percent","239","units","0","v1391416712","2.2.3","94","","","","0"
"2020/2021","Newfoundland and Labrador","2021A000210","Extended-time","Female gender","Percent","239","units","0","v1391416712","2.2.3","96","","","","0"
"2021/2022","Newfoundland and Labrador","2021A000210","Extended-time","Female gender","Percent","239","units","0","v1391416712","2.2.3","97","","","","0"


