Year,Ownership rate,Total,Single-detached,Apartments,Other dwellings,Owners,Owner-Single-detached,Owner-Apartments,Owner-Other dwellings,Renter,Renter-Single-detached,Renter-Apartments,Renter-Other dwellings,Geo
1976,65,586100,378500,110700,96800,378700,326300,6400,46100,207300,52200,104300,50800,Alberta
1976,65,850500,529000,202100,119500,553000,461100,25000,66900,297500,67900,177000,52600,British Columbia
1976,62,7311100,4059000,2113700,1138400,4504900,3646000,242500,616400,2806200,413100,1871100,522000,Canada
1976,66,331500,222000,72700,36900,219600,198100,4100,17500,111900,23900,68600,19400,Manitoba
1976,72,194100,128000,29400,36700,139100,116100,2900,20200,54900,11900,26500,16500,New Brunswick
1976,80,133100,96900,8100,28200,107200,90300,1500,15500,25900,6600,6600,12600,Newfoundland and Labrador
1976,63,2682200,1517200,740200,424800,1701400,1377700,80100,243600,980800,139500,660100,181200,Ontario
1976,50,1943400,762600,871700,309100,975000,699800,115400,159900,968400,62800,756400,149200,Quebec
1977,64,624320,399580,118760,105920,400640,343220,6300,51220,223620,56360,112460,54780,Alberta
1977,65,885380,550880,209900,124680,573720,479420,25080,69220,311660,71440,184760,55460,British Columbia
1977,62,7536860,4210160,2119240,1207480,4648640,3773280,228260,647100,2888220,436940,1890900,560380,Canada
1977,66,337460,226400,73540,37600,223140,201700,3760,17760,114320,24700,69780,19820,Manitoba
1977,72,198900,133200,29440,36280,143240,120780,2600,19940,55580,12420,26820,16340,New Brunswick
1977,80,136600,101140,8220,27320,110020,93780,1260,15060,26580,7360,6960,12180,Newfoundland and Labrador
1977,63,2751740,1557760,754540,439440,1743080,1412600,77420,253060,1008660,145160,677120,186380,Ontario
1977,51,1996480,803800,842760,349940,1014760,734980,105560,174300,981720,68820,737280,175620,Quebec
1978,64,662540,420660,126820,115040,422580,360140,6200,56340,239940,60520,120620,58760,Alberta
1978,65,920260,572760,217700,129860,594440,497740,25160,71540,325820,74980,192520,58320,British Columbia
1978,62,7762620,4361320,2124780,1276560,4792380,3900560,214020,677800,2970240,460780,1910700,598760,Canada
1978,66,343420,230800,74380,38300,226680,205300,3420,18020,116740,25500,70960,20240,Manitoba
1978,72,203700,138400,29480,35860,147380,125460,2300,19680,56260,12940,27140,16180,New Brunswick
1978,80,140100,105380,8340,26440,112840,97260,1020,14620,27260,8120,7320,11760,Newfoundland and Labrador
1978,63,2821280,1598320,768880,454080,1784760,1447500,74740,262520,1036520,150820,694140,191560,Ontario
1978,51,2049560,845000,813820,390780,1054520,770160,95720,188700,995040,74840,718160,202040,Quebec
1979,64,700760,441740,134880,124160,444520,377060,6100,61460,256260,64680,128780,62740,Alberta
1979,64,955140,594640,225500,135040,615160,516060,25240,73860,339980,78520,200280,61180,British Columbia
1979,62,7988380,4512480,2130320,1345640,4936120,4027840,199780,708500,3052260,484620,1930500,637140,Canada
1979,66,349380,235200,75220,39000,230220,208900,3080,18280,119160,26300,72140,20660,Manitoba
1979,73,208500,143600,29520,35440,151520,130140,2000,19420,56940,13460,27460,16020,New Brunswick
1979,80,143600,109620,8460,25560,115660,100740,780,14180,27940,8880,7680,11340,Newfoundland and Labrador
1979,63,2890820,1638880,783220,468720,1826440,1482400,72060,271980,1064380,156480,711160,196740,Ontario
1979,52,2102640,886200,784880,431620,1094280,805340,85880,203100,1008360,80860,699040,228460,Quebec
1980,63,738980,462820,142940,133280,466460,393980,6000,66580,272580,68840,136940,66720,Alberta
1980,64,990020,616520,233300,140220,635880,534380,25320,76180,354140,82060,208040,64040,British Columbia
1980,62,8214140,4663640,2135860,1414720,5079860,4155120,185540,739200,3134280,508460,1950300,675520,Canada
1980,66,355340,239600,76060,39700,233760,212500,2740,18540,121580,27100,73320,21080,Manitoba
1980,73,213300,148800,29560,35020,155660,134820,1700,19160,57620,13980,27780,15860,New Brunswick
1980,80,147100,113860,8580,24680,118480,104220,540,13740,28620,9640,8040,10920,Newfoundland and Labrador
1980,63,2960360,1679440,797560,483360,1868120,1517300,69380,281440,1092240,162140,728180,201920,Ontario
1980,53,2155720,927400,755940,472460,1134040,840520,76040,217500,1021680,86880,679920,254880,Quebec
1981,63,777200,483900,151000,142400,488400,410900,5900,71700,288900,73000,145100,70700,Alberta
1981,64,1024900,638400,241100,145400,656600,552700,25400,78500,368300,85600,215800,66900,British Columbia
1981,62,8439900,4814800,2141400,1483800,5223600,4282400,171300,769900,3216300,532300,1970100,713900,Canada
1981,66,361300,244000,76900,40400,237300,216100,2400,18800,124000,27900,74500,21500,Manitoba
1981,73,218100,154000,29600,34600,159800,139500,1400,18900,58300,14500,28100,15700,New Brunswick
1981,80,150600,118100,8700,23800,121300,107700,300,13300,29300,10400,8400,10500,Newfoundland and Labrador
1981,63,3029900,1720000,811900,498000,1909800,1552200,66700,290900,1120100,167800,745200,207100,Ontario
1981,53,2208800,968600,727000,513300,1173800,875700,66200,231900,1035000,92900,660800,281300,Quebec
1982,63,793640,494980,156360,142380,496680,420840,6660,69260,297040,74140,149680,73140,Alberta
1982,64,1046260,651300,249460,145500,666960,562500,28220,76240,379320,88740,221320,69260,British Columbia
1982,62,8604140,4911360,2242200,1450660,5328780,4372980,203960,751860,3275360,538320,2038240,698800,Canada
1982,66,367400,248440,79380,39580,241720,220500,3060,18160,125680,27940,76300,21360,Manitoba
1982,74,221900,157760,30240,33980,163060,143180,1720,18160,58840,14580,28440,15820,New Brunswick
1982,80,152760,119400,8840,24540,122840,109200,440,13200,29920,10180,8400,11320,Newfoundland and Labrador
1982,63,3089700,1756320,833240,500140,1949880,1586240,73720,289940,1139800,170100,759520,210200,Ontario
1982,53,2251200,986000,786120,479160,1203600,894640,86200,222760,1047620,91360,699920,256320,Quebec
1983,62,810080,506060,161720,142360,504960,430780,7420,66820,305180,75280,154260,75580,Alberta
1983,64,1067620,664200,257820,145600,677320,572300,31040,73980,390340,91880,226840,71620,British Columbia
1983,62,8768380,5007920,2343000,1417520,5433960,4463560,236620,733820,3334420,544340,2106380,683700,Canada
1983,66,373500,252880,81860,38760,246140,224900,3720,17520,127360,27980,78100,21220,Manitoba
1983,74,225700,161520,30880,33360,166320,146860,2040,17420,59380,14660,28780,15940,New Brunswick
1983,80,154920,120700,8980,25280,124380,110700,580,13100,30540,9960,8400,12140,Newfoundland and Labrador
1983,63,3149500,1792640,854580,502280,1989960,1620280,80740,288980,1159500,172400,773840,213300,Ontario
1983,54,2293600,1003400,845240,445020,1233400,913580,106200,213620,1060240,89820,739040,231340,Quebec
1984,62,826520,517140,167080,142340,513240,440720,8180,64380,313320,76420,158840,78020,Alberta
1984,63,1088980,677100,266180,145700,687680,582100,33860,71720,401360,95020,232360,73980,British Columbia
1984,62,8932620,5104480,2443800,1384380,5539140,4554140,269280,715780,3393480,550360,2174520,668600,Canada
1984,66,379600,257320,84340,37940,250560,229300,4380,16880,129040,28020,79900,21080,Manitoba
1984,74,229500,165280,31520,32740,169580,150540,2360,16680,59920,14740,29120,16060,New Brunswick
1984,80,157080,122000,9120,26020,125920,112200,720,13000,31160,9740,8400,12960,Newfoundland and Labrador
1984,63,3209300,1828960,875920,504420,2030040,1654320,87760,288020,1179200,174700,788160,216400,Ontario
1984,54,2336000,1020800,904360,410880,1263200,932520,126200,204480,1072860,88280,778160,206360,Quebec
1985,62,842960,528220,172440,142320,521520,450660,8940,61940,321460,77560,163420,80460,Alberta
1985,63,1110340,690000,274540,145800,698040,591900,36680,69460,412380,98160,237880,76340,British Columbia
1985,62,9096860,5201040,2544600,1351240,5644320,4644720,301940,697740,3452540,556380,2242660,653500,Canada
