Year,Ownership rate,Total,Single-detached,Apartments,Other dwellings,Owners,Owner-Single-detached,Owner-Apartments,Owner-Other dwellings,Renter,Renter-Single-detached,Renter-Apartments,Renter-Other dwellings,Geo
1976,65,850500,529000,202100,119500,553000,461100,25000,66900,297500,67900,177000,52600,British Columbia
1977,65,885380,550880,209900,124680,573720,479420,25080,69220,311660,71440,184760,55460,British Columbia
1978,65,920260,572760,217700,129860,594440,497740,25160,71540,325820,74980,192520,58320,British Columbia
1979,64,955140,594640,225500,135040,615160,516060,25240,73860,339980,78520,200280,61180,British Columbia
1980,64,990020,616520,233300,140220,635880,534380,25320,76180,354140,82060,208040,64040,British Columbia
1981,64,1024900,638400,241100,145400,656600,552700,25400,78500,368300,85600,215800,66900,British Columbia
1982,64,1046260,651300,249460,145500,666960,562500,28220,76240,379320,88740,221320,69260,British Columbia
1983,64,1067620,664200,257820,145600,677320,572300,31040,73980,390340,91880,226840,71620,British Columbia
1984,63,1088980,677100,266180,145700,687680,582100,33860,71720,401360,95020,232360,73980,British Columbia
1985,63,1110340,690000,274540,145800,698040,591900,36680,69460,412380,98160,237880,76340,British Columbia
1986,63,1131700,702900,282900,145900,708400,601700,39500,67200,423400,101300,243400,78700,British Columbia
1987,63,1160840,711420,289900,159520,729520,609640,44080,75800,431380,101860,245820,83700,British Columbia
1988,63,1189980,719940,296900,173140,750640,617580,48660,84400,439360,102420,248240,88700,British Columbia
1989,63,1219120,728460,303900,186760,771760,625520,53240,93000,447340,102980,250660,93700,British Columbia
1990,63,1248260,736980,310900,200380,792880,633460,57820,101600,455320,103540,253080,98700,British Columbia
1991,64,1277400,745500,317900,214000,814000,641400,62400,110200,463300,104100,255500,103700,British Columbia
1992,64,1318560,770960,338720,208860,844300,660720,72780,110780,474180,110240,265940,98000,British Columbia
1993,64,1359720,796420,359540,203720,874600,680040,83160,111360,485060,116380,276380,92300,British Columbia
1994,65,1400880,821880,380360,198580,904900,699360,93540,111940,495940,122520,286820,86600,British Columbia
1995,65,1442040,847340,401180,193440,935200,718680,103920,112520,506820,128660,297260,80900,British Columbia
