Year,Ownership rate,Total,Single-detached,Apartments,Other dwellings,Owners,Owner-Single-detached,Owner-Apartments,Owner-Other dwellings,Renter,Renter-Single-detached,Renter-Apartments,Renter-Other dwellings,Geo
1976,62,7311100,4059000,2113700,1138400,4504900,3646000,242500,616400,2806200,413100,1871100,522000,Canada
1977,62,7536860,4210160,2119240,1207480,4648640,3773280,228260,647100,2888220,436940,1890900,560380,Canada
1978,62,7762620,4361320,2124780,1276560,4792380,3900560,214020,677800,2970240,460780,1910700,598760,Canada
1979,62,7988380,4512480,2130320,1345640,4936120,4027840,199780,708500,3052260,484620,1930500,637140,Canada
1980,62,8214140,4663640,2135860,1414720,5079860,4155120,185540,739200,3134280,508460,1950300,675520,Canada
1981,62,8439900,4814800,2141400,1483800,5223600,4282400,171300,769900,3216300,532300,1970100,713900,Canada
1982,62,8604140,4911360,2242200,1450660,5328780,4372980,203960,751860,3275360,538320,2038240,698800,Canada
1983,62,8768380,5007920,2343000,1417520,5433960,4463560,236620,733820,3334420,544340,2106380,683700,Canada
1984,62,8932620,5104480,2443800,1384380,5539140,4554140,269280,715780,3393480,550360,2174520,668600,Canada
1985,62,9096860,5201040,2544600,1351240,5644320,4644720,301940,697740,3452540,556380,2242660,653500,Canada
1986,62,9261100,5297600,2645400,1318100,5749500,4735300,334600,679700,3511600,562400,2310800,638400,Canada
1987,62,9463700,5402960,2690620,1370120,5885320,4832160,346600,706640,3578380,570900,2344020,663480,Canada
1988,62,9666300,5508320,2735840,1422140,6021140,4929020,358600,733580,3645160,579400,2377240,688560,Canada
1989,62,9868900,5613680,2781060,1474160,6156960,5025880,370600,760520,3711940,587900,2410460,713640,Canada
1990,62,10071500,5719040,2826280,1526180,6292780,5122740,382600,787460,3778720,596400,2443680,738720,Canada
1991,63,10274100,5824400,2871500,1578200,6428600,5219600,394600,814400,3845500,604900,2476900,763800,Canada
1992,63,10440200,5951660,2965680,1522860,6555500,5332860,416380,806280,3884680,618880,2549300,716580,Canada
1993,63,10606300,6078920,3059860,1467520,6682400,5446120,438160,798160,3923860,632860,2621700,669360,Canada
1994,63,10772400,6206180,3154040,1412180,6809300,5559380,459940,790040,3963040,646840,2694100,622140,Canada
1995,63,10938500,6333440,3248220,1356840,6936200,5672640,481720,781920,4002220,660820,2766500,574920,Canada
1996,64,11104600,6460700,3342400,1301500,7063100,5785900,503500,773800,4041400,674800,2838900,527700,Canada
1997,64,11269000,6529620,3325500,1413900,7219400,5859660,526100,833740,4049520,669960,2799400,580160,Canada
1998,64,11433400,6598540,3308600,1526300,7375700,5933420,548700,893680,4057640,665120,2759900,632620,Canada
1999,65,11597800,6667460,3291700,1638700,7532000,6007180,571300,953620,4065760,660280,2720400,685080,Canada
2000,65,11762200,6736380,3274800,1751100,7688300,6080940,593900,1013560,4073880,655440,2680900,737540,Canada
2001,66,11926600,6805300,3257900,1863500,7844600,6154700,616500,1073500,4082000,650600,2641400,790000,Canada
2002,66,12096680,6849180,3311220,1936380,8023260,6222720,656680,1143920,4073440,626460,2654520,792440,Canada
2003,67,12266760,6893060,3364540,2009260,8201920,6290740,696860,1214340,4064880,602320,2667640,794880,Canada
2004,67,12436840,6936940,3417860,2082140,8380580,6358760,737040,1284760,4056320,578180,2680760,797320,Canada
2005,68,12606920,6980820,3471180,2155020,8559240,6426780,777220,1355180,4047760,554040,2693880,799760,Canada
2006,68,12777000,7024700,3524500,2227900,8737900,6494800,817400,1425600,4039200,529900,2707000,802200,Canada
