Year,Ownership rate,Total,Single-detached,Apartments,Other dwellings,Owners,Owner-Single-detached,Owner-Apartments,Owner-Other dwellings,Renter,Renter-Single-detached,Renter-Apartments,Renter-Other dwellings,Geo
1976,66,331500,222000,72700,36900,219600,198100,4100,17500,111900,23900,68600,19400,Manitoba
1977,66,337460,226400,73540,37600,223140,201700,3760,17760,114320,24700,69780,19820,Manitoba
1978,66,343420,230800,74380,38300,226680,205300,3420,18020,116740,25500,70960,20240,Manitoba
1979,66,349380,235200,75220,39000,230220,208900,3080,18280,119160,26300,72140,20660,Manitoba
1980,66,355340,239600,76060,39700,233760,212500,2740,18540,121580,27100,73320,21080,Manitoba
1981,66,361300,244000,76900,40400,237300,216100,2400,18800,124000,27900,74500,21500,Manitoba
1982,66,367400,248440,79380,39580,241720,220500,3060,18160,125680,27940,76300,21360,Manitoba
1983,66,373500,252880,81860,38760,246140,224900,3720,17520,127360,27980,78100,21220,Manitoba
1984,66,379600,257320,84340,37940,250560,229300,4380,16880,129040,28020,79900,21080,Manitoba
1985,66,385700,261760,86820,37120,254980,233700,5040,16240,130720,28060,81700,20940,Manitoba
1986,66,391800,266200,89300,36300,259400,238100,5700,15600,132400,28100,83500,20800,Manitoba
1987,66,395720,268540,89480,37680,262440,240360,5740,16340,133280,28200,83660,21420,Manitoba
1988,66,399640,270880,89660,39060,265480,242620,5780,17080,134160,28300,83820,22040,Manitoba
1989,66,403560,273220,89840,40440,268520,244880,5820,17820,135040,28400,83980,22660,Manitoba
1990,67,407480,275560,90020,41820,271560,247140,5860,18560,135920,28500,84140,23280,Manitoba
1991,67,411400,277900,90200,43200,274600,249400,5900,19300,136800,28600,84300,23900,Manitoba
1992,67,414580,281100,91740,41660,277560,252300,6380,18880,137020,28880,85340,22780,Manitoba
1993,67,417760,284300,93280,40120,280520,255200,6860,18460,137240,29160,86380,21660,Manitoba
1994,67,420940,287500,94820,38580,283480,258100,7340,18040,137460,29440,87420,20540,Manitoba
1995,68,424120,290700,96360,37040,286440,261000,7820,17620,137680,29720,88460,19420,Manitoba
1996,68,427300,293900,97900,35500,289400,263900,8300,17200,137900,30000,89500,18300,Manitoba
1997,68,430640,295960,97700,37000,293000,266300,8900,17800,137660,29660,88720,19180,Manitoba
1998,68,433980,298020,97500,38500,296600,268700,9500,18400,137420,29320,87940,20060,Manitoba
1999,69,437320,300080,97300,40000,300200,271100,10100,19000,137180,28980,87160,20940,Manitoba
2000,69,440660,302140,97100,41500,303800,273500,10700,19600,136940,28640,86380,21820,Manitoba
2001,69,444000,304200,96900,43000,307400,275900,11300,20200,136700,28300,85600,22700,Manitoba
2002,69,447520,306060,98120,43400,311060,278440,11760,20880,136520,27640,86360,22460,Manitoba
2003,70,451040,307920,99340,43800,314720,280980,12220,21560,136340,26980,87120,22220,Manitoba
2004,70,454560,309780,100560,44200,318380,283520,12680,22240,136160,26320,87880,21980,Manitoba
2005,70,458080,311640,101780,44600,322040,286060,13140,22920,135980,25660,88640,21740,Manitoba
2006,71,461600,313500,103000,45000,325700,288600,13600,23600,135800,25000,89400,21500,Manitoba
2007,71,464240,315920,103080,45160,328740,291140,13820,23840,135420,24860,89260,21400,Manitoba
2008,71,466880,318340,103160,45320,331780,293680,14040,24080,135040,24720,89120,21300,Manitoba
2009,71,469520,320760,103240,45480,334820,296220,14260,24320,134660,24580,88980,21200,Manitoba
2010,72,472160,323180,103320,45640,337860,298760,14480,24560,134280,24440,88840,21100,Manitoba
2011,72,474800,325600,103400,45800,340900,301300,14700,24800,133900,24300,88700,21000,Manitoba
2012,72,480500,329600,104520,46360,345220,305080,14900,25160,135260,24520,89640,21200,Manitoba
2013,72,486200,333600,105640,46920,349540,308860,15100,25520,136620,24740,90580,21400,Manitoba
2014,72,491900,337600,106760,47480,353860,312640,15300,25880,137980,24960,91520,21600,Manitoba
2015,72,497600,341600,107880,48040,358180,316420,15500,26240,139340,25180,92460,21800,Manitoba
2016,72,503300,345600,109000,48600,362500,320200,15700,26600,140700,25400,93400,22000,Manitoba
2017,72,509260,349780,110240,49160,367060,324180,15920,26960,142140,25620,94400,22220,Manitoba
2018,72,515220,353960,111480,49720,371620,328160,16140,27320,143580,25840,95400,22440,Manitoba
2019,72,521180,358140,112720,50280,376180,332140,16360,27680,145020,26060,96400,22660,Manitoba
2020,72,527140,362320,113960,50840,380740,336120,16580,28040,146460,26280,97400,22880,Manitoba
2021,72,533100,366500,115200,51400,385300,340100,16800,28400,147900,26500,98400,23100,Manitoba
2022,72,539280,370640,116680,51980,389800,344000,17080,28740,149560,26720,99600,23320,Manitoba
2023,72,545460,374780,118160,52560,394300,347900,17360,29080,151220,26940,100800,23540,Manitoba
2024,72,551640,378920,119640,53140,398800,351800,17640,29420,152880,27160,102000,23760,Manitoba
2025,72,557820,383060,121120,53720,403300,355700,17920,29760,154540,27380,103200,23980,Manitoba
2026,72,564000,387200,122600,54300,407800,359600,18200,30100,156200,27600,104400,24200,Manitoba
2027,72,570240,391220,124240,54860,412180,363360,18460,30420,158060,27840,105780,24440,Manitoba
2028,72,576480,395240,125880,55420,416560,367120,18720,30740,159920,28080,107160,24680,Manitoba
2029,72,582720,399260,127520,55980,420940,370880,18980,31060,161780,28320,108540,24920,Manitoba
2030,72,588960,403280,129160,56540,425320,374640,19240,31380,163640,28560,109920,25160,Manitoba
2031,72,595200,407300,130800,57100,429700,378400,19500,31700,165500,28800,111300,25400,Manitoba
2032,72,601720,411400,132620,57700,434160,382240,19800,32040,167560,29080,112820,25660,Manitoba
2033,72,608240,415500,134440,58300,438620,386080,20100,32380,169620,29360,114340,25920,Manitoba
2034,72,614760,419600,136260,58900,443080,389920,20400,32720,171680,29640,115860,26180,Manitoba
2035,72,621280,423700,138080,59500,447540,393760,20700,33060,173740,29920,117380,26440,Manitoba
2036,72,627800,427800,139900,60100,452000,397600,21000,33400,175800,30200,118900,26700,Manitoba
