Year,Ownership rate,Total,Single-detached,Apartments,Other dwellings,Owners,Owner-Single-detached,Owner-Apartments,Owner-Other dwellings,Renter,Renter-Single-detached,Renter-Apartments,Renter-Other dwellings,Geo
1976,72,194100,128000,29400,36700,139100,116100,2900,20200,54900,11900,26500,16500,New Brunswick
1977,72,198900,133200,29440,36280,143240,120780,2600,19940,55580,12420,26820,16340,New Brunswick
1978,72,203700,138400,29480,35860,147380,125460,2300,19680,56260,12940,27140,16180,New Brunswick
1979,73,208500,143600,29520,35440,151520,130140,2000,19420,56940,13460,27460,16020,New Brunswick
1980,73,213300,148800,29560,35020,155660,134820,1700,19160,57620,13980,27780,15860,New Brunswick
1981,73,218100,154000,29600,34600,159800,139500,1400,18900,58300,14500,28100,15700,New Brunswick
1982,74,221900,157760,30240,33980,163060,143180,1720,18160,58840,14580,28440,15820,New Brunswick
1983,74,225700,161520,30880,33360,166320,146860,2040,17420,59380,14660,28780,15940,New Brunswick
1984,74,229500,165280,31520,32740,169580,150540,2360,16680,59920,14740,29120,16060,New Brunswick
1985,74,233300,169040,32160,32120,172840,154220,2680,15940,60460,14820,29460,16180,New Brunswick
1986,74,237100,172800,32800,31500,176100,157900,3000,15200,61000,14900,29800,16300,New Brunswick
1987,74,241840,175460,33460,32900,179480,160380,2920,16180,62360,15080,30540,16740,New Brunswick
1988,74,246580,178120,34120,34300,182860,162860,2840,17160,63720,15260,31280,17180,New Brunswick
1989,74,251320,180780,34780,35700,186240,165340,2760,18140,65080,15440,32020,17620,New Brunswick
1990,74,256060,183440,35440,37100,189620,167820,2680,19120,66440,15620,32760,18060,New Brunswick
1991,74,260800,186100,36100,38500,193000,170300,2600,20100,67800,15800,33500,18500,New Brunswick
1992,74,264020,189820,37560,36560,195320,173380,2660,19300,68700,16460,34900,17340,New Brunswick
1993,74,267240,193540,39020,34620,197640,176460,2720,18500,69600,17120,36300,16180,New Brunswick
1994,74,270460,197260,40480,32680,199960,179540,2780,17700,70500,17780,37700,15020,New Brunswick
1995,74,273680,200980,41940,30740,202280,182620,2840,16900,71400,18440,39100,13860,New Brunswick
1996,74,276900,204700,43400,28800,204600,185700,2900,16100,72300,19100,40500,12700,New Brunswick
1997,74,279900,206200,42680,31040,207200,187440,2940,16900,72700,18820,39740,14140,New Brunswick
1998,74,282900,207700,41960,33280,209800,189180,2980,17700,73100,18540,38980,15580,New Brunswick
1999,74,285900,209200,41240,35520,212400,190920,3020,18500,73500,18260,38220,17020,New Brunswick
2000,74,288900,210700,40520,37760,215000,192660,3060,19300,73900,17980,37460,18460,New Brunswick
2001,74,291900,212200,39800,40000,217600,194400,3100,20100,74300,17700,36700,19900,New Brunswick
2002,75,293860,212460,40520,40960,219660,195100,3220,21340,74200,17280,37300,19620,New Brunswick
2003,75,295820,212720,41240,41920,221720,195800,3340,22580,74100,16860,37900,19340,New Brunswick
2004,75,297780,212980,41960,42880,223780,196500,3460,23820,74000,16440,38500,19060,New Brunswick
2005,75,299740,213240,42680,43840,225840,197200,3580,25060,73900,16020,39100,18780,New Brunswick
2006,76,301700,213500,43400,44800,227900,197900,3700,26300,73800,15600,39700,18500,New Brunswick
2007,76,304360,214740,44000,45620,230060,199200,3800,27060,74300,15540,40200,18560,New Brunswick
2008,76,307020,215980,44600,46440,232220,200500,3900,27820,74800,15480,40700,18620,New Brunswick
2009,76,309680,217220,45200,47260,234380,201800,4000,28580,75300,15420,41200,18680,New Brunswick
2010,76,312340,218460,45800,48080,236540,203100,4100,29340,75800,15360,41700,18740,New Brunswick
2011,76,315000,219700,46400,48900,238700,204400,4200,30100,76300,15300,42200,18800,New Brunswick
2012,76,316600,220900,46640,49060,240100,205620,4240,30240,76500,15280,42400,18820,New Brunswick
