Year,Ownership rate,Total,Single-detached,Apartments,Other dwellings,Owners,Owner-Single-detached,Owner-Apartments,Owner-Other dwellings,Renter,Renter-Single-detached,Renter-Apartments,Renter-Other dwellings,Geo
1976,80,133100,96900,8100,28200,107200,90300,1500,15500,25900,6600,6600,12600,Newfoundland and Labrador
1977,80,136600,101140,8220,27320,110020,93780,1260,15060,26580,7360,6960,12180,Newfoundland and Labrador
1978,80,140100,105380,8340,26440,112840,97260,1020,14620,27260,8120,7320,11760,Newfoundland and Labrador
1979,80,143600,109620,8460,25560,115660,100740,780,14180,27940,8880,7680,11340,Newfoundland and Labrador
1980,80,147100,113860,8580,24680,118480,104220,540,13740,28620,9640,8040,10920,Newfoundland and Labrador
1981,80,150600,118100,8700,23800,121300,107700,300,13300,29300,10400,8400,10500,Newfoundland and Labrador
1982,80,152760,119400,8840,24540,122840,109200,440,13200,29920,10180,8400,11320,Newfoundland and Labrador
1983,80,154920,120700,8980,25280,124380,110700,580,13100,30540,9960,8400,12140,Newfoundland and Labrador
1984,80,157080,122000,9120,26020,125920,112200,720,13000,31160,9740,8400,12960,Newfoundland and Labrador
1985,80,159240,123300,9260,26760,127460,113700,860,12900,31780,9520,8400,13780,Newfoundland and Labrador
1986,80,161400,124600,9400,27500,129000,115200,1000,12800,32400,9300,8400,14600,Newfoundland and Labrador
1987,80,164740,126800,9840,28160,131120,117100,1000,13020,33600,9620,8840,15060,Newfoundland and Labrador
1988,79,168080,129000,10280,28820,133240,119000,1000,13240,34800,9940,9280,15520,Newfoundland and Labrador
1989,79,171420,131200,10720,29480,135360,120900,1000,13460,36000,10260,9720,15980,Newfoundland and Labrador
1990,79,174760,133400,11160,30140,137480,122800,1000,13680,37200,10580,10160,16440,Newfoundland and Labrador
1991,78,178100,135600,11600,30800,139600,124700,1000,13900,38400,10900,10600,16900,Newfoundland and Labrador
1992,78,180180,138760,12080,29260,140720,126860,960,12920,39380,11920,11120,16340,Newfoundland and Labrador
1993,78,182260,141920,12560,27720,141840,129020,920,11940,40360,12940,11640,15780,Newfoundland and Labrador
1994,78,184340,145080,13040,26180,142960,131180,880,10960,41340,13960,12160,15220,Newfoundland and Labrador
1995,77,186420,148240,13520,24640,144080,133340,840,9980,42320,14980,12680,14660,Newfoundland and Labrador
1996,77,188500,151400,14000,23100,145200,135500,800,9000,43300,16000,13200,14100,Newfoundland and Labrador
1997,77,189280,150020,13360,25880,146180,134760,900,10600,43100,15340,12460,15280,Newfoundland and Labrador
1998,77,190060,148640,12720,28660,147160,134020,1000,12200,42900,14680,11720,16460,Newfoundland and Labrador
1999,78,190840,147260,12080,31440,148140,133280,1100,13800,42700,14020,10980,17640,Newfoundland and Labrador
2000,78,191620,145880,11440,34220,149120,132540,1200,15400,42500,13360,10240,18820,Newfoundland and Labrador
2001,78,192400,144500,10800,37000,150100,131800,1300,17000,42300,12700,9500,20000,Newfoundland and Labrador
2002,78,193680,144860,10980,37740,151320,132380,1400,17560,42360,12500,9600,20180,Newfoundland and Labrador
2003,78,194960,145220,11160,38480,152540,132960,1500,18120,42420,12300,9700,20360,Newfoundland and Labrador
2004,78,196240,145580,11340,39220,153760,133540,1600,18680,42480,12100,9800,20540,Newfoundland and Labrador
2005,78,197520,145940,11520,39960,154980,134120,1700,19240,42540,11900,9900,20720,Newfoundland and Labrador
