Year,Ownership rate,Total,Single-detached,Apartments,Other dwellings,Owners,Owner-Single-detached,Owner-Apartments,Owner-Other dwellings,Renter,Renter-Single-detached,Renter-Apartments,Renter-Other dwellings,Geo
1976,63,2682200,1517200,740200,424800,1701400,1377700,80100,243600,980800,139500,660100,181200,Ontario
1977,63,2751740,1557760,754540,439440,1743080,1412600,77420,253060,1008660,145160,677120,186380,Ontario
1978,63,2821280,1598320,768880,454080,1784760,1447500,74740,262520,1036520,150820,694140,191560,Ontario
1979,63,2890820,1638880,783220,468720,1826440,1482400,72060,271980,1064380,156480,711160,196740,Ontario
1980,63,2960360,1679440,797560,483360,1868120,1517300,69380,281440,1092240,162140,728180,201920,Ontario
1981,63,3029900,1720000,811900,498000,1909800,1552200,66700,290900,1120100,167800,745200,207100,Ontario
1982,63,3089700,1756320,833240,500140,1949880,1586240,73720,289940,1139800,170100,759520,210200,Ontario
1983,63,3149500,1792640,854580,502280,1989960,1620280,80740,288980,1159500,172400,773840,213300,Ontario
1984,63,3209300,1828960,875920,504420,2030040,1654320,87760,288020,1179200,174700,788160,216400,Ontario
1985,63,3269100,1865280,897260,506560,2070120,1688360,94780,287060,1198900,177000,802480,219500,Ontario
1986,63,3328900,1901600,918600,508700,2110200,1722400,101800,286100,1218600,179300,816800,222600,Ontario
1987,63,3413580,1951660,936620,525320,2164320,1766080,106460,291860,1249200,185640,830160,233480,Ontario
1988,63,3498260,2001720,954640,541940,2218440,1809760,111120,297620,1279800,191980,843520,244360,Ontario
1989,63,3582940,2051780,972660,558560,2272560,1853440,115780,303380,1310400,198320,856880,255240,Ontario
1990,63,3667620,2101840,990680,575180,2326680,1897120,120440,309140,1341000,204660,870240,266120,Ontario
1991,63,3752300,2151900,1008700,591800,2380800,1940800,125100,314900,1371600,211000,883600,277000,Ontario
1992,64,3810700,2189720,1039320,581740,2423740,1977020,129860,316860,1387040,212620,909460,264960,Ontario
1993,64,3869100,2227540,1069940,571680,2466680,2013240,134620,318820,1402480,214240,935320,252920,Ontario
1994,64,3927500,2265360,1100560,561620,2509620,2049460,139380,320780,1417920,215860,961180,240880,Ontario
1995,64,3985900,2303180,1131180,551560,2552560,2085680,144140,322740,1433360,217480,987040,228840,Ontario
1996,64,4044300,2341000,1161800,541500,2595500,2121900,148900,324700,1448800,219100,1012900,216800,Ontario
1997,65,4111420,2380280,1154840,576300,2668520,2162700,157640,348180,1442920,217580,997200,228140,Ontario
