Year,Ownership rate,Total,Single-detached,Apartments,Other dwellings,Owners,Owner-Single-detached,Owner-Apartments,Owner-Other dwellings,Renter,Renter-Single-detached,Renter-Apartments,Renter-Other dwellings,Geo
1976,50,1943400,762600,871700,309100,975000,699800,115400,159900,968400,62800,756400,149200,Quebec
1977,51,1996480,803800,842760,349940,1014760,734980,105560,174300,981720,68820,737280,175620,Quebec
1978,51,2049560,845000,813820,390780,1054520,770160,95720,188700,995040,74840,718160,202040,Quebec
1979,52,2102640,886200,784880,431620,1094280,805340,85880,203100,1008360,80860,699040,228460,Quebec
1980,53,2155720,927400,755940,472460,1134040,840520,76040,217500,1021680,86880,679920,254880,Quebec
1981,53,2208800,968600,727000,513300,1173800,875700,66200,231900,1035000,92900,660800,281300,Quebec
1982,53,2251200,986000,786120,479160,1203600,894640,86200,222760,1047620,91360,699920,256320,Quebec
1983,54,2293600,1003400,845240,445020,1233400,913580,106200,213620,1060240,89820,739040,231340,Quebec
1984,54,2336000,1020800,904360,410880,1263200,932520,126200,204480,1072860,88280,778160,206360,Quebec
1985,54,2378400,1038200,963480,376740,1293000,951460,146200,195340,1085480,86740,817280,181380,Quebec
1986,55,2420800,1055600,1022600,342600,1322800,970400,166200,186200,1098100,85200,856400,156400,Quebec
1987,55,2476120,1084440,1039360,352340,1357280,997400,168720,191160,1118920,87040,870640,161180,Quebec
1988,55,2531440,1113280,1056120,362080,1391760,1024400,171240,196120,1139740,88880,884880,165960,Quebec
1989,55,2586760,1142120,1072880,371820,1426240,1051400,173760,201080,1160560,90720,899120,170740,Quebec
1990,55,2642080,1170960,1089640,381560,1460720,1078400,176280,206040,1181380,92560,913360,175520,Quebec
1991,55,2697400,1199800,1106400,391300,1495200,1105400,178800,211000,1202200,94400,927600,180300,Quebec
1992,59,2729760,1285500,1079540,364800,1605300,1195780,198560,210960,1124480,89720,881000,153840,Quebec
1993,62,2762120,1371200,1052680,338300,1715400,1286160,218320,210920,1046760,85040,834400,127380,Quebec
1994,65,2794480,1456900,1025820,311800,1825500,1376540,238080,210880,969040,80360,787800,100920,Quebec
1995,68,2826840,1542600,998960,285300,1935600,1466920,257840,210840,891320,75680,741200,74460,Quebec
1996,72,2859200,1628300,972100,258800,2045700,1557300,277600,210800,813600,71000,694600,48000,Quebec
1997,71,2894980,1627480,972960,294540,2067100,1555400,281100,230580,827980,72060,691940,63960,Quebec
1998,71,2930760,1626660,973820,330280,2088500,1553500,284600,250360,842360,73120,689280,79920,Quebec
1999,71,2966540,1625840,974680,366020,2109900,1551600,288100,270140,856740,74180,686620,95880,Quebec
2000,71,3002320,1625020,975540,401760,2131300,1549700,291600,289920,871120,75240,683960,111840,Quebec
2001,71,3038100,1624200,976400,437500,2152700,1547800,295100,309700,885500,76300,681300,127800,Quebec
2002,71,3072320,1641340,974020,456960,2193940,1568320,298100,327440,878480,72940,675920,129520,Quebec
2003,72,3106540,1658480,971640,476420,2235180,1588840,301100,345180,871460,69580,670540,131240,Quebec
2004,72,3140760,1675620,969260,495880,2276420,1609360,304100,362920,864440,66220,665160,132960,Quebec
2005,73,3174980,1692760,966880,515340,2317660,1629880,307100,380660,857420,62860,659780,134680,Quebec
2006,74,3209200,1709900,964500,534800,2358900,1650400,310100,398400,850400,59500,654400,136400,Quebec
2007,71,3257580,1683480,1031980,542120,2308760,1617320,301460,389980,948900,66160,730520,152140,Quebec
2008,69,3305960,1657060,1099460,549440,2258620,1584240,292820,381560,1047400,72820,806640,167880,Quebec
2009,66,3354340,1630640,1166940,556760,2208480,1551160,284180,373140,1145900,79480,882760,183620,Quebec
2010,64,3402720,1604220,1234420,564080,2158340,1518080,275540,364720,1244400,86140,958880,199360,Quebec
2011,61,3451100,1577800,1301900,571400,2108200,1485000,266900,356300,1342900,92800,1035000,215100,Quebec
2012,61,3488060,1594020,1316900,577140,2130720,1500320,270460,359940,1357340,93720,1046440,217200,Quebec
2013,61,3525020,1610240,1331900,582880,2153240,1515640,274020,363580,1371780,94640,1057880,219300,Quebec
2014,61,3561980,1626460,1346900,588620,2175760,1530960,277580,367220,1386220,95560,1069320,221400,Quebec
2015,61,3598940,1642680,1361900,594360,2198280,1546280,281140,370860,1400660,96480,1080760,223500,Quebec
2016,61,3635900,1658900,1376900,600100,2220800,1561600,284700,374500,1415100,97400,1092200,225600,Quebec
2017,61,3664340,1671820,1388040,604500,2238920,1573820,287680,377440,1425420,98080,1100360,227060,Quebec
2018,61,3692780,1684740,1399180,608900,2257040,1586040,290660,380380,1435740,98760,1108520,228520,Quebec
2019,61,3721220,1697660,1410320,613300,2275160,1598260,293640,383320,1446060,99440,1116680,229980,Quebec
2020,61,3749660,1710580,1421460,617700,2293280,1610480,296620,386260,1456380,100120,1124840,231440,Quebec
2021,61,3778100,1723500,1432600,622100,2311400,1622700,299600,389200,1466700,100800,1133000,232900,Quebec
2022,61,3800480,1733620,1441500,625440,2325480,1632180,301880,391480,1475020,101440,1139620,233960,Quebec
2023,61,3822860,1743740,1450400,628780,2339560,1641660,304160,393760,1483340,102080,1146240,235020,Quebec
2024,61,3845240,1753860,1459300,632120,2353640,1651140,306440,396040,1491660,102720,1152860,236080,Quebec
2025,61,3867620,1763980,1468200,635460,2367720,1660620,308720,398320,1499980,103360,1159480,237140,Quebec
2026,61,3890000,1774100,1477100,638800,2381800,1670100,311000,400600,1508300,104000,1166100,238200,Quebec
2027,61,3910320,1781800,1486760,641760,2392440,1677140,312840,402380,1517940,104640,1173920,239380,Quebec
2028,61,3930640,1789500,1496420,644720,2403080,1684180,314680,404160,1527580,105280,1181740,240560,Quebec
2029,61,3950960,1797200,1506080,647680,2413720,1691220,316520,405940,1537220,105920,1189560,241740,Quebec
2030,61,3971280,1804900,1515740,650640,2424360,1698260,318360,407720,1546860,106560,1197380,242920,Quebec
2031,61,3991600,1812600,1525400,653600,2435000,1705300,320200,409500,1556500,107200,1205200,244100,Quebec
2032,61,4010280,1818700,1535080,656500,2443880,1710820,321940,411120,1566320,107800,1213140,245380,Quebec
2033,61,4028960,1824800,1544760,659400,2452760,1716340,323680,412740,1576140,108400,1221080,246660,Quebec
2034,61,4047640,1830900,1554440,662300,2461640,1721860,325420,414360,1585960,109000,1229020,247940,Quebec
2035,61,4066320,1837000,1564120,665200,2470520,1727380,327160,415980,1595780,109600,1236960,249220,Quebec
2036,61,4085000,1843100,1573800,668100,2479400,1732900,328900,417600,1605600,110200,1244900,250500,Quebec
