"Number of Households by Tenure (000s) and Ownership Rate (%) - New Brunswick, 1976-2036",,,,,,,,,,,,,,
Headship rate scenario,Total (Owners + Renters),,,,,,Owners,,,,Renters,,,
,Year,Ownership rate,Total,Single-detached,Apartments,Other dwellings,Total,Single-detached,Apartments,Other dwellings,Total,Single-detached,Apartments,Other dwellings
Historical estimates,1976,71.7,194.1,128.0,29.4,36.7,139.1,116.1,2.9,20.2,54.9,11.9,26.5,16.5
,1981,73.3,218.1,154.0,29.6,34.6,159.8,139.5,1.4,18.9,58.3,14.5,28.1,15.7
,1986,74.3,237.1,172.8,32.8,31.5,176.1,157.9,3.0,15.2,61.0,14.9,29.8,16.3
,1991,74.0,260.8,186.1,36.1,38.5,193.0,170.3,2.6,20.1,67.8,15.8,33.5,18.5
,1996,73.9,276.9,204.7,43.4,28.8,204.6,185.7,2.9,16.1,72.3,19.1,40.5,12.7
,2001,74.5,291.9,212.2,39.8,40.0,217.6,194.4,3.1,20.1,74.3,17.7,36.7,19.9
,2006,75.5,301.7,213.5,43.4,44.8,227.9,197.9,3.7,26.3,73.8,15.6,39.7,18.5
,2011,75.8,315.0,219.7,46.4,48.9,238.7,204.4,4.2,30.1,76.3,15.3,42.2,18.8
H/H*,2016,76.0,330.7,230.7,49.0,51.0,251.1,215.1,4.5,31.6,79.5,15.6,44.6,19.4
,2021,76.0,345.1,240.5,51.7,52.8,262.2,224.7,4.7,32.8,82.8,15.8,47.0,20.0
,2026,76.0,356.3,248.2,54.1,54.1,270.7,232.2,4.9,33.6,85.6,16.0,49.1,20.5
,2031,75.8,364.8,253.5,56.4,54.9,276.5,237.5,5.1,34.0,88.2,16.0,51.3,20.9
,2036,75.5,370.8,256.8,58.5,55.5,280.1,240.7,5.2,34.2,90.7,16.1,53.3,21.3
M1/M**,2016,76.1,323.0,225.7,47.6,49.7,245.7,210.5,4.4,30.8,77.3,15.2,43.2,18.9
,2021,76.2,330.3,230.9,48.9,50.4,251.7,215.8,4.5,31.4,78.5,15.1,44.4,19.1
,2026,76.2,334.8,234.0,50.1,50.7,255.2,219.1,4.6,31.5,79.5,14.9,45.5,19.1
,2031,76.1,336.5,234.8,51.2,50.5,256.1,220.1,4.7,31.3,80.4,14.7,46.5,19.1
,2036,75.9,335.2,233.3,51.9,50.0,254.4,218.7,4.7,31.0,80.8,14.5,47.2,19.1
L/L***,2016,76.3,314.2,220.3,45.8,48.2,239.7,205.6,4.2,29.9,74.5,14.7,41.6,18.3
,2021,76.6,314.0,220.6,45.7,47.7,240.4,206.4,4.3,29.7,73.6,14.2,41.4,17.9
,2026,76.7,311.4,219.1,45.6,46.8,238.8,205.3,4.3,29.2,72.6,13.7,41.3,17.6
,2031,76.6,306.2,215.2,45.4,45.5,234.6,202.0,4.2,28.4,71.5,13.2,41.2,17.1
,2036,76.5,297.9,209.0,44.8,44.1,227.8,196.2,4.1,27.4,70.1,12.8,40.7,16.7
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
* Based on high population scenario and High headship scenario,,,,,,,,,,,,,,
** Based on M1 population scenario and Medium headship scenario,,,,,,,,,,,,,,
*** Based on Low population scenario and Low headship scenario,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Source: CMHC (projections) and adapted from Statistics Canada (population projection 2014),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Last Updated: October, 2015",,,,,,,,,,,,,,
© 2016 Canada Mortgage and Housing Corporation,,,,,,,,,,,,,,
