Year,NO OF HOUSEHOLDS,NO OF HOUSEHOLDS_BC,NO OF HOUSEHOLDS_QUEBEC,NO OF HOUSEHOLDS_ONTARIO
1976,7311,851,1943,2682
1977,7537,886,1996,2752
1978,7763,921,2049,2821
1979,7988,955,2103,2891
1980,8214,990,2156,2960
1981,8440,1025,2209,3030
1982,8604,1046,2251,3090
1983,8768,1068,2294,3150
1984,8933,1089,2336,3209
1985,9097,1111,2379,3269
1986,9261,1132,2421,3329
1987,9464,1161,2476,3414
1988,9666,1190,2531,3498
1989,9869,1219,2587,3583
1990,10071,1248,2642,3667
1991,10274,1277,2697,3752
1992,10441,1318,2731,3810
1993,10609,1359,2765,3869
1994,10776,1401,2800,3927
1995,10944,1442,2834,3986
1996,11111,1483,2868,4044
1997,11274,1506,2903,4111
1998,11438,1529,2938,4179
1999,11601,1552,2974,4246
2000,11765,1575,3009,4314
2001,11928,1598,3044,4381
2002,12099,1616,3080,4451
2003,12270,1635,3116,4521
2004,12441,1653,3151,4591
2005,12612,1672,3187,4661
2006,12783,1690,3223,4731
2007,12956,1711,3269,4791
2008,13128,1732,3314,4851
2009,13301,1753,3360,4910
2010,13473,1774,3405,4970
2011,13646,1795,3451,5030
2012,13847,1821,3489,5101
2013,14048,1847,3528,5172
2014,14250,1873,3566,5243
2015,14451,1899,3605,5314
2016,14652,1924,3643,5385
2017,14855,1956,3678,5460
2018,15058,1987,3712,5535
2019,15260,2019,3746,5610
2020,15463,2050,3780,5685
2021,15666,2082,3814,5760
2022,15871,2115,3845,5835
2023,16077,2148,3877,5909
2024,16282,2181,3908,5984
2025,16488,2215,3940,6058
2026,16693,2248,3971,6133
2027,16901,2283,4002,6206
2028,17108,2317,4033,6280
2029,17316,2352,4063,6353
2030,17523,2387,4094,6426
2031,17731,2422,4125,6499
2032,17943,2457,4155,6572
2033,18155,2493,4186,6644
2034,18367,2529,4217,6716
2035,18579,2565,4247,6788
2036,18791,2601,4278,6860
