"Number of Households - Canada (000's), 1976-2036",,,,,,,,
Headship rate scenario,Population growth scenario,,,,,,,
,Year,High growth,Medium growth 1,Medium growth 2,Medium growth 3,Medium growth 4,Medium growth 5,Low growth
Historical estimates,1976,7311,,,,,,
,1981,8440,,,,,,
,1986,9261,,,,,,
,1991,10274,,,,,,
,1996,11111,,,,,,
,2001,11928,,,,,,
,2006,12783,,,,,,
,2011,13646,,,,,,
High,2016,14901,14852,14852,14852,14852,14852,14776
,2021,16110,15894,15894,15895,15895,15894,15631
,2026,17371,16839,16839,16840,16840,16838,16307
,2031,17315,17735,17734,17736,17737,17732,16879
,2036,18513,18600,18598,18602,18604,18595,17362
Medium,2016,14652,14603,14603,14603,14603,14603,14529
,2021,15666,15457,15456,15457,15457,15456,15201
,2026,16693,16236,16235,16237,16237,16235,15725
,2031,17731,16988,16987,16989,16990,16985,16170
,2036,18791,17712,17710,17714,17716,17707,16536
Low,2016,14456,14409,14409,14409,14409,14409,14335
,2021,15308,15105,15104,15105,15105,15104,14856
,2026,16184,15742,15742,15743,15744,15741,15249
,2031,17086,16372,16372,16374,16375,16370,15587
,2036,18007,16976,16974,16978,16980,16971,15852
,,,,,,,,
Source: CMHC (projections) and adapted from Statistics Canada (population projection 2014),,,,,,,,
,,,,,,,,
"Last Updated: October, 2015",,,,,,,,
© 2016 Canada Mortgage and Housing Corporation,,,,,,,,
