"Number of Households - Nova Scotia (000's), 1976-2036",,,,,,,,,
Headship rate scenario,Population growth scenario,,,,,,,,
,Year,High growth,Medium growth 1,Medium growth 2,Medium growth 3,Medium growth 4,Medium growth 5,Low growth,
Historical estimates,1976,245,,,,,,,
,1981,276,,,,,,,
,1986,301,,,,,,,
,1991,330,,,,,,,
,1996,351,,,,,,,
,2001,370,,,,,,,
,2006,386,,,,,,,
,2011,400,,,,,,,
High,2016,417.705,416.943,417.494,417.481,414.581,418.173,415.975,
,2021,436.345,432.942,434.469,434.457,426.209,436.545,429.745,
,2026,451.098,443.69,446.172,446.166,432.412,449.869,437.406,
,2031,462.167,450.16,453.531,453.601,434.177,459.128,440.073,
,2036,470.055,452.722,456.937,457.171,431.743,464.783,438.114,
Medium,2016,409.044,408.301,408.836,408.824,405.991,409.499,407.355,
,2021,420.619,417.349,418.823,418.801,410.873,420.811,414.283,
,2026,429.681,422.662,425.029,425.017,411.921,428.535,416.698,
,2031,436.19,424.907,428.086,428.15,409.822,433.359,415.41,
,2036,440.659,424.486,428.445,428.665,404.825,435.778,410.83,
Low,2016,399.457,398.733,399.255,399.243,396.485,399.895,397.813,
,2021,402.957,399.842,401.246,401.22,393.67,403.138,396.915,
,2026,404.784,398.203,400.429,400.411,388.13,403.709,392.608,
,2031,404.555,394.127,397.076,397.128,380.178,401.945,385.342,
,2036,403.602,388.846,392.473,392.667,370.863,399.167,376.369,
,,,,,,,,,
Source: CMHC (projections) and adapted from Statistics Canada (population projection 2014),,,,,,,,,
,,,,,,,,,
"Last Updated: October, 2015",,,,,,,,,
© 2016 Canada Mortgage and Housing Corporation,,,,,,,,,
