"Number of Households - Saskatchewan (000's), 1976-2036",,,,,,,,,
Headship rate scenario,Population growth scenario,,,,,,,,
,Year,High growth,Medium growth 1,Medium growth 2,Medium growth 3,Medium growth 4,Medium growth 5,Low growth,
Historical estimates,1976,295,,,,,,,
,1981,335,,,,,,,
,1986,365,,,,,,,
,1991,368,,,,,,,
,1996,384,,,,,,,
,2001,388,,,,,,,
,2006,396,,,,,,,
,2011,423,,,,,,,
High,2016,465.47,464.384,462.63,459.337,465.933,471.484,462.734,
,2021,500.301,495.119,489.878,480.408,499.694,516.436,488.963,
,2026,536.709,524.944,515.603,499.38,533.268,562.7,511.948,
,2031,575.736,556.135,542.162,518.3,568.79,612.882,534.644,
,2036,617.063,587.67,568.475,535.756,605.126,666.888,555.74,
Medium,2016,458.591,457.522,455.798,452.561,459.053,464.485,455.901,
,2021,486.866,481.836,476.749,467.578,486.306,502.473,475.873,
,2026,516.915,505.614,496.643,481.073,513.652,541.811,493.148,
,2031,549.444,530.775,517.479,494.771,542.874,584.72,510.332,
,2036,584.123,556.359,538.232,507.344,572.905,631.101,526.23,
Low,2016,455.201,454.147,452.44,449.235,455.67,461.03,452.538,
,2021,479.97,475.023,470.028,461.012,479.453,495.255,469.158,
,2026,506.2,495.175,486.427,471.235,503.08,530.41,483.011,
,2031,533.907,515.839,502.972,481.008,527.644,567.912,496.06,
,2036,563.318,536.652,519.253,489.626,552.685,608.175,507.747,
,,,,,,,,,
Source: CMHC (projections) and adapted from Statistics Canada (population projection 2014),,,,,,,,,
,,,,,,,,,
"Last Updated: October, 2015",,,,,,,,,
© 2016 Canada Mortgage and Housing Corporation,,,,,,,,,
