REF_DATE,Province,Number_of_Households
1976-01,Alberta,586
1976-01,British Columbia,851
1976-01,Manitoba,332
1976-01,New Brunswick,194
1976-01,Newfoundland and Labrador,133
1976-01,Nova Scotia,245
1976-01,Ontario,2682
1976-01,Prince Edward Island,33
1976-01,Quebec,1943
1976-01,Saskatchewan,295
1976-02,Alberta,586
1976-02,British Columbia,851
1976-02,Manitoba,332
1976-02,New Brunswick,194
1976-02,Newfoundland and Labrador,133
1976-02,Nova Scotia,245
1976-02,Ontario,2682
1976-02,Prince Edward Island,33
1976-02,Quebec,1943
1976-02,Saskatchewan,295
1976-03,Alberta,586
1976-03,British Columbia,851
1976-03,Manitoba,332
1976-03,New Brunswick,194
1976-03,Newfoundland and Labrador,133
1976-03,Nova Scotia,245
1976-03,Ontario,2682
1976-03,Prince Edward Island,33
1976-03,Quebec,1943
1976-03,Saskatchewan,295
1976-04,Alberta,586
1976-04,British Columbia,851
1976-04,Manitoba,332
1976-04,New Brunswick,194
1976-04,Newfoundland and Labrador,133
1976-04,Nova Scotia,245
1976-04,Ontario,2682
1976-04,Prince Edward Island,33
1976-04,Quebec,1943
1976-04,Saskatchewan,295
1976-05,Alberta,586
1976-05,British Columbia,851
1976-05,Manitoba,332
1976-05,New Brunswick,194
1976-05,Newfoundland and Labrador,133
1976-05,Nova Scotia,245
1976-05,Ontario,2682
1976-05,Prince Edward Island,33
1976-05,Quebec,1943
1976-05,Saskatchewan,295
1976-06,Alberta,586
1976-06,British Columbia,851
1976-06,Manitoba,332
1976-06,New Brunswick,194
1976-06,Newfoundland and Labrador,133
1976-06,Nova Scotia,245
1976-06,Ontario,2682
1976-06,Prince Edward Island,33
1976-06,Quebec,1943
1976-06,Saskatchewan,295
1976-07,Alberta,586
1976-07,British Columbia,851
1976-07,Manitoba,332
1976-07,New Brunswick,194
1976-07,Newfoundland and Labrador,133
1976-07,Nova Scotia,245
1976-07,Ontario,2682
1976-07,Prince Edward Island,33
1976-07,Quebec,1943
1976-07,Saskatchewan,295
1976-08,Alberta,586
1976-08,British Columbia,851
1976-08,Manitoba,332
1976-08,New Brunswick,194
1976-08,Newfoundland and Labrador,133
1976-08,Nova Scotia,245
1976-08,Ontario,2682
1976-08,Prince Edward Island,33
1976-08,Quebec,1943
1976-08,Saskatchewan,295
1976-09,Alberta,586
1976-09,British Columbia,851
1976-09,Manitoba,332
1976-09,New Brunswick,194
1976-09,Newfoundland and Labrador,133
1976-09,Nova Scotia,245
1976-09,Ontario,2682
1976-09,Prince Edward Island,33
1976-09,Quebec,1943
1976-09,Saskatchewan,295
1976-10,Alberta,586
1976-10,British Columbia,851
1976-10,Manitoba,332
1976-10,New Brunswick,194
1976-10,Newfoundland and Labrador,133
1976-10,Nova Scotia,245
1976-10,Ontario,2682
1976-10,Prince Edward Island,33
1976-10,Quebec,1943
1976-10,Saskatchewan,295
1976-11,Alberta,586
1976-11,British Columbia,851
1976-11,Manitoba,332
1976-11,New Brunswick,194
1976-11,Newfoundland and Labrador,133
1976-11,Nova Scotia,245
1976-11,Ontario,2682
1976-11,Prince Edward Island,33
1976-11,Quebec,1943
1976-11,Saskatchewan,295
1976-12,Alberta,586
1976-12,British Columbia,851
1976-12,Manitoba,332
1976-12,New Brunswick,194
1976-12,Newfoundland and Labrador,133
1976-12,Nova Scotia,245
1976-12,Ontario,2682
1976-12,Prince Edward Island,33
1976-12,Quebec,1943
1976-12,Saskatchewan,295
1977-01,Alberta,624
1977-01,British Columbia,886
1977-01,Manitoba,338
1977-01,New Brunswick,199
1977-01,Newfoundland and Labrador,137
1977-01,Nova Scotia,251
1977-01,Ontario,2752
1977-01,Prince Edward Island,34
1977-01,Quebec,1996
1977-01,Saskatchewan,303
1977-02,Alberta,624
1977-02,British Columbia,886
1977-02,Manitoba,338
1977-02,New Brunswick,199
1977-02,Newfoundland and Labrador,137
1977-02,Nova Scotia,251
1977-02,Ontario,2752
1977-02,Prince Edward Island,34
1977-02,Quebec,1996
1977-02,Saskatchewan,303
1977-03,Alberta,624
1977-03,British Columbia,886
1977-03,Manitoba,338
1977-03,New Brunswick,199
1977-03,Newfoundland and Labrador,137
1977-03,Nova Scotia,251
1977-03,Ontario,2752
1977-03,Prince Edward Island,34
1977-03,Quebec,1996
1977-03,Saskatchewan,303
1977-04,Alberta,624
1977-04,British Columbia,886
1977-04,Manitoba,338
1977-04,New Brunswick,199
1977-04,Newfoundland and Labrador,137
1977-04,Nova Scotia,251
1977-04,Ontario,2752
1977-04,Prince Edward Island,34
1977-04,Quebec,1996
1977-04,Saskatchewan,303
1977-05,Alberta,624
1977-05,British Columbia,886
1977-05,Manitoba,338
1977-05,New Brunswick,199
1977-05,Newfoundland and Labrador,137
1977-05,Nova Scotia,251
