Year,High growth
1976,7311
1977,7537
1978,7763
1979,7988
1980,8214
1981,8440
1982,8604
1983,8768
1984,8933
1985,9097
1986,9261
1987,9464
1988,9666
1989,9869
1990,10071
1991,10274
1992,10441
1993,10609
1994,10776
1995,10944
1996,11111
1997,11274
1998,11438
1999,11601
2000,11765
2001,11928
2002,12099
2003,12270
2004,12441
2005,12612
2006,12783
2007,12956
2008,13128
2009,13301
2010,13473
2011,13646
2012,13847
2013,14048
2014,14250
2015,14451
2016,14652
2017,14855
2018,15058
2019,15260
2020,15463
2021,15666
2022,15871
2023,16077
2024,16282
2025,16488
2026,16693
2027,16901
2028,17108
2029,17316
2030,17523
2031,17731
2032,17943
2033,18155
2034,18367
2035,18579
2036,18791
