REF_DATE,Province,Number_of_Households
1976-01-31,Alberta,586
1976-01-31,British Columbia,851
1976-01-31,Manitoba,332
1976-01-31,New Brunswick,194
1976-01-31,Newfoundland and Labrador,133
1976-01-31,Nova Scotia,245
1976-01-31,Ontario,2682
1976-01-31,Prince Edward Island,33
1976-01-31,Quebec,1943
1976-01-31,Saskatchewan,295
1976-02-29,Alberta,586
1976-02-29,British Columbia,851
1976-02-29,Manitoba,332
1976-02-29,New Brunswick,194
1976-02-29,Newfoundland and Labrador,133
1976-02-29,Nova Scotia,245
1976-02-29,Ontario,2682
1976-02-29,Prince Edward Island,33
1976-02-29,Quebec,1943
1976-02-29,Saskatchewan,295
1976-03-31,Alberta,586
1976-03-31,British Columbia,851
1976-03-31,Manitoba,332
1976-03-31,New Brunswick,194
1976-03-31,Newfoundland and Labrador,133
1976-03-31,Nova Scotia,245
1976-03-31,Ontario,2682
1976-03-31,Prince Edward Island,33
1976-03-31,Quebec,1943
1976-03-31,Saskatchewan,295
1976-04-30,Alberta,586
1976-04-30,British Columbia,851
1976-04-30,Manitoba,332
1976-04-30,New Brunswick,194
1976-04-30,Newfoundland and Labrador,133
1976-04-30,Nova Scotia,245
1976-04-30,Ontario,2682
1976-04-30,Prince Edward Island,33
1976-04-30,Quebec,1943
1976-04-30,Saskatchewan,295
1976-05-31,Alberta,586
1976-05-31,British Columbia,851
1976-05-31,Manitoba,332
1976-05-31,New Brunswick,194
1976-05-31,Newfoundland and Labrador,133
1976-05-31,Nova Scotia,245
1976-05-31,Ontario,2682
1976-05-31,Prince Edward Island,33
1976-05-31,Quebec,1943
1976-05-31,Saskatchewan,295
1976-06-30,Alberta,586
1976-06-30,British Columbia,851
1976-06-30,Manitoba,332
1976-06-30,New Brunswick,194
1976-06-30,Newfoundland and Labrador,133
1976-06-30,Nova Scotia,245
1976-06-30,Ontario,2682
1976-06-30,Prince Edward Island,33
1976-06-30,Quebec,1943
1976-06-30,Saskatchewan,295
1976-07-31,Alberta,586
1976-07-31,British Columbia,851
1976-07-31,Manitoba,332
1976-07-31,New Brunswick,194
1976-07-31,Newfoundland and Labrador,133
1976-07-31,Nova Scotia,245
1976-07-31,Ontario,2682
1976-07-31,Prince Edward Island,33
1976-07-31,Quebec,1943
1976-07-31,Saskatchewan,295
1976-08-31,Alberta,586
1976-08-31,British Columbia,851
1976-08-31,Manitoba,332
1976-08-31,New Brunswick,194
1976-08-31,Newfoundland and Labrador,133
1976-08-31,Nova Scotia,245
1976-08-31,Ontario,2682
1976-08-31,Prince Edward Island,33
1976-08-31,Quebec,1943
1976-08-31,Saskatchewan,295
1976-09-30,Alberta,586
1976-09-30,British Columbia,851
1976-09-30,Manitoba,332
1976-09-30,New Brunswick,194
1976-09-30,Newfoundland and Labrador,133
1976-09-30,Nova Scotia,245
1976-09-30,Ontario,2682
1976-09-30,Prince Edward Island,33
1976-09-30,Quebec,1943
1976-09-30,Saskatchewan,295
1976-10-31,Alberta,586
1976-10-31,British Columbia,851
1976-10-31,Manitoba,332
1976-10-31,New Brunswick,194
1976-10-31,Newfoundland and Labrador,133
1976-10-31,Nova Scotia,245
1976-10-31,Ontario,2682
1976-10-31,Prince Edward Island,33
1976-10-31,Quebec,1943
1976-10-31,Saskatchewan,295
1976-11-30,Alberta,586
1976-11-30,British Columbia,851
1976-11-30,Manitoba,332
1976-11-30,New Brunswick,194
1976-11-30,Newfoundland and Labrador,133
1976-11-30,Nova Scotia,245
1976-11-30,Ontario,2682
1976-11-30,Prince Edward Island,33
1976-11-30,Quebec,1943
1976-11-30,Saskatchewan,295
1976-12-31,Alberta,586
1976-12-31,British Columbia,851
1976-12-31,Manitoba,332
1976-12-31,New Brunswick,194
1976-12-31,Newfoundland and Labrador,133
1976-12-31,Nova Scotia,245
1976-12-31,Ontario,2682
1976-12-31,Prince Edward Island,33
1976-12-31,Quebec,1943
1976-12-31,Saskatchewan,295
1977-01-31,Alberta,624
1977-01-31,British Columbia,886
1977-01-31,Manitoba,338
1977-01-31,New Brunswick,199
1977-01-31,Newfoundland and Labrador,137
1977-01-31,Nova Scotia,251
1977-01-31,Ontario,2752
1977-01-31,Prince Edward Island,34
1977-01-31,Quebec,1996
1977-01-31,Saskatchewan,303
1977-02-28,Alberta,624
1977-02-28,British Columbia,886
1977-02-28,Manitoba,338
1977-02-28,New Brunswick,199
1977-02-28,Newfoundland and Labrador,137
1977-02-28,Nova Scotia,251
1977-02-28,Ontario,2752
1977-02-28,Prince Edward Island,34
1977-02-28,Quebec,1996
1977-02-28,Saskatchewan,303
1977-03-31,Alberta,624
1977-03-31,British Columbia,886
1977-03-31,Manitoba,338
1977-03-31,New Brunswick,199
1977-03-31,Newfoundland and Labrador,137
1977-03-31,Nova Scotia,251
1977-03-31,Ontario,2752
1977-03-31,Prince Edward Island,34
1977-03-31,Quebec,1996
1977-03-31,Saskatchewan,303
1977-04-30,Alberta,624
1977-04-30,British Columbia,886
1977-04-30,Manitoba,338
1977-04-30,New Brunswick,199
1977-04-30,Newfoundland and Labrador,137
1977-04-30,Nova Scotia,251
1977-04-30,Ontario,2752
1977-04-30,Prince Edward Island,34
1977-04-30,Quebec,1996
1977-04-30,Saskatchewan,303
1977-05-31,Alberta,624
1977-05-31,British Columbia,886
1977-05-31,Manitoba,338
1977-05-31,New Brunswick,199
1977-05-31,Newfoundland and Labrador,137
1977-05-31,Nova Scotia,251
1977-05-31,Ontario,2752
1977-05-31,Prince Edward Island,34
1977-05-31,Quebec,1996
1977-05-31,Saskatchewan,303
1977-06-30,Alberta,624
1977-06-30,British Columbia,886
1977-06-30,Manitoba,338
1977-06-30,New Brunswick,199
1977-06-30,Newfoundland and Labrador,137
1977-06-30,Nova Scotia,251
1977-06-30,Ontario,2752
1977-06-30,Prince Edward Island,34
1977-06-30,Quebec,1996
1977-06-30,Saskatchewan,303
1977-07-31,Alberta,624
1977-07-31,British Columbia,886
1977-07-31,Manitoba,338
1977-07-31,New Brunswick,199
1977-07-31,Newfoundland and Labrador,137
1977-07-31,Nova Scotia,251
1977-07-31,Ontario,2752
1977-07-31,Prince Edward Island,34
1977-07-31,Quebec,1996
1977-07-31,Saskatchewan,303
1977-08-31,Alberta,624
1977-08-31,British Columbia,886
1977-08-31,Manitoba,338
1977-08-31,New Brunswick,199
1977-08-31,Newfoundland and Labrador,137
1977-08-31,Nova Scotia,251
1977-08-31,Ontario,2752
1977-08-31,Prince Edward Island,34
1977-08-31,Quebec,1996
1977-08-31,Saskatchewan,303
1977-09-30,Alberta,624
1977-09-30,British Columbia,886
1977-09-30,Manitoba,338
1977-09-30,New Brunswick,199
1977-09-30,Newfoundland and Labrador,137
1977-09-30,Nova Scotia,251
1977-09-30,Ontario,2752
1977-09-30,Prince Edward Island,34
1977-09-30,Quebec,1996
1977-09-30,Saskatchewan,303
1977-10-31,Alberta,624
1977-10-31,British Columbia,886
1977-10-31,Manitoba,338
1977-10-31,New Brunswick,199
1977-10-31,Newfoundland and Labrador,137
1977-10-31,Nova Scotia,251
1977-10-31,Ontario,2752
1977-10-31,Prince Edward Island,34
1977-10-31,Quebec,1996
1977-10-31,Saskatchewan,303
1977-11-30,Alberta,624
1977-11-30,British Columbia,886
1977-11-30,Manitoba,338
1977-11-30,New Brunswick,199
1977-11-30,Newfoundland and Labrador,137
1977-11-30,Nova Scotia,251
1977-11-30,Ontario,2752
1977-11-30,Prince Edward Island,34
1977-11-30,Quebec,1996
1977-11-30,Saskatchewan,303
1977-12-31,Alberta,624
1977-12-31,British Columbia,886
1977-12-31,Manitoba,338
1977-12-31,New Brunswick,199
1977-12-31,Newfoundland and Labrador,137
1977-12-31,Nova Scotia,251
1977-12-31,Ontario,2752
1977-12-31,Prince Edward Island,34
1977-12-31,Quebec,1996
1977-12-31,Saskatchewan,303
1978-01-31,Alberta,662
1978-01-31,British Columbia,921
1978-01-31,Manitoba,344
1978-01-31,New Brunswick,204
1978-01-31,Newfoundland and Labrador,140
1978-01-31,Nova Scotia,257
1978-01-31,Ontario,2821
1978-01-31,Prince Edward Island,35
1978-01-31,Quebec,2049
1978-01-31,Saskatchewan,311
1978-02-28,Alberta,662
1978-02-28,British Columbia,921
1978-02-28,Manitoba,344
1978-02-28,New Brunswick,204
1978-02-28,Newfoundland and Labrador,140
1978-02-28,Nova Scotia,257
1978-02-28,Ontario,2821
1978-02-28,Prince Edward Island,35
1978-02-28,Quebec,2049
1978-02-28,Saskatchewan,311
1978-03-31,Alberta,662
1978-03-31,British Columbia,921
1978-03-31,Manitoba,344
1978-03-31,New Brunswick,204
1978-03-31,Newfoundland and Labrador,140
1978-03-31,Nova Scotia,257
1978-03-31,Ontario,2821
1978-03-31,Prince Edward Island,35
1978-03-31,Quebec,2049
1978-03-31,Saskatchewan,311
1978-04-30,Alberta,662
1978-04-30,British Columbia,921
1978-04-30,Manitoba,344
1978-04-30,New Brunswick,204
1978-04-30,Newfoundland and Labrador,140
1978-04-30,Nova Scotia,257
1978-04-30,Ontario,2821
1978-04-30,Prince Edward Island,35
1978-04-30,Quebec,2049
1978-04-30,Saskatchewan,311
1978-05-31,Alberta,662
1978-05-31,British Columbia,921
1978-05-31,Manitoba,344
1978-05-31,New Brunswick,204
1978-05-31,Newfoundland and Labrador,140
1978-05-31,Nova Scotia,257
1978-05-31,Ontario,2821
1978-05-31,Prince Edward Island,35
1978-05-31,Quebec,2049
1978-05-31,Saskatchewan,311
1978-06-30,Alberta,662
1978-06-30,British Columbia,921
1978-06-30,Manitoba,344
1978-06-30,New Brunswick,204
1978-06-30,Newfoundland and Labrador,140
1978-06-30,Nova Scotia,257
1978-06-30,Ontario,2821
1978-06-30,Prince Edward Island,35
1978-06-30,Quebec,2049
1978-06-30,Saskatchewan,311
1978-07-31,Alberta,662
1978-07-31,British Columbia,921
1978-07-31,Manitoba,344
1978-07-31,New Brunswick,204
1978-07-31,Newfoundland and Labrador,140
1978-07-31,Nova Scotia,257
1978-07-31,Ontario,2821
1978-07-31,Prince Edward Island,35
1978-07-31,Quebec,2049
1978-07-31,Saskatchewan,311
1978-08-31,Alberta,662
1978-08-31,British Columbia,921
1978-08-31,Manitoba,344
1978-08-31,New Brunswick,204
1978-08-31,Newfoundland and Labrador,140
1978-08-31,Nova Scotia,257
1978-08-31,Ontario,2821
1978-08-31,Prince Edward Island,35
1978-08-31,Quebec,2049
1978-08-31,Saskatchewan,311
1978-09-30,Alberta,662
1978-09-30,British Columbia,921
1978-09-30,Manitoba,344
1978-09-30,New Brunswick,204
1978-09-30,Newfoundland and Labrador,140
1978-09-30,Nova Scotia,257
1978-09-30,Ontario,2821
1978-09-30,Prince Edward Island,35
1978-09-30,Quebec,2049
1978-09-30,Saskatchewan,311
1978-10-31,Alberta,662
1978-10-31,British Columbia,921
1978-10-31,Manitoba,344
1978-10-31,New Brunswick,204
1978-10-31,Newfoundland and Labrador,140
1978-10-31,Nova Scotia,257
1978-10-31,Ontario,2821
1978-10-31,Prince Edward Island,35
1978-10-31,Quebec,2049
1978-10-31,Saskatchewan,311
1978-11-30,Alberta,662
1978-11-30,British Columbia,921
1978-11-30,Manitoba,344
1978-11-30,New Brunswick,204
1978-11-30,Newfoundland and Labrador,140
1978-11-30,Nova Scotia,257
1978-11-30,Ontario,2821
1978-11-30,Prince Edward Island,35
1978-11-30,Quebec,2049
1978-11-30,Saskatchewan,311
1978-12-31,Alberta,662
1978-12-31,British Columbia,921
1978-12-31,Manitoba,344
1978-12-31,New Brunswick,204
1978-12-31,Newfoundland and Labrador,140
1978-12-31,Nova Scotia,257
1978-12-31,Ontario,2821
1978-12-31,Prince Edward Island,35
1978-12-31,Quebec,2049
1978-12-31,Saskatchewan,311
1979-01-31,Alberta,701
1979-01-31,British Columbia,955
1979-01-31,Manitoba,349
1979-01-31,New Brunswick,208
1979-01-31,Newfoundland and Labrador,144
1979-01-31,Nova Scotia,264
