REF_DATE,GEO,Housing completions,Housing starts,Housing under construction
1977-01-01,Alberta,18211.0,11477.1,70186.0
1977-01-01,British Columbia,20198.0,16169.0,49689.0
1977-01-01,Canada,133803.0,93062.0,492630.0
1977-01-01,Manitoba,4214.0,5559.1,16727.0
1977-01-01,New Brunswick,3649.0,483.9,6120.0
1977-01-01,Newfoundland and Labrador,3923.0,693.8,7584.0
1977-01-01,Nova Scotia,4814.0,1628.5,14133.0
1977-01-01,Ontario,44344.0,25932.9,198479.0
1977-01-01,Prince Edward Island,198.0,72.2,263.0
1977-01-01,Quebec,26776.0,26460.3,109387.0
1977-01-01,Saskatchewan,7476.0,4356.6,20062.0
1977-02-01,Alberta,8183.521739130435,5285.04347826087,22289.565217391304
1977-02-01,British Columbia,8891.04347826087,6213.48695652174,24517.130434782608
1977-02-01,Canada,9598.565217391304,7141.930434782609,26744.695652173912
1977-02-01,Manitoba,10306.08695652174,8070.373913043479,28972.260869565216
1977-02-01,New Brunswick,11013.608695652174,8998.817391304347,31199.82608695652
1977-02-01,Newfoundland and Labrador,11721.130434782608,9927.260869565216,33427.391304347824
1977-02-01,Nova Scotia,12428.652173913044,10855.704347826086,35654.956521739135
1977-02-01,Ontario,13136.173913043478,11784.147826086955,37882.52173913043
1977-02-01,Prince Edward Island,13843.695652173912,12712.591304347825,40110.08695652174
1977-02-01,Quebec,14551.217391304348,13641.034782608695,42337.65217391304
1977-02-01,Saskatchewan,15258.739130434782,14569.478260869564,44565.21739130435
1977-03-01,Alberta,15966.260869565216,15497.921739130434,46792.782608695656
1977-03-01,British Columbia,16673.782608695652,16426.365217391303,49020.34782608696
1977-03-01,Canada,17381.304347826088,17354.808695652173,51247.913043478264
1977-03-01,Manitoba,18088.82608695652,18283.252173913042,53475.47826086957
1977-03-01,New Brunswick,18796.347826086956,19211.695652173912,55703.04347826087
1977-03-01,Newfoundland and Labrador,19503.869565217392,20140.13913043478,57930.608695652176
1977-03-01,Nova Scotia,20211.391304347824,21068.58260869565,60158.17391304348
1977-03-01,Ontario,20918.91304347826,21997.026086956517,62385.739130434784
1977-03-01,Prince Edward Island,21626.434782608696,22925.46956521739,64613.30434782609
1977-03-01,Quebec,22333.95652173913,23853.913043478256,66840.86956521739
1977-03-01,Saskatchewan,23041.478260869564,24782.35652173913,69068.4347826087
1977-04-01,Alberta,23749.0,25710.8,71296.0
1977-04-01,British Columbia,20291.0,23299.8,50734.0
1977-04-01,Canada,149419.0,175882.4,513342.0
1977-04-01,Manitoba,4516.0,5296.4,17499.0
1977-04-01,New Brunswick,2681.0,3282.9,6714.0
1977-04-01,Newfoundland and Labrador,1723.0,2644.2,8504.0
1977-04-01,Nova Scotia,3216.0,3359.1,14116.0
1977-04-01,Ontario,51337.0,60199.9,206021.0
1977-04-01,Prince Edward Island,133.0,692.9,822.0
1977-04-01,Quebec,35024.0,42971.8,116608.0
1977-04-01,Saskatchewan,6749.0,8167.4,21028.0
1977-05-01,Alberta,7443.260869565217,9189.95652173913,23498.17391304348
1977-05-01,British Columbia,8137.521739130435,10212.51304347826,25968.347826086956
1977-05-01,Canada,8831.782608695652,11235.06956521739,28438.521739130436
1977-05-01,Manitoba,9526.04347826087,12257.626086956521,30908.695652173912
1977-05-01,New Brunswick,10220.304347826088,13280.182608695653,33378.86956521739
1977-05-01,Newfoundland and Labrador,10914.565217391304,14302.739130434784,35849.04347826087
1977-05-01,Nova Scotia,11608.826086956522,15325.295652173914,38319.21739130435
1977-05-01,Ontario,12303.08695652174,16347.852173913045,40789.391304347824
1977-05-01,Prince Edward Island,12997.347826086956,17370.408695652175,43259.56521739131
1977-05-01,Quebec,13691.608695652174,18392.965217391305,45729.739130434784
1977-05-01,Saskatchewan,14385.869565217392,19415.521739130436,48199.913043478264
1977-06-01,Alberta,15080.130434782608,20438.078260869566,50670.08695652174
1977-06-01,British Columbia,15774.391304347826,21460.634782608697,53140.260869565216
1977-06-01,Canada,16468.652173913044,22483.191304347827,55610.434782608696
1977-06-01,Manitoba,17162.91304347826,23505.747826086958,58080.608695652176
1977-06-01,New Brunswick,17857.17391304348,24528.304347826088,60550.782608695656
1977-06-01,Newfoundland and Labrador,18551.434782608696,25550.860869565222,63020.956521739135
1977-06-01,Nova Scotia,19245.695652173912,26573.41739130435,65491.130434782615
1977-06-01,Ontario,19939.95652173913,27595.973913043483,67961.30434782608
1977-06-01,Prince Edward Island,20634.217391304348,28618.53043478261,70431.47826086957
1977-06-01,Quebec,21328.478260869564,29641.086956521744,72901.65217391305
1977-06-01,Saskatchewan,22022.739130434784,30663.64347826087,75371.82608695653
1977-07-01,Alberta,22717.0,31686.2,77842.0
1977-07-01,British Columbia,22190.0,20402.6,48263.0
1977-07-01,Canada,176318.0,184108.6,510899.0
1977-07-01,Manitoba,6255.0,7717.9,18885.0
1977-07-01,New Brunswick,2184.0,3842.5,8331.0
1977-07-01,Newfoundland and Labrador,2578.0,2844.6,6564.0
1977-07-01,Nova Scotia,2582.0,5723.7,17140.0
1977-07-01,Ontario,57668.0,63617.1,211101.0
1977-07-01,Prince Edward Island,456.0,498.7,864.0
1977-07-01,Quebec,53140.0,40944.5,101068.0
1977-07-01,Saskatchewan,6548.0,6574.5,20841.0
1977-08-01,Alberta,7685.826086956522,7645.421739130435,23175.652173913044
1977-08-01,British Columbia,8823.652173913044,8716.34347826087,25510.304347826088
1977-08-01,Canada,9961.478260869564,9787.265217391305,27844.95652173913
1977-08-01,Manitoba,11099.304347826088,10858.186956521738,30179.608695652176
1977-08-01,New Brunswick,12237.130434782608,11929.108695652174,32514.260869565216
1977-08-01,Newfoundland and Labrador,13374.95652173913,13000.03043478261,34848.91304347826
1977-08-01,Nova Scotia,14512.782608695652,14070.952173913043,37183.565217391304
1977-08-01,Ontario,15650.608695652174,15141.873913043479,39518.21739130435
1977-08-01,Prince Edward Island,16788.434782608696,16212.795652173914,41852.86956521739
1977-08-01,Quebec,17926.260869565216,17283.717391304348,44187.52173913043
1977-08-01,Saskatchewan,19064.08695652174,18354.639130434785,46522.17391304348
