REF_DATE,GEO,Housing estimates,VALUE
1948-01,Canada,Housing starts,6678.0
1948-01,Canada,Housing under construction,37529.0
1948-01,Canada,Housing completions,11569.0
1948-01,Quebec,Housing starts,2196.0
1948-01,Quebec,Housing under construction,8346.0
1948-01,Quebec,Housing completions,2887.0
1948-01,Ontario,Housing starts,1803.0
1948-01,Ontario,Housing under construction,15042.0
1948-01,Ontario,Housing completions,4098.0
1948-01,British Columbia,Housing starts,2121.0
1948-01,British Columbia,Housing under construction,6628.0
1948-01,British Columbia,Housing completions,2189.0
1948-04,Canada,Housing starts,33090.0
1948-04,Canada,Housing under construction,52143.0
1948-04,Canada,Housing completions,18959.0
1948-04,Quebec,Housing starts,9432.0
1948-04,Quebec,Housing under construction,13068.0
1948-04,Quebec,Housing completions,4801.0
1948-04,Ontario,Housing starts,10347.0
1948-04,Ontario,Housing under construction,17761.0
1948-04,Ontario,Housing completions,7686.0
1948-04,British Columbia,Housing starts,4133.0
1948-04,British Columbia,Housing under construction,8535.0
1948-04,British Columbia,Housing completions,2354.0
1948-07,Canada,Housing starts,31348.0
1948-07,Canada,Housing under construction,63656.0
1948-07,Canada,Housing completions,19710.0
1948-07,Quebec,Housing starts,7576.0
1948-07,Quebec,Housing under construction,14454.0
1948-07,Quebec,Housing completions,6117.0
1948-07,Ontario,Housing starts,10807.0
1948-07,Ontario,Housing under construction,22429.0
1948-07,Ontario,Housing completions,6104.0
1948-07,British Columbia,Housing starts,3372.0
1948-07,British Columbia,Housing under construction,8584.0
1948-07,British Columbia,Housing completions,3327.0
1948-10,Canada,Housing starts,19078.0
1948-10,Canada,Housing under construction,56456.0
1948-10,Canada,Housing completions,25859.0
1948-10,Quebec,Housing starts,5778.0
1948-10,Quebec,Housing under construction,13848.0
1948-10,Quebec,Housing completions,6366.0
1948-10,Ontario,Housing starts,7019.0
1948-10,Ontario,Housing under construction,21112.0
1948-10,Ontario,Housing completions,8503.0
1948-10,British Columbia,Housing starts,2007.0
1948-10,British Columbia,Housing under construction,7729.0
1948-10,British Columbia,Housing completions,2861.0
1949-01,Canada,Housing starts,8473.0
1949-01,Canada,Housing under construction,46886.0
1949-01,Canada,Housing completions,17860.0
1949-01,Quebec,Housing starts,2545.0
1949-01,Quebec,Housing under construction,11784.0
1949-01,Quebec,Housing completions,4604.0
1949-01,Ontario,Housing starts,3284.0
1949-01,Ontario,Housing under construction,17888.0
1949-01,Ontario,Housing completions,6396.0
1949-01,British Columbia,Housing starts,1569.0
1949-01,British Columbia,Housing under construction,6529.0
1949-01,British Columbia,Housing completions,2769.0
1949-04,Canada,Housing starts,31912.0
1949-04,Canada,Housing under construction,56787.0
1949-04,Canada,Housing completions,22018.0
1949-04,Quebec,Housing starts,8983.0
1949-04,Quebec,Housing under construction,14610.0
1949-04,Quebec,Housing completions,6152.0
1949-04,Ontario,Housing starts,11504.0
1949-04,Ontario,Housing under construction,21740.0
1949-04,Ontario,Housing completions,7663.0
1949-04,British Columbia,Housing starts,2862.0
1949-04,British Columbia,Housing under construction,7254.0
1949-04,British Columbia,Housing completions,2136.0
1949-07,Canada,Housing starts,28212.0
1949-07,Canada,Housing under construction,61115.0
1949-07,Canada,Housing completions,23496.0
1949-07,Quebec,Housing starts,6773.0
1949-07,Quebec,Housing under construction,15523.0
1949-07,Quebec,Housing completions,5780.0
1949-07,Ontario,Housing starts,10446.0
1949-07,Ontario,Housing under construction,23670.0
1949-07,Ontario,Housing completions,8537.0
1949-07,British Columbia,Housing starts,3325.0
1949-07,British Columbia,Housing under construction,7835.0
1949-07,British Columbia,Housing completions,2753.0
1949-10,Canada,Housing starts,21912.0
1949-10,Canada,Housing under construction,58169.0
1949-10,Canada,Housing completions,24859.0
1949-10,Quebec,Housing starts,5895.0
1949-10,Quebec,Housing under construction,14984.0
1949-10,Quebec,Housing completions,6376.0
1949-10,Ontario,Housing starts,8789.0
1949-10,Ontario,Housing under construction,23585.0
1949-10,Ontario,Housing completions,8844.0
1949-10,British Columbia,Housing starts,1946.0
1949-10,British Columbia,Housing under construction,7166.0
1949-10,British Columbia,Housing completions,2614.0
1950-01,Canada,Housing starts,9015.0
1950-01,Canada,Housing under construction,50161.0
1950-01,Canada,Housing completions,17873.0
1950-01,Quebec,Housing starts,3572.0
1950-01,Quebec,Housing under construction,11956.0
1950-01,Quebec,Housing completions,6509.0
1950-01,Ontario,Housing starts,3466.0
1950-01,Ontario,Housing under construction,20922.0
1950-01,Ontario,Housing completions,5770.0
1950-01,British Columbia,Housing starts,916.0
1950-01,British Columbia,Housing under construction,6584.0
1950-01,British Columbia,Housing completions,1471.0
1950-04,Canada,Housing starts,33134.0
1950-04,Canada,Housing under construction,63634.0
1950-04,Canada,Housing completions,18095.0
1950-04,Quebec,Housing starts,11408.0
1950-04,Quebec,Housing under construction,17193.0
1950-04,Quebec,Housing completions,5511.0
1950-04,Ontario,Housing starts,9755.0
1950-04,Ontario,Housing under construction,23320.0
1950-04,Ontario,Housing completions,6479.0
1950-04,British Columbia,Housing starts,2899.0
1950-04,British Columbia,Housing under construction,7566.0
1950-04,British Columbia,Housing completions,1879.0
1950-07,Canada,Housing starts,29796.0
1950-07,Canada,Housing under construction,69957.0
1950-07,Canada,Housing completions,23463.0
1950-07,Quebec,Housing starts,8407.0
1950-07,Quebec,Housing under construction,18488.0
1950-07,Quebec,Housing completions,7052.0
1950-07,Ontario,Housing starts,10601.0
1950-07,Ontario,Housing under construction,25879.0
1950-07,Ontario,Housing completions,8167.0
1950-07,British Columbia,Housing starts,2252.0
1950-07,British Columbia,Housing under construction,6964.0
1950-07,British Columbia,Housing completions,2848.0
1950-10,Canada,Housing starts,20586.0
1950-10,Canada,Housing under construction,60538.0
1950-10,Canada,Housing completions,29584.0
1950-10,Quebec,Housing starts,5128.0
1950-10,Quebec,Housing under construction,15421.0
1950-10,Quebec,Housing completions,8165.0
1950-10,Ontario,Housing starts,9608.0
1950-10,Ontario,Housing under construction,24331.0
1950-10,Ontario,Housing completions,10902.0
1950-10,British Columbia,Housing starts,1469.0
1950-10,British Columbia,Housing under construction,6068.0
1950-10,British Columbia,Housing completions,2362.0
1951-01,Canada,Housing starts,9801.0
1951-01,Canada,Housing under construction,49294.0
1951-01,Canada,Housing completions,19521.0
1951-01,Quebec,Housing starts,2922.0
1951-01,Quebec,Housing under construction,11154.0
1951-01,Quebec,Housing completions,6612.0
1951-01,Ontario,Housing starts,4846.0
1951-01,Ontario,Housing under construction,20702.0
1951-01,Ontario,Housing completions,7887.0
1951-01,British Columbia,Housing starts,1109.0
1951-01,British Columbia,Housing under construction,5116.0
1951-01,British Columbia,Housing completions,1942.0
1951-04,Canada,Housing starts,28664.0
1951-04,Canada,Housing under construction,58615.0
1951-04,Canada,Housing completions,19173.0
1951-04,Quebec,Housing starts,8794.0
1951-04,Quebec,Housing under construction,15133.0
1951-04,Quebec,Housing completions,4874.0
1951-04,Ontario,Housing starts,11354.0
1951-04,Ontario,Housing under construction,23028.0
1951-04,Ontario,Housing completions,9075.0
1951-04,British Columbia,Housing starts,2041.0
1951-04,British Columbia,Housing under construction,5426.0
1951-04,British Columbia,Housing completions,1561.0
1951-07,Canada,Housing starts,19122.0
