REF_DATE,GEO,Housing estimates,VALUE
1977-01-01,Canada,Housing starts,35606.0
1977-02-01,,,47193.666666666664
1977-03-01,,,58781.33333333333
1977-04-01,Canada,Housing starts,70369.0
1977-05-01,,,71000.0
1977-06-01,,,71631.0
1977-07-01,Canada,Housing starts,72262.0
1977-08-01,,,70670.33333333333
1977-09-01,,,69078.66666666667
1977-10-01,Canada,Housing starts,67487.0
1977-11-01,,,60723.666666666664
1977-12-01,,,53960.333333333336
1978-01-01,Canada,Housing starts,47197.0
1978-02-01,,,50499.0
1978-03-01,,,53801.0
1978-04-01,Canada,Housing starts,57103.0
1978-05-01,,,59266.666666666664
1978-06-01,,,61430.333333333336
1978-07-01,Canada,Housing starts,63594.0
1978-08-01,,,62320.333333333336
1978-09-01,,,61046.666666666664
1978-10-01,Canada,Housing starts,59773.0
1978-11-01,,,50523.333333333336
1978-12-01,,,41273.66666666667
1979-01-01,Canada,Housing starts,32024.0
1979-02-01,,,39652.666666666664
1979-03-01,,,47281.333333333336
1979-04-01,Canada,Housing starts,54910.0
1979-05-01,,,54809.0
1979-06-01,,,54708.0
1979-07-01,Canada,Housing starts,54607.0
1979-08-01,,,54907.333333333336
1979-09-01,,,55207.666666666664
1979-10-01,Canada,Housing starts,55508.0
1979-11-01,,,46042.666666666664
1979-12-01,,,36577.33333333333
1980-01-01,Canada,Housing starts,27112.0
1980-02-01,,,31349.666666666668
1980-03-01,,,35587.333333333336
1980-04-01,Canada,Housing starts,39825.0
1980-05-01,,,41816.666666666664
1980-06-01,,,43808.333333333336
1980-07-01,Canada,Housing starts,45800.0
1980-08-01,,,45821.333333333336
1980-09-01,,,45842.666666666664
1980-10-01,Canada,Housing starts,45864.0
1980-11-01,,,40048.0
1980-12-01,,,34232.0
1981-01-01,Canada,Housing starts,28416.0
1981-02-01,,,39036.0
1981-03-01,,,49656.0
1981-04-01,Canada,Housing starts,60276.0
1981-05-01,,,57111.0
1981-06-01,,,53946.0
1981-07-01,Canada,Housing starts,50781.0
1981-08-01,,,46687.333333333336
1981-09-01,,,42593.666666666664
1981-10-01,Canada,Housing starts,38500.0
1981-11-01,,,35776.0
1981-12-01,,,33052.0
1982-01-01,Canada,Housing starts,30328.0
1982-02-01,,,30873.666666666668
1982-03-01,,,31419.333333333332
1982-04-01,Canada,Housing starts,31965.0
1982-05-01,,,30195.666666666668
1982-06-01,,,28426.333333333332
1982-07-01,Canada,Housing starts,26657.0
1982-08-01,,,30074.666666666668
1982-09-01,,,33492.333333333336
1982-10-01,Canada,Housing starts,36910.0
1982-11-01,,,33609.333333333336
1982-12-01,,,30308.666666666668
1983-01-01,Canada,Housing starts,27008.0
1983-02-01,,,39227.333333333336
1983-03-01,,,51446.66666666667
