Period ,,,Single-Detatched,All Others,Total,Canada,,Table 3 ,"Dwelling Starts in Urban Centres and Canada, Seasonally Adjusted at Annual Rates "
2020,January,,"47,833","153,549","201,382","216,278",,,
,February,,"52,166","143,533","195,699","209,974",,,
,March,,"58,069","123,172","181,241","195,130",,,
,April,,"36,606","120,873","157,479","164,633",,,
,May,,"44,586","136,943","181,529","195,075",,,
,June,,"43,195","154,672","197,867","211,972",,,
,July,,"49,193","182,667","231,860","245,132",,,
,August,,"49,065","198,830","247,895","261,483",,,
,September,,"50,830","145,277","196,107","209,033",,,
,October,,"59,057","148,113","207,170","227,108",,,
,November,,"56,544","182,187","238,731","260,374",,,
,December,,"53,264","155,786","209,050","229,350",,,
,,,,,,,,,
2021,January,,"77,436","201,480","278,916","315,504",,,
,February,,"73,398","161,282","234,680","266,984",,,
,March,,"77,009","219,748","296,757","330,115",,,
,April,,"78,763","169,989","248,752","276,024",,,
,May,,"65,835","188,484","254,319","283,960",,,
,June,,"59,997","189,264","249,261","278,340",,,
,July,,"62,405","182,300","244,705","274,067",,,
,August,,"60,097","172,201","232,298","260,965",,,
,September,,"57,400","165,285","222,685","251,038",,,
,October,,"57,616","157,078","214,694","238,125",,,
,November,,"57,467","223,161","280,628","305,512",,,
,December,,"56,289","158,298","214,587","238,405",,,
,,,,,,,,,
2022,January,,"57,558","147,004","204,562","231,400",,,
,February,,"60,019","164,809","224,828","249,045",,,
,March,,"64,516","155,413","219,929","244,026",,,
,April,,"63,642","178,833","242,475","260,121",,,
,May,,"61,684","200,426","262,110","279,721",,,
,June,,"59,915","195,597","255,512","271,926",,,
,July,,"57,883","194,675","252,558","277,735",,,
,August,,"59,320","185,431","244,751","268,657",,,
,September,,"59,277","215,949","275,226","297,724",,,
,October,,"54,810","186,596","241,406","263,716",,,
,November,,"50,658","189,511","240,169","262,770",,,
,December,,"43,879","183,621","227,500","248,296",,,
,,,,,,,,,
2023,January,,"44,637","143,642","188,279","209,469",,,
,February,,"49,007","171,546","220,553","240,767",,,
,March,,"40,933","151,597","192,530","213,399",,,
,April,,"39,897","200,342","240,239","261,256",,,
,May,,"41,799","138,243","180,042","196,334",,,
,June,,"43,052","221,859","264,911","281,060",,,
,July,,"41,030","195,118","236,148","253,166",,,
,August,,"41,667","188,714","230,381","247,309",,,
,September,,"43,332","207,587","250,919","266,281",,,
,October,,"47,576","208,352","255,928","272,162",,,
,November,,"43,873","151,466","195,339","210,678",,,
,December,,"43,073","190,556","233,629","248,006",,,
,,,,,,,,,
2024,January,,"44,096","163,919","208,015","231,158",,,
,February,,"41,387","195,977","237,364","259,921",,,
,March,,"40,764","180,262","221,026","242,296",,,
,April,,"41,135","180,858","221,993","241,565",,,
,May,,"42,589","205,400","247,989","268,069",,,
,June,,"43,269","178,722","221,991","241,407",,,
,July,,"43,426","218,942","262,368","275,534",,,
,August,,"44,269","155,105","199,374","212,923",,,
,September,,"47,222","163,729","210,951","224,089",,,
,October,,"47,444","177,718","225,162","245,151",,,
,November,,"50,286","197,495","247,781","266,955",,,
,December,,"45,461","169,591","215,052","232,492",,,
