Table 3 ,,,,,,,,,,
"Dwelling Starts in Urban Centres and Canada, Seasonally Adjusted at Annual Rates ",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,"Centres 10,000 Population and Over1",,,,,,
,,,,,,,,,,
Period ,,,Single-,All,Total,Other,Canada,,,
,,,Detached,Others,,Areas,,,,
,,,,,,,,,,
,,,,,,,,,,
2021 2,,,"63,487","180,654","244,141","27,057","271,198",,,
2022 2,,,"57,558","183,032","240,590","21,259","261,849",,,
2022,1st Q.,,"59,178","156,726","215,904","20,000","235,904",,,
,2nd Q.,,"61,749","189,109","250,858","17,897","268,755",,,
,3rd Q.,,"59,402","197,909","257,311","22,444","279,755",,,
,4th Q.,,"50,480","190,389","240,869","24,914","265,783",,,
,,,,,,,,,,
2023,1st Q.,,,,,,,,,
,2nd Q.,,,,,,,,,
,3rd Q.,,,,,,,,,
,4th Q.,,,,,,,,,
2022,January,,"57,558","147,004","204,562","26,838","231,400",,,
,February,,"60,019","164,809","224,828","24,217","249,045",,,
,March,,"64,516","155,413","219,929","24,097","244,026",,,
,April,,"63,642","178,833","242,475","17,646","260,121",,,
,May,,"61,684","200,426","262,110","17,611","279,721",,,
,June,,"59,915","195,597","255,512","16,414","271,926",,,
,July,,"57,883","194,675","252,558","25,177","277,735",,,
,August,,"59,320","185,431","244,751","23,906","268,657",,,
,September,,"59,277","215,949","275,226","22,498","297,724",,,
,October,,"54,810","186,596","241,406","22,310","263,716",,,
,November,,"50,658","189,511","240,169","22,601","262,770",,,
,December,,"43,879","183,621","227,500","20,796","248,296",,,
,,,,,,,,,,
2023,January,,"45,224","146,267","191,491","23,874","215,365",,,
,February,,,,,,,,,
,March,,,,,,,,,
,April,,,,,,,,,
,May,,,,,,,,,
,June,,,,,,,,,
,July,,,,,,,,,
,August,,,,,,,,,
,September,,,,,,,,,
,October,,,,,,,,,
,November,,,,,,,,,
,December,,,,,,,,,
1 Data for 2021 and 2022 based on 2016 Census Definitions and data for 2023 based on 2021 Census Definitions.,,,,,,,,,,
2 Data are Actual Dwelling Starts.,,,,,,,,,,
"Source: CMHC Starts and Completion Survey, Market Absorption Survey",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,, ,,,,,
