REF_DATE,GEO,Number_of_Households,Housing completions,Housing starts,Housing under construction,House only NHPI,Land only NHPI,Total (house and land) NHPI
1976-02-01,Alberta,586000,1244.333333,2286.666667,6568.333333,,,
1976-02-01,British Columbia,851000,1948.666667,2268,7323,,,
1976-02-01,Manitoba,332000,482.6666667,603,1779,,,
1976-02-01,New Brunswick,194000,370.6666667,155.3333333,1168,,,
1976-02-01,Newfoundland and Labrador,133000,340,278.3333333,1517.666667,,,
1976-02-01,Ontario,2682000,5361,4522.666667,24256.66667,,,
1976-02-01,Prince Edward Island,33000,99.33333333,45.66666667,50,,,
1976-02-01,Quebec,1943000,2816.333333,3357.333333,10791.66667,,,
1976-02-01,Canada,7294000,13682.66667,14508.33333,58336.66667,,,
1976-03-01,Alberta,586000,1244.333333,2286.666667,6568.333333,,,
1976-03-01,British Columbia,851000,1948.666667,2268,7323,,,
1976-03-01,Manitoba,332000,482.6666667,603,1779,,,
1976-03-01,New Brunswick,194000,370.6666667,155.3333333,1168,,,
1976-03-01,Newfoundland and Labrador,133000,340,278.3333333,1517.666667,,,
1976-03-01,Ontario,2682000,5361,4522.666667,24256.66667,,,
1976-03-01,Prince Edward Island,33000,99.33333333,45.66666667,50,,,
1976-03-01,Quebec,1943000,2816.333333,3357.333333,10791.66667,,,
1976-03-01,Canada,7294000,13682.66667,14508.33333,58336.66667,,,
1976-04-01,Alberta,586000,2931.333333,3413,7038.666667,,,
1976-04-01,British Columbia,851000,2656,3596.333333,8166.666667,,,
1976-04-01,Manitoba,332000,500.3333333,825,2101.333333,,,
1976-04-01,New Brunswick,194000,612.3333333,1037.666667,1592,,,
1976-04-01,Newfoundland and Labrador,133000,513.6666667,541.6666667,1545.333333,,,
1976-04-01,Ontario,2682000,7120.666667,8395.333333,25453,,,
1976-04-01,Prince Edward Island,33000,55.66666667,99.33333333,93.33333333,,,
1976-04-01,Quebec,1943000,4825,7314.666667,13317,,,
1976-04-01,Canada,7294000,21009.33333,26846.66667,63962.33333,,,
1976-05-01,Alberta,586000,2931.333333,3413,7038.666667,,,
1976-05-01,British Columbia,851000,2656,3596.333333,8166.666667,,,
1976-05-01,Manitoba,332000,500.3333333,825,2101.333333,,,
1976-05-01,New Brunswick,194000,612.3333333,1037.666667,1592,,,
1976-05-01,Newfoundland and Labrador,133000,513.6666667,541.6666667,1545.333333,,,
1976-05-01,Ontario,2682000,7120.666667,8395.333333,25453,,,
1976-05-01,Prince Edward Island,33000,55.66666667,99.33333333,93.33333333,,,
1976-05-01,Quebec,1943000,4825,7314.666667,13317,,,
1976-05-01,Canada,7294000,21009.33333,26846.66667,63962.33333,,,
1976-06-01,Alberta,586000,2931.333333,3413,7038.666667,,,
1976-06-01,British Columbia,851000,2656,3596.333333,8166.666667,,,
1976-06-01,Manitoba,332000,500.3333333,825,2101.333333,,,
1976-06-01,New Brunswick,194000,612.3333333,1037.666667,1592,,,
1976-06-01,Newfoundland and Labrador,133000,513.6666667,541.6666667,1545.333333,,,
1976-06-01,Ontario,2682000,7120.666667,8395.333333,25453,,,
1976-06-01,Prince Edward Island,33000,55.66666667,99.33333333,93.33333333,,,
1976-06-01,Quebec,1943000,4825,7314.666667,13317,,,
1976-06-01,Canada,7294000,21009.33333,26846.66667,63962.33333,,,
1976-07-01,Alberta,586000,1972.666667,3484,8624.333333,,,
1976-07-01,British Columbia,851000,3001.666667,3209.333333,8070.333333,,,
1976-07-01,Manitoba,332000,714.3333333,942,2329.666667,,,
1976-07-01,New Brunswick,194000,583,734,1789.333333,,,
1976-07-01,Newfoundland and Labrador,133000,449,595.6666667,1679.333333,,,
1976-07-01,Ontario,2682000,6890,7699.333333,26247,,,
1976-07-01,Prince Edward Island,33000,57.66666667,73,108.3333333,,,
1976-07-01,Quebec,1943000,5430.333333,6777,14208.66667,,,
1976-07-01,Canada,7294000,20654,25639.66667,68256.66667,,,
1976-08-01,Alberta,586000,1972.666667,3484,8624.333333,,,
1976-08-01,British Columbia,851000,3001.666667,3209.333333,8070.333333,,,
1976-08-01,Manitoba,332000,714.3333333,942,2329.666667,,,
1976-08-01,New Brunswick,194000,583,734,1789.333333,,,
1976-08-01,Newfoundland and Labrador,133000,449,595.6666667,1679.333333,,,
1976-08-01,Ontario,2682000,6890,7699.333333,26247,,,
1976-08-01,Prince Edward Island,33000,57.66666667,73,108.3333333,,,
1976-08-01,Quebec,1943000,5430.333333,6777,14208.66667,,,
1976-08-01,Canada,7294000,20654,25639.66667,68256.66667,,,
1976-09-01,Alberta,586000,1972.666667,3484,8624.333333,,,
1976-09-01,British Columbia,851000,3001.666667,3209.333333,8070.333333,,,
