REF_DATE,GEO,House only NHPI,Land only NHPI,Total (house and land) NHPI
1981-01-01,Alberta,,,
1981-01-01,British Columbia,,,
1981-01-01,Canada,36.1,40.6,38.2
1981-01-01,Manitoba,,,
1981-01-01,New Brunswick,,,
1981-01-01,Newfoundland and Labrador,,,
1981-01-01,Nova Scotia,,,
1981-01-01,Ontario,,,
1981-01-01,Prince Edward Island,,,
1981-01-01,Quebec,,,
1981-01-01,Saskatchewan,,,
1981-02-01,Alberta,,,
1981-02-01,British Columbia,,,
1981-02-01,Canada,36.5,41.0,38.7
1981-02-01,Manitoba,,,
1981-02-01,New Brunswick,,,
1981-02-01,Newfoundland and Labrador,,,
1981-02-01,Nova Scotia,,,
1981-02-01,Ontario,,,
1981-02-01,Prince Edward Island,,,
1981-02-01,Quebec,,,
1981-02-01,Saskatchewan,,,
1981-03-01,Alberta,,,
1981-03-01,British Columbia,,,
1981-03-01,Canada,37.3,41.1,39.3
1981-03-01,Manitoba,,,
1981-03-01,New Brunswick,,,
1981-03-01,Newfoundland and Labrador,,,
1981-03-01,Nova Scotia,,,
1981-03-01,Ontario,,,
1981-03-01,Prince Edward Island,,,
1981-03-01,Quebec,,,
1981-03-01,Saskatchewan,,,
1981-04-01,Alberta,,,
1981-04-01,British Columbia,,,
1981-04-01,Canada,38.1,41.2,39.9
1981-04-01,Manitoba,,,
1981-04-01,New Brunswick,,,
1981-04-01,Newfoundland and Labrador,,,
1981-04-01,Nova Scotia,,,
1981-04-01,Ontario,,,
1981-04-01,Prince Edward Island,,,
1981-04-01,Quebec,,,
1981-04-01,Saskatchewan,,,
1981-05-01,Alberta,,,
1981-05-01,British Columbia,,,
1981-05-01,Canada,38.9,41.5,40.6
1981-05-01,Manitoba,,,
1981-05-01,New Brunswick,,,
1981-05-01,Newfoundland and Labrador,,,
1981-05-01,Nova Scotia,,,
1981-05-01,Ontario,,,
1981-05-01,Prince Edward Island,,,
1981-05-01,Quebec,,,
1981-05-01,Saskatchewan,,,
1981-06-01,Alberta,,,
1981-06-01,British Columbia,,,
1981-06-01,Canada,39.1,41.6,40.8
1981-06-01,Manitoba,,,
1981-06-01,New Brunswick,,,
1981-06-01,Newfoundland and Labrador,,,
1981-06-01,Nova Scotia,,,
1981-06-01,Ontario,,,
1981-06-01,Prince Edward Island,,,
1981-06-01,Quebec,,,
1981-06-01,Saskatchewan,,,
1981-07-01,Alberta,,,
1981-07-01,British Columbia,,,
1981-07-01,Canada,39.2,41.6,40.8
1981-07-01,Manitoba,,,
1981-07-01,New Brunswick,,,
1981-07-01,Newfoundland and Labrador,,,
1981-07-01,Nova Scotia,,,
1981-07-01,Ontario,,,
1981-07-01,Prince Edward Island,,,
1981-07-01,Quebec,,,
1981-07-01,Saskatchewan,,,
1981-08-01,Alberta,,,
1981-08-01,British Columbia,,,
1981-08-01,Canada,39.0,41.5,40.6
1981-08-01,Manitoba,,,
1981-08-01,New Brunswick,,,
1981-08-01,Newfoundland and Labrador,,,
1981-08-01,Nova Scotia,,,
