Year,Province,Total PRs,Total TRs,Total Births,Total Deaths,Population Estimate
1991,Alberta,0,0,256630,28902,2587477.25
1991,British Columbia,0,0,273628,47954,3367589.0
1991,Manitoba,0,0,103642,17886,1108239.25
1991,New Brunswick,0,0,56978,10938,744716.5
1991,Newfoundland and Labrador,0,0,42968,7596,578741.75
1991,Northwest Territories including Nunavut,0,0,9812,474,60271.666666666664
1991,Nova Scotia,0,0,72112,14510,914386.5
1991,Ontario,0,0,909316,145834,10409479.0
1991,Prince Edward Island,0,0,11296,2376,130414.75
1991,Quebec,0,0,581654,98242,7054592.0
1991,Saskatchewan,0,0,91862,16196,1002295.5
1991,Unknown province or territory,0,0,0,0,1000942.0
1991,Unknown province or territory of residence,0,0,0,2,1000942.0
1991,Yukon,0,0,3406,228,28682.5
1992,Alberta,0,0,252156,29358,2627162.5
1992,British Columbia,0,0,276856,49230,3459366.25
1992,Manitoba,0,0,99530,17960,1111731.5
1992,New Brunswick,0,0,56320,11218,747417.5
1992,Newfoundland and Labrador,0,0,41496,7596,579729.75
1992,Northwest Territories including Nunavut,0,0,9322,512,579624.0
1992,Nova Scotia,0,0,71352,15088,918981.75
1992,Ontario,0,0,904662,146412,10549809.5
1992,Prince Edward Island,0,0,11094,2228,130861.0
1992,Quebec,0,0,575094,97648,7104605.5
1992,Saskatchewan,0,0,90054,15586,1002730.5
1992,Unknown province or territory,0,0,0,0,1002960.0
1992,Unknown province or territory of residence,0,0,0,0,1002960.0
1992,Yukon,0,0,3174,234,29716.75
1993,Alberta,0,0,241708,30676,2663773.5
1993,British Columbia,0,0,275950,51528,3558490.75
1993,Manitoba,0,0,100274,18598,1116488.75
1993,New Brunswick,0,0,54288,11612,748619.5
1993,Newfoundland and Labrador,0,0,38524,7780,579839.75
1993,Northwest Territories including Nunavut,0,0,9356,520,578194.0
1993,Nova Scotia,0,0,69610,15118,923593.25
1993,Ontario,0,0,888712,151706,10676423.25
1993,Prince Edward Island,0,0,10520,2290,132010.25
1993,Quebec,0,0,554248,103422,7153278.5
1993,Saskatchewan,0,0,85662,16328,1005599.0
1993,Unknown province or territory,0,0,0,0,1007016.0
1993,Unknown province or territory of residence,0,0,0,0,1007016.0
