,Year,Province,Resident Type,Total PRs,Total TRs,Total Births,Total Deaths
0,2015,Alberta,Permanent Residents,1900.0,25500.0,0.0,47692.0
1,2015,Alberta,Permanent Residents,1900.0,25500.0,341428.0,0.0
2,2015,Alberta,Foreign Workers,1900.0,25500.0,0.0,47692.0
3,2015,Alberta,Foreign Workers,1900.0,25500.0,341428.0,0.0
4,2015,Alberta,International Students,1900.0,25500.0,0.0,47692.0
5,2015,Alberta,International Students,1900.0,25500.0,341428.0,0.0
6,2015,British Columbia,Permanent Residents,1910.0,90215.0,0.0,70492.0
7,2015,British Columbia,Permanent Residents,1910.0,90215.0,265610.0,0.0
8,2015,British Columbia,Foreign Workers,1910.0,90215.0,0.0,70492.0
9,2015,British Columbia,Foreign Workers,1910.0,90215.0,265610.0,0.0
10,2015,British Columbia,International Students,1910.0,90215.0,0.0,70492.0
11,2015,British Columbia,International Students,1910.0,90215.0,265610.0,0.0
12,2015,Manitoba,Permanent Residents,715.0,12255.0,0.0,21368.0
13,2015,Manitoba,Permanent Residents,715.0,12255.0,100072.0,0.0
14,2015,Manitoba,Foreign Workers,715.0,12255.0,0.0,21368.0
15,2015,Manitoba,Foreign Workers,715.0,12255.0,100072.0,0.0
16,2015,Manitoba,International Students,715.0,12255.0,0.0,21368.0
17,2015,Manitoba,International Students,715.0,12255.0,100072.0,0.0
18,2015,New Brunswick,Permanent Residents,125.0,4715.0,0.0,14452.0
19,2015,New Brunswick,Permanent Residents,125.0,4715.0,39586.0,0.0
20,2015,New Brunswick,Foreign Workers,125.0,4715.0,0.0,14452.0
21,2015,New Brunswick,Foreign Workers,125.0,4715.0,39586.0,0.0
22,2015,New Brunswick,International Students,125.0,4715.0,0.0,14452.0
23,2015,New Brunswick,International Students,125.0,4715.0,39586.0,0.0
24,2015,Newfoundland and Labrador,Permanent Residents,50.0,3085.0,0.0,10478.0
25,2015,Newfoundland and Labrador,Permanent Residents,50.0,3085.0,26880.0,0.0
26,2015,Newfoundland and Labrador,Foreign Workers,50.0,3085.0,0.0,10478.0
27,2015,Newfoundland and Labrador,Foreign Workers,50.0,3085.0,26880.0,0.0
28,2015,Newfoundland and Labrador,International Students,50.0,3085.0,0.0,10478.0
29,2015,Newfoundland and Labrador,International Students,50.0,3085.0,26880.0,0.0
30,2015,Northwest Territories,Permanent Residents,10.0,50.0,0.0,416.0
31,2015,Northwest Territories,Permanent Residents,10.0,50.0,4100.0,0.0
32,2015,Northwest Territories,Foreign Workers,10.0,50.0,0.0,416.0
33,2015,Northwest Territories,Foreign Workers,10.0,50.0,4100.0,0.0
34,2015,Northwest Territories,International Students,10.0,50.0,0.0,416.0
35,2015,Northwest Territories,International Students,10.0,50.0,4100.0,0.0
36,2015,Nova Scotia,Permanent Residents,130.0,11705.0,0.0,18742.0
37,2015,Nova Scotia,Permanent Residents,130.0,11705.0,49202.0,0.0
38,2015,Nova Scotia,Foreign Workers,130.0,11705.0,0.0,18742.0
39,2015,Nova Scotia,Foreign Workers,130.0,11705.0,49202.0,0.0
40,2015,Nova Scotia,International Students,130.0,11705.0,0.0,18742.0
41,2015,Nova Scotia,International Students,130.0,11705.0,49202.0,0.0
42,2015,Nunavut,Permanent Residents,0.0,5.0,0.0,320.0
43,2015,Nunavut,Permanent Residents,0.0,5.0,5214.0,0.0
44,2015,Nunavut,Foreign Workers,0.0,5.0,0.0,320.0
45,2015,Nunavut,Foreign Workers,0.0,5.0,5214.0,0.0
46,2015,Nunavut,International Students,0.0,5.0,0.0,320.0
47,2015,Nunavut,International Students,0.0,5.0,5214.0,0.0
48,2015,Ontario,Permanent Residents,5320.0,156200.0,0.0,194644.0
49,2015,Ontario,Permanent Residents,5320.0,156200.0,839876.0,0.0
50,2015,Ontario,Foreign Workers,5320.0,156200.0,0.0,194644.0
51,2015,Ontario,Foreign Workers,5320.0,156200.0,839876.0,0.0
52,2015,Ontario,International Students,5320.0,156200.0,0.0,194644.0
53,2015,Ontario,International Students,5320.0,156200.0,839876.0,0.0
54,2015,Prince Edward Island,Permanent Residents,45.0,1640.0,0.0,2522.0
55,2015,Prince Edward Island,Permanent Residents,45.0,1640.0,8072.0,0.0
56,2015,Prince Edward Island,Foreign Workers,45.0,1640.0,0.0,2522.0
57,2015,Prince Edward Island,Foreign Workers,45.0,1640.0,8072.0,0.0
58,2015,Prince Edward Island,International Students,45.0,1640.0,0.0,2522.0
59,2015,Prince Edward Island,International Students,45.0,1640.0,8072.0,0.0
60,2015,Province/territory not stated,Permanent Residents,5.0,290.0,,
61,2015,Province/territory not stated,Foreign Workers,5.0,290.0,,
62,2015,Quebec,Permanent Residents,2090.0,53320.0,0.0,128318.0
63,2015,Quebec,Permanent Residents,2090.0,53320.0,521998.0,0.0
64,2015,Quebec,Foreign Workers,2090.0,53320.0,0.0,128318.0
65,2015,Quebec,Foreign Workers,2090.0,53320.0,521998.0,0.0
66,2015,Quebec,International Students,2090.0,53320.0,0.0,128318.0
67,2015,Quebec,International Students,2090.0,53320.0,521998.0,0.0
68,2015,Saskatchewan,Permanent Residents,605.0,7455.0,0.0,18788.0
69,2015,Saskatchewan,Permanent Residents,605.0,7455.0,91824.0,0.0
70,2015,Saskatchewan,Foreign Workers,605.0,7455.0,0.0,18788.0
71,2015,Saskatchewan,Foreign Workers,605.0,7455.0,91824.0,0.0
72,2015,Saskatchewan,International Students,605.0,7455.0,0.0,18788.0
73,2015,Saskatchewan,International Students,605.0,7455.0,91824.0,0.0
74,2015,Yukon,Permanent Residents,15.0,50.0,0.0,434.0
75,2015,Yukon,Permanent Residents,15.0,50.0,2586.0,0.0
76,2015,Yukon,Foreign Workers,15.0,50.0,0.0,434.0
77,2015,Yukon,Foreign Workers,15.0,50.0,2586.0,0.0
78,2015,Yukon,International Students,15.0,50.0,0.0,434.0
79,2015,Yukon,International Students,15.0,50.0,2586.0,0.0
80,2016,Alberta,Permanent Residents,4685.0,27210.0,0.0,49096.0
81,2016,Alberta,Permanent Residents,4685.0,27210.0,335448.0,0.0
82,2016,Alberta,Foreign Workers,4685.0,27210.0,0.0,49096.0
83,2016,Alberta,Foreign Workers,4685.0,27210.0,335448.0,0.0
84,2016,Alberta,International Students,4685.0,27210.0,0.0,49096.0
85,2016,Alberta,International Students,4685.0,27210.0,335448.0,0.0
86,2016,British Columbia,Permanent Residents,3840.0,103075.0,0.0,73254.0
87,2016,British Columbia,Permanent Residents,3840.0,103075.0,271458.0,0.0
88,2016,British Columbia,Foreign Workers,3840.0,103075.0,0.0,73254.0
89,2016,British Columbia,Foreign Workers,3840.0,103075.0,271458.0,0.0
90,2016,British Columbia,International Students,3840.0,103075.0,0.0,73254.0
91,2016,British Columbia,International Students,3840.0,103075.0,271458.0,0.0
92,2016,Manitoba,Permanent Residents,1185.0,14220.0,0.0,21486.0
93,2016,Manitoba,Permanent Residents,1185.0,14220.0,101344.0,0.0
94,2016,Manitoba,Foreign Workers,1185.0,14220.0,0.0,21486.0
95,2016,Manitoba,Foreign Workers,1185.0,14220.0,101344.0,0.0
96,2016,Manitoba,International Students,1185.0,14220.0,0.0,21486.0
97,2016,Manitoba,International Students,1185.0,14220.0,101344.0,0.0
98,2016,New Brunswick,Permanent Residents,710.0,4765.0,0.0,14330.0
99,2016,New Brunswick,Permanent Residents,710.0,4765.0,39722.0,0.0
100,2016,New Brunswick,Foreign Workers,710.0,4765.0,0.0,14330.0
101,2016,New Brunswick,Foreign Workers,710.0,4765.0,39722.0,0.0
102,2016,New Brunswick,International Students,710.0,4765.0,0.0,14330.0
103,2016,New Brunswick,International Students,710.0,4765.0,39722.0,0.0
104,2016,Newfoundland and Labrador,Permanent Residents,110.0,3495.0,0.0,10004.0
105,2016,Newfoundland and Labrador,Permanent Residents,110.0,3495.0,26696.0,0.0
106,2016,Newfoundland and Labrador,Foreign Workers,110.0,3495.0,0.0,10004.0
107,2016,Newfoundland and Labrador,Foreign Workers,110.0,3495.0,26696.0,0.0
108,2016,Newfoundland and Labrador,International Students,110.0,3495.0,0.0,10004.0
109,2016,Newfoundland and Labrador,International Students,110.0,3495.0,26696.0,0.0
110,2016,Northwest Territories,Permanent Residents,10.0,45.0,0.0,474.0
111,2016,Northwest Territories,Permanent Residents,10.0,45.0,3872.0,0.0
112,2016,Northwest Territories,Foreign Workers,10.0,45.0,0.0,474.0
113,2016,Northwest Territories,Foreign Workers,10.0,45.0,3872.0,0.0
114,2016,Northwest Territories,International Students,10.0,45.0,0.0,474.0
115,2016,Northwest Territories,International Students,10.0,45.0,3872.0,0.0
116,2016,Nova Scotia,Permanent Residents,695.0,12615.0,0.0,17988.0
117,2016,Nova Scotia,Permanent Residents,695.0,12615.0,49838.0,0.0
118,2016,Nova Scotia,Foreign Workers,695.0,12615.0,0.0,17988.0
119,2016,Nova Scotia,Foreign Workers,695.0,12615.0,49838.0,0.0
120,2016,Nova Scotia,International Students,695.0,12615.0,0.0,17988.0
121,2016,Nova Scotia,International Students,695.0,12615.0,49838.0,0.0
122,2016,Nunavut,Permanent Residents,5.0,0.0,0.0,366.0
123,2016,Nunavut,Permanent Residents,5.0,0.0,5492.0,0.0
124,2016,Nunavut,Foreign Workers,5.0,0.0,0.0,366.0
125,2016,Nunavut,Foreign Workers,5.0,0.0,5492.0,0.0
126,2016,Nunavut,International Students,5.0,0.0,0.0,366.0
127,2016,Nunavut,International Students,5.0,0.0,5492.0,0.0
128,2016,Ontario,Permanent Residents,10300.0,191665.0,0.0,198838.0
129,2016,Ontario,Permanent Residents,10300.0,191665.0,847004.0,0.0
130,2016,Ontario,Foreign Workers,10300.0,191665.0,0.0,198838.0
131,2016,Ontario,Foreign Workers,10300.0,191665.0,847004.0,0.0
132,2016,Ontario,International Students,10300.0,191665.0,0.0,198838.0
133,2016,Ontario,International Students,10300.0,191665.0,847004.0,0.0
134,2016,Prince Edward Island,Permanent Residents,145.0,2105.0,0.0,2296.0
135,2016,Prince Edward Island,Permanent Residents,145.0,2105.0,8392.0,0.0
136,2016,Prince Edward Island,Foreign Workers,145.0,2105.0,0.0,2296.0
137,2016,Prince Edward Island,Foreign Workers,145.0,2105.0,8392.0,0.0
138,2016,Prince Edward Island,International Students,145.0,2105.0,0.0,2296.0
139,2016,Prince Edward Island,International Students,145.0,2105.0,8392.0,0.0
140,2016,Province/territory not stated,Permanent Residents,5.0,1040.0,,
141,2016,Province/territory not stated,Foreign Workers,5.0,1040.0,,
142,2016,Quebec,Permanent Residents,4335.0,57795.0,0.0,127030.0
143,2016,Quebec,Permanent Residents,4335.0,57795.0,517672.0,0.0
144,2016,Quebec,Foreign Workers,4335.0,57795.0,0.0,127030.0
145,2016,Quebec,Foreign Workers,4335.0,57795.0,517672.0,0.0
146,2016,Quebec,International Students,4335.0,57795.0,0.0,127030.0
147,2016,Quebec,International Students,4335.0,57795.0,517672.0,0.0
148,2016,Saskatchewan,Permanent Residents,1225.0,8195.0,0.0,18828.0
149,2016,Saskatchewan,Permanent Residents,1225.0,8195.0,93312.0,0.0
150,2016,Saskatchewan,Foreign Workers,1225.0,8195.0,0.0,18828.0
151,2016,Saskatchewan,Foreign Workers,1225.0,8195.0,93312.0,0.0
152,2016,Saskatchewan,International Students,1225.0,8195.0,0.0,18828.0
153,2016,Saskatchewan,International Students,1225.0,8195.0,93312.0,0.0
154,2016,Yukon,Permanent Residents,25.0,95.0,0.0,436.0
