Year,Province,Resident Type,Total PRs,Total TRs
2015,Alberta,Permanent Residents,1900.0,25500.0
2015,Alberta,Foreign Workers,1900.0,25500.0
2015,Alberta,International Students,1900.0,25500.0
2015,British Columbia,Permanent Residents,1910.0,90215.0
2015,British Columbia,Foreign Workers,1910.0,90215.0
2015,British Columbia,International Students,1910.0,90215.0
2015,Manitoba,Permanent Residents,715.0,12255.0
2015,Manitoba,Foreign Workers,715.0,12255.0
2015,Manitoba,International Students,715.0,12255.0
2015,New Brunswick,Permanent Residents,125.0,4715.0
2015,New Brunswick,Foreign Workers,125.0,4715.0
2015,New Brunswick,International Students,125.0,4715.0
2015,Newfoundland and Labrador,Permanent Residents,50.0,3085.0
2015,Newfoundland and Labrador,Foreign Workers,50.0,3085.0
2015,Newfoundland and Labrador,International Students,50.0,3085.0
2015,Northwest Territories,Permanent Residents,10.0,50.0
2015,Northwest Territories,Foreign Workers,10.0,50.0
2015,Northwest Territories,International Students,10.0,50.0
2015,Nova Scotia,Permanent Residents,130.0,11705.0
2015,Nova Scotia,Foreign Workers,130.0,11705.0
2015,Nova Scotia,International Students,130.0,11705.0
2015,Nunavut,Permanent Residents,0.0,5.0
2015,Nunavut,Foreign Workers,0.0,5.0
2015,Nunavut,International Students,0.0,5.0
2015,Ontario,Permanent Residents,5320.0,156200.0
2015,Ontario,Foreign Workers,5320.0,156200.0
2015,Ontario,International Students,5320.0,156200.0
2015,Prince Edward Island,Permanent Residents,45.0,1640.0
2015,Prince Edward Island,Foreign Workers,45.0,1640.0
2015,Prince Edward Island,International Students,45.0,1640.0
2015,Province/territory not stated,Permanent Residents,5.0,290.0
2015,Province/territory not stated,Foreign Workers,5.0,290.0
2015,Quebec,Permanent Residents,2090.0,53320.0
2015,Quebec,Foreign Workers,2090.0,53320.0
2015,Quebec,International Students,2090.0,53320.0
2015,Saskatchewan,Permanent Residents,605.0,7455.0
2015,Saskatchewan,Foreign Workers,605.0,7455.0
2015,Saskatchewan,International Students,605.0,7455.0
2015,Yukon,Permanent Residents,15.0,50.0
2015,Yukon,Foreign Workers,15.0,50.0
2015,Yukon,International Students,15.0,50.0
2016,Alberta,Permanent Residents,4685.0,27210.0
2016,Alberta,Foreign Workers,4685.0,27210.0
2016,Alberta,International Students,4685.0,27210.0
2016,British Columbia,Permanent Residents,3840.0,103075.0
2016,British Columbia,Foreign Workers,3840.0,103075.0
2016,British Columbia,International Students,3840.0,103075.0
2016,Manitoba,Permanent Residents,1185.0,14220.0
2016,Manitoba,Foreign Workers,1185.0,14220.0
2016,Manitoba,International Students,1185.0,14220.0
2016,New Brunswick,Permanent Residents,710.0,4765.0
2016,New Brunswick,Foreign Workers,710.0,4765.0
2016,New Brunswick,International Students,710.0,4765.0
2016,Newfoundland and Labrador,Permanent Residents,110.0,3495.0
2016,Newfoundland and Labrador,Foreign Workers,110.0,3495.0
