Year,Province,Total PRs,Total TRs,Total Births,Total Deaths,Population Estimate,Net Change,Population Growth Rate (%),Immigration Contribution (%),Birth-Death Ratio,Migration Ratio (PRs/TRs)
1991,Alberta,0.0,0.0,128315.0,14451.0,2587477.25,113864.0,0.0,0.0,8.879316310289946,0.0
1991,British Columbia,0.0,0.0,136814.0,23977.0,3367589.0,112837.0,0.0,0.0,5.706051632814781,0.0
1991,Manitoba,0.0,0.0,51821.0,8943.0,1108239.25,42878.0,0.0,0.0,5.794587945879459,0.0
1991,New Brunswick,0.0,0.0,28489.0,5469.0,744716.5,23020.0,0.0,0.0,5.20917900895959,0.0
1991,Newfoundland and Labrador,0.0,0.0,21484.0,3798.0,578741.75,17686.0,0.0,0.0,5.65666140073723,0.0
1991,Northwest Territories including Nunavut,0.0,0.0,4906.0,237.0,60271.666666666664,4669.0,0.0,0.0,20.70042194092827,0.0
1991,Nova Scotia,0.0,0.0,36056.0,7255.0,914386.5,28801.0,0.0,0.0,4.969813921433494,0.0
1991,Ontario,0.0,0.0,454658.0,72917.0,10409479.0,381741.0,0.0,0.0,6.2352812101430395,0.0
1991,Prince Edward Island,0.0,0.0,5648.0,1188.0,130414.75,4460.0,0.0,0.0,4.754208754208754,0.0
1991,Quebec,0.0,0.0,290827.0,49121.0,7054592.0,241706.0,0.0,0.0,5.920624580118483,0.0
1991,Saskatchewan,0.0,0.0,45931.0,8098.0,1002295.5,37833.0,0.0,0.0,5.671894294887626,0.0
1991,Unknown province or territory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991,Unknown province or territory of residence,0.0,0.0,0.0,2.0,0.0,-2.0,0.0,-0.0,0.0,0.0
1991,Yukon,0.0,0.0,1703.0,114.0,28682.5,1589.0,0.0,0.0,14.93859649122807,0.0
1992,Alberta,0.0,0.0,126078.0,14679.0,2627162.5,111399.0,1.5337429536820046,0.0,8.589004700592684,0.0
1992,British Columbia,0.0,0.0,138428.0,24615.0,3459366.25,113813.0,2.725310303602968,0.0,5.623725370708917,0.0
1992,Manitoba,0.0,0.0,49765.0,8980.0,1111731.5,40785.0,0.31511697496726665,0.0,5.541759465478842,0.0
1992,New Brunswick,0.0,0.0,28160.0,5609.0,747417.5,22551.0,0.36268835187618365,0.0,5.020502763415939,0.0
1992,Newfoundland and Labrador,0.0,0.0,20748.0,3798.0,579729.75,16950.0,0.17071517650144585,0.0,5.4628751974723535,0.0
1992,Northwest Territories including Nunavut,0.0,0.0,4661.0,256.0,0.0,4405.0,0.0,0.0,18.20703125,0.0
1992,Nova Scotia,0.0,0.0,35676.0,7544.0,918981.75,28132.0,0.5025500704570751,0.0,4.729056203605515,0.0
1992,Ontario,0.0,0.0,452331.0,73206.0,10549809.5,379125.0,1.3481030126483828,0.0,6.178878780427834,0.0
1992,Prince Edward Island,0.0,0.0,5547.0,1114.0,130861.0,4433.0,0.34217755276915174,0.0,4.979353680430879,0.0
1992,Quebec,0.0,0.0,287547.0,48824.0,7104605.5,238723.0,0.7089495749718733,0.0,5.889460101589382,0.0
1992,Saskatchewan,0.0,0.0,45027.0,7793.0,1002730.5,37234.0,0.043400374440460965,0.0,5.777877582445785,0.0
1992,Unknown province or territory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992,Unknown province or territory of residence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
