,Year,Province,Total PRs,Resident Type,Total TRs
0,2015,Alberta,1900.0,Permanent Residents,
1,2015,British Columbia,1910.0,Permanent Residents,
2,2015,Manitoba,715.0,Permanent Residents,
3,2015,New Brunswick,125.0,Permanent Residents,
4,2015,Newfoundland and Labrador,50.0,Permanent Residents,
5,2015,Northwest Territories,10.0,Permanent Residents,
6,2015,Nova Scotia,130.0,Permanent Residents,
7,2015,Nunavut,0.0,Permanent Residents,
8,2015,Ontario,5320.0,Permanent Residents,
9,2015,Prince Edward Island,45.0,Permanent Residents,
10,2015,Province/territory not stated,5.0,Permanent Residents,
11,2015,Quebec,2090.0,Permanent Residents,
12,2015,Saskatchewan,605.0,Permanent Residents,
13,2015,Yukon,15.0,Permanent Residents,
14,2016,Alberta,4685.0,Permanent Residents,
15,2016,British Columbia,3840.0,Permanent Residents,
16,2016,Manitoba,1185.0,Permanent Residents,
17,2016,New Brunswick,710.0,Permanent Residents,
18,2016,Newfoundland and Labrador,110.0,Permanent Residents,
19,2016,Northwest Territories,10.0,Permanent Residents,
20,2016,Nova Scotia,695.0,Permanent Residents,
21,2016,Nunavut,5.0,Permanent Residents,
22,2016,Ontario,10300.0,Permanent Residents,
23,2016,Prince Edward Island,145.0,Permanent Residents,
24,2016,Province/territory not stated,5.0,Permanent Residents,
25,2016,Quebec,4335.0,Permanent Residents,
26,2016,Saskatchewan,1225.0,Permanent Residents,
27,2016,Yukon,25.0,Permanent Residents,
28,2017,Alberta,4425.0,Permanent Residents,
29,2017,British Columbia,3625.0,Permanent Residents,
30,2017,Manitoba,1105.0,Permanent Residents,
31,2017,New Brunswick,210.0,Permanent Residents,
32,2017,Newfoundland and Labrador,50.0,Permanent Residents,
33,2017,Northwest Territories,40.0,Permanent Residents,
34,2017,Nova Scotia,345.0,Permanent Residents,
35,2017,Nunavut,0.0,Permanent Residents,
36,2017,Ontario,7320.0,Permanent Residents,
37,2017,Prince Edward Island,150.0,Permanent Residents,
38,2017,Province/territory not stated,0.0,Permanent Residents,
39,2017,Quebec,3295.0,Permanent Residents,
40,2017,Saskatchewan,1295.0,Permanent Residents,
41,2017,Yukon,25.0,Permanent Residents,
42,2018,Alberta,3045.0,Permanent Residents,
43,2018,British Columbia,4045.0,Permanent Residents,
44,2018,Manitoba,970.0,Permanent Residents,
45,2018,New Brunswick,285.0,Permanent Residents,
46,2018,Newfoundland and Labrador,65.0,Permanent Residents,
47,2018,Northwest Territories,30.0,Permanent Residents,
48,2018,Nova Scotia,360.0,Permanent Residents,
49,2018,Nunavut,0.0,Permanent Residents,
50,2018,Ontario,10910.0,Permanent Residents,
51,2018,Prince Edward Island,100.0,Permanent Residents,
52,2018,Province/territory not stated,0.0,Permanent Residents,
53,2018,Quebec,2640.0,Permanent Residents,
54,2018,Saskatchewan,1065.0,Permanent Residents,
55,2018,Yukon,30.0,Permanent Residents,
56,2019,Alberta,2550.0,Permanent Residents,
57,2019,British Columbia,2640.0,Permanent Residents,
58,2019,Manitoba,840.0,Permanent Residents,
59,2019,New Brunswick,210.0,Permanent Residents,
60,2019,Newfoundland and Labrador,85.0,Permanent Residents,
61,2019,Northwest Territories,15.0,Permanent Residents,
62,2019,Nova Scotia,370.0,Permanent Residents,
63,2019,Nunavut,0.0,Permanent Residents,
64,2019,Ontario,8530.0,Permanent Residents,
65,2019,Prince Edward Island,135.0,Permanent Residents,
66,2019,Province/territory not stated,0.0,Permanent Residents,
67,2019,Quebec,2475.0,Permanent Residents,
68,2019,Saskatchewan,765.0,Permanent Residents,
69,2019,Yukon,15.0,Permanent Residents,
70,2020,Alberta,2840.0,Permanent Residents,
71,2020,British Columbia,4210.0,Permanent Residents,
72,2020,Manitoba,1050.0,Permanent Residents,
73,2020,New Brunswick,395.0,Permanent Residents,
74,2020,Newfoundland and Labrador,90.0,Permanent Residents,
75,2020,Northwest Territories,5.0,Permanent Residents,
76,2020,Nova Scotia,400.0,Permanent Residents,
77,2020,Nunavut,5.0,Permanent Residents,
78,2020,Ontario,11330.0,Permanent Residents,
79,2020,Prince Edward Island,185.0,Permanent Residents,
80,2020,Province/territory not stated,0.0,Permanent Residents,
81,2020,Quebec,3195.0,Permanent Residents,
82,2020,Saskatchewan,995.0,Permanent Residents,
83,2020,Yukon,20.0,Permanent Residents,
84,2021,Alberta,2670.0,Permanent Residents,
85,2021,British Columbia,3240.0,Permanent Residents,
86,2021,Manitoba,1410.0,Permanent Residents,
87,2021,New Brunswick,260.0,Permanent Residents,
88,2021,Newfoundland and Labrador,45.0,Permanent Residents,
89,2021,Northwest Territories,10.0,Permanent Residents,
90,2021,Nova Scotia,325.0,Permanent Residents,
91,2021,Nunavut,0.0,Permanent Residents,
92,2021,Ontario,11840.0,Permanent Residents,
93,2021,Prince Edward Island,110.0,Permanent Residents,
94,2021,Province/territory not stated,0.0,Permanent Residents,
95,2021,Quebec,3725.0,Permanent Residents,
96,2021,Saskatchewan,1055.0,Permanent Residents,
97,2021,Yukon,10.0,Permanent Residents,
98,2022,Alberta,3370.0,Permanent Residents,
99,2022,British Columbia,6825.0,Permanent Residents,
100,2022,Manitoba,1490.0,Permanent Residents,
101,2022,New Brunswick,600.0,Permanent Residents,
102,2022,Newfoundland and Labrador,195.0,Permanent Residents,
103,2022,Northwest Territories,20.0,Permanent Residents,
104,2022,Nova Scotia,1035.0,Permanent Residents,
105,2022,Nunavut,5.0,Permanent Residents,
106,2022,Ontario,17265.0,Permanent Residents,
107,2022,Prince Edward Island,200.0,Permanent Residents,
108,2022,Province/territory not stated,5.0,Permanent Residents,
109,2022,Quebec,3270.0,Permanent Residents,
110,2022,Saskatchewan,1135.0,Permanent Residents,
111,2022,Yukon,40.0,Permanent Residents,
112,2023,Alberta,5705.0,Permanent Residents,
113,2023,British Columbia,7990.0,Permanent Residents,
114,2023,Manitoba,2795.0,Permanent Residents,
115,2023,New Brunswick,1200.0,Permanent Residents,
116,2023,Newfoundland and Labrador,1085.0,Permanent Residents,
117,2023,Northwest Territories,35.0,Permanent Residents,
118,2023,Nova Scotia,1745.0,Permanent Residents,
119,2023,Nunavut,0.0,Permanent Residents,
120,2023,Ontario,21610.0,Permanent Residents,
121,2023,Prince Edward Island,640.0,Permanent Residents,
122,2023,Province/territory not stated,0.0,Permanent Residents,
123,2023,Quebec,5995.0,Permanent Residents,
