Year,Province,Total Births,Total Deaths
1991,Alberta,0,28902
1991,Alberta,256630,0
1991,British Columbia,0,47954
1991,British Columbia,273628,0
1991,Manitoba,0,17886
1991,Manitoba,103642,0
1991,New Brunswick,0,10938
1991,New Brunswick,56978,0
1991,Newfoundland and Labrador,0,7596
1991,Newfoundland and Labrador,42968,0
1991,Northwest Territories including Nunavut,0,474
1991,Northwest Territories including Nunavut,9812,0
1991,Nova Scotia,0,14510
1991,Nova Scotia,72112,0
1991,Ontario,0,145834
1991,Ontario,909316,0
1991,Prince Edward Island,0,2376
1991,Prince Edward Island,11296,0
1991,Quebec,0,98242
1991,Quebec,581654,0
1991,Saskatchewan,0,16196
1991,Saskatchewan,91862,0
1991,Unknown province or territory,0,0
1991,Unknown province or territory of residence,0,2
1991,Yukon,0,228
1991,Yukon,3406,0
1992,Alberta,0,29358
1992,Alberta,252156,0
1992,British Columbia,0,49230
1992,British Columbia,276856,0
1992,Manitoba,0,17960
1992,Manitoba,99530,0
1992,New Brunswick,0,11218
1992,New Brunswick,56320,0
1992,Newfoundland and Labrador,0,7596
1992,Newfoundland and Labrador,41496,0
1992,Northwest Territories including Nunavut,0,512
1992,Northwest Territories including Nunavut,9322,0
1992,Nova Scotia,0,15088
1992,Nova Scotia,71352,0
1992,Ontario,0,146412
1992,Ontario,904662,0
1992,Prince Edward Island,0,2228
1992,Prince Edward Island,11094,0
1992,Quebec,0,97648
1992,Quebec,575094,0
1992,Saskatchewan,0,15586
1992,Saskatchewan,90054,0
1992,Unknown province or territory,0,0
1992,Unknown province or territory of residence,0,0
1992,Yukon,0,234
1992,Yukon,3174,0
1993,Alberta,0,30676
1993,Alberta,241708,0
1993,British Columbia,0,51528
1993,British Columbia,275950,0
1993,Manitoba,0,18598
1993,Manitoba,100274,0
1993,New Brunswick,0,11612
1993,New Brunswick,54288,0
1993,Newfoundland and Labrador,0,7780
1993,Newfoundland and Labrador,38524,0
1993,Northwest Territories including Nunavut,0,520
1993,Northwest Territories including Nunavut,9356,0
1993,Nova Scotia,0,15118
1993,Nova Scotia,69610,0
1993,Ontario,0,151706
1993,Ontario,888712,0
1993,Prince Edward Island,0,2290
1993,Prince Edward Island,10520,0
1993,Quebec,0,103422
1993,Quebec,554248,0
1993,Saskatchewan,0,16328
1993,Saskatchewan,85662,0
1993,Unknown province or territory,0,0
1993,Unknown province or territory of residence,0,0
1993,Yukon,0,246
1993,Yukon,3046,0
1994,Alberta,0,31226
1994,Alberta,238700,0
1994,British Columbia,0,51878
1994,British Columbia,281520,0
1994,Manitoba,0,18296
1994,Manitoba,98836,0
1994,New Brunswick,0,11834
1994,New Brunswick,53870,0
1994,Newfoundland and Labrador,0,8100
1994,Newfoundland and Labrador,38014,0
1994,Northwest Territories including Nunavut,0,482
1994,Northwest Territories including Nunavut,9472,0
1994,Nova Scotia,0,15540
1994,Nova Scotia,66882,0
1994,Ontario,0,154974
1994,Ontario,887230,0
1994,Prince Edward Island,0,2228
1994,Prince Edward Island,10288,0
1994,Quebec,0,102730
1994,Quebec,543318,0
1994,Saskatchewan,0,16616
1994,Saskatchewan,84266,0
1994,Unknown province or territory,12,0
1994,Unknown province or territory of residence,0,2
1994,Yukon,0,248
1994,Yukon,2650,0
1995,Alberta,0,31790
1995,Alberta,233448,0
1995,British Columbia,0,52750
1995,British Columbia,280526,0
1995,Manitoba,0,19316
1995,Manitoba,96678,0
1995,New Brunswick,0,11876
1995,New Brunswick,51382,0
1995,Newfoundland and Labrador,0,7870
1995,Newfoundland and Labrador,35136,0
1995,Northwest Territories including Nunavut,0,454
1995,Northwest Territories including Nunavut,9674,0
1995,Nova Scotia,0,15374
1995,Nova Scotia,64792,0
1995,Ontario,0,156958
1995,Ontario,879386,0
1995,Prince Edward Island,0,2306
1995,Prince Edward Island,10514,0
1995,Quebec,0,105468
1995,Quebec,524208,0
1995,Saskatchewan,0,16990
1995,Saskatchewan,81016,0
1995,Unknown province or territory,0,0
1995,Unknown province or territory of residence,0,0
1995,Yukon,0,314
1995,Yukon,2816,0
1996,Alberta,0,32782
1996,Alberta,227096,0
1996,British Columbia,0,55072
1996,British Columbia,276536,0
1996,Manitoba,0,18994
1996,Manitoba,92856,0
1996,New Brunswick,0,11792
1996,New Brunswick,49056,0
1996,Newfoundland and Labrador,0,7856
1996,Newfoundland and Labrador,34472,0
