Province,Year,Foreign_Workers,International_Students,Permanent_Residents
Alberta,2015.0,,,
Barrie,2015.0,,975.0,
Belleville,2015.0,,510.0,
Brantford,2015.0,,180.0,
British Columbia,2015.0,,,
Brockville,2015.0,0.0,90.0,
Centre Wellington,2015.0,0.0,10.0,
Chatham-Kent,2015.0,0.0,15.0,
Cobourg,2015.0,0.0,,
Collingwood,2015.0,,20.0,
Cornwall,2015.0,0.0,30.0,
Elliot Lake,2015.0,0.0,,
Essa,2015.0,0.0,,
Greater Sudbury,2015.0,,895.0,
Hamilton,2015.0,20.0,,
Hawkesbury (Ontario part),2015.0,0.0,,
Ingersoll,2015.0,0.0,,
Kawartha Lakes,2015.0,,30.0,
Kenora,2015.0,0.0,,
Kingston,2015.0,,645.0,
Kitchener - Cambridge - Waterloo,2015.0,15.0,,
London,2015.0,10.0,,
Manitoba,2015.0,,,
Midland,2015.0,0.0,10.0,
New Brunswick,2015.0,,,
Newfoundland and Labrador,2015.0,,,
Norfolk,2015.0,0.0,20.0,
North Bay,2015.0,0.0,210.0,
Northwest Territories,2015.0,,,
Nova Scotia,2015.0,,,
Nunavut,2015.0,,,
Ontario,2015.0,,,
Orillia,2015.0,0.0,25.0,
Other - Ontario,2015.0,10.0,,
Ottawa - Gatineau (Ontario part),2015.0,40.0,,
Owen Sound,2015.0,0.0,15.0,
Pembroke,2015.0,0.0,10.0,
Petawawa,2015.0,0.0,,
Port Hope,2015.0,0.0,100.0,
Prince Edward Island,2015.0,,,
Quebec,2015.0,,,
Sarnia,2015.0,,660.0,
Saskatchewan,2015.0,,,
Sault Ste. Marie,2015.0,0.0,375.0,
Stratford,2015.0,0.0,20.0,
Thunder Bay,2015.0,,735.0,
Tillsonburg,2015.0,0.0,,
Timmins,2015.0,0.0,20.0,
Toronto,2015.0,290.0,,
Wasaga Beach,2015.0,0.0,,
Windsor,2015.0,10.0,,
Woodstock,2015.0,0.0,5.0,
Yukon,2015.0,,,
Alberta,2016.0,,,
Barrie,2016.0,25.0,,
Belleville,2016.0,,520.0,
Brantford,2016.0,,260.0,
British Columbia,2016.0,,,
Brockville,2016.0,0.0,140.0,
Centre Wellington,2016.0,,5.0,
Chatham-Kent,2016.0,,40.0,
Cobourg,2016.0,0.0,10.0,
Collingwood,2016.0,,25.0,
Cornwall,2016.0,,250.0,
Elliot Lake,2016.0,0.0,,
Essa,2016.0,0.0,,
