REF_DATE,GEO,DGUID,"Census metropolitan areas and census agglomerations, by population centres and rural areas (718)",Coordinate,"Population and land area (2): Population, 2021 [1]",Symbols,"Population and land area (2): Land area in square kilometres, 2021 [2]",Symbols
2021,Canada,2021A000011124,"Abbotsford - Mission, British Columbia (CMA)",1.1,195726,,606.72,
2021,Canada,2021A000011124,Abbotsford (Large urban population centre),1.2,132300,,71.2,
2021,Canada,2021A000011124,Mission (Medium population centre),1.3,36193,,27.23,
2021,Canada,2021A000011124,Aldergrove East (Small population centre),1.4,4496,,2.55,
2021,Canada,2021A000011124,Rural area,1.5,22737,,505.74,
2021,Canada,2021A000011124,"Alma, Quebec (CA)",1.6,30331,,194.92,
2021,Canada,2021A000011124,Alma (Small population centre),1.7,20274,,15.94,
2021,Canada,2021A000011124,Rural area,1.8,10057,,178.99,
2021,Canada,2021A000011124,"Amos, Quebec (CA)",1.9,18873,,2298.16,
2021,Canada,2021A000011124,Amos (Small population centre),1.1,9281,,8.43,
2021,Canada,2021A000011124,Rural area,1.11,9592,,2289.73,
2021,Canada,2021A000011124,"Baie-Comeau, Quebec (CA)",1.12,26643,,682.89,
2021,Canada,2021A000011124,Baie-Comeau (Small population centre),1.13,9100,,11.28,
2021,Canada,2021A000011124,Hauterive (Small population centre),1.14,11147,,8.67,
2021,Canada,2021A000011124,Rural area,1.15,6396,,662.94,
2021,Canada,2021A000011124,"Barrie, Ontario (CMA)",1.16,212856,,897.26,
2021,Canada,2021A000011124,Barrie (Large urban population centre),1.17,154676,,95.33,
2021,Canada,2021A000011124,Big Bay Point (Small population centre),1.18,1670,,2.63,
2021,Canada,2021A000011124,Cookstown (Small population centre),1.19,1647,,1.14,
2021,Canada,2021A000011124,Elmvale (Small population centre),1.2,2520,,1.98,
2021,Canada,2021A000011124,Innisfil (Small population centre),1.21,29464,,23.71,
2021,Canada,2021A000011124,Rural area,1.22,22879,,772.47,
2021,Canada,2021A000011124,"Bathurst, New Brunswick (CA)",1.23,31387,,2100.05,
2021,Canada,2021A000011124,Bathurst (Small population centre),1.24,15985,,27.92,
2021,Canada,2021A000011124,Rural area,1.25,15402,,2072.13,
2021,Canada,2021A000011124,"Belleville - Quinte West, Ontario (CMA)",1.26,111184,,1337.5,
2021,Canada,2021A000011124,Belleville (Medium population centre),1.27,75052,,89.48,
2021,Canada,2021A000011124,Frankford (Small population centre),1.28,3079,,2.91,
2021,Canada,2021A000011124,Stirling (Small population centre),1.29,2074,,3.03,
2021,Canada,2021A000011124,Rural area,1.3,30979,,1242.07,
2021,Canada,2021A000011124,"Brandon, Manitoba (CA)",1.31,54268,,1232.81,
2021,Canada,2021A000011124,Brandon (Medium population centre),1.32,50532,,28.73,
2021,Canada,2021A000011124,Rural area,1.33,3736,,1204.09,
2021,Canada,2021A000011124,"Brantford, Ontario (CMA)",1.34,144162,,1074,
2021,Canada,2021A000011124,Brantford (Large urban population centre),1.35,104413,,62.13,
2021,Canada,2021A000011124,Burford (Small population centre),1.36,1058,,2.01,
2021,Canada,2021A000011124,Paris (Small population centre),1.37,14956,,13.55,
2021,Canada,2021A000011124,St. George (Small population centre),1.38,3354,,2.97,
2021,Canada,2021A000011124,Rural area,1.39,20381,,993.34,
2021,Canada,2021A000011124,"Brockville, Ontario (CA)",1.4,31661,,576.87,
2021,Canada,2021A000011124,Brockville (Small population centre),1.41,22293,,18.7,
2021,Canada,2021A000011124,Rural area,1.42,9368,,558.17,
2021,Canada,2021A000011124,"Brooks, Alberta (CA)",1.43,14924,,18.21,
2021,Canada,2021A000011124,Brooks (Small population centre),1.44,14904,,12.78,
2021,Canada,2021A000011124,Rural area,1.45,20,,5.43,
2021,Canada,2021A000011124,"Calgary, Alberta (CMA)",1.46,1481806,,5098.68,
2021,Canada,2021A000011124,Calgary (Large urban population centre),1.47,1305550,,621.72,
2021,Canada,2021A000011124,Airdrie (Medium population centre),1.48,73578,,33.03,
2021,Canada,2021A000011124,Cochrane (Medium population centre),1.49,31638,,23.71,
2021,Canada,2021A000011124,Chestermere (Small population centre),1.5,21425,,8.99,
2021,Canada,2021A000011124,Crossfield (Small population centre),1.51,3579,,3.99,
2021,Canada,2021A000011124,Irricana (Small population centre),1.52,1135,,1.14,
2021,Canada,2021A000011124,Langdon (Small population centre),1.53,5193,,4.32,
2021,Canada,2021A000011124,Rural area,1.54,39708,,4401.78,
2021,Canada,2021A000011124,"Campbell River, British Columbia (CA)",1.55,40704,,1734.05,
2021,Canada,2021A000011124,Campbell River (Medium population centre),1.56,38108,,33,
