,REF_DATE,GEO,Total_Births,Total_Deaths
0,1991,"Alberta, place of residence of mother",257529.4,
1,1991,"British Columbia, place of residence of mother",274527.7,
2,1991,"Canada, place of residence of mother",2414200.9,
3,1991,"Manitoba, place of residence of mother",104541.5,
4,1991,"New Brunswick, place of residence of mother",57877.9,
5,1991,"Newfoundland and Labrador, place of residence of mother",43867.6,
6,1991,"Northwest Territories including Nunavut, place of residence of mother",10710.9,
7,1991,"Nova Scotia, place of residence of mother",73011.6,
8,1991,"Ontario, place of residence of mother",910208.7,
9,1991,"Prince Edward Island, place of residence of mother",12194.8,
10,1991,"Quebec, place of residence of mother",582550.3,
11,1991,"Saskatchewan, place of residence of mother",92761.3,
12,1991,"Unknown province or territory, place of residence of mother",0.0,
13,1991,"Yukon, place of residence of mother",4306.0,
14,1992,"Alberta, place of residence of mother",253055.7,
15,1992,"British Columbia, place of residence of mother",277755.6,
16,1992,"Canada, place of residence of mother",2392008.4,
17,1992,"Manitoba, place of residence of mother",100429.5,
18,1992,"New Brunswick, place of residence of mother",57219.5,
19,1992,"Newfoundland and Labrador, place of residence of mother",42396.3,
20,1992,"Northwest Territories including Nunavut, place of residence of mother",10221.9,
21,1992,"Nova Scotia, place of residence of mother",72251.9,
22,1992,"Ontario, place of residence of mother",905560.4,
23,1992,"Prince Edward Island, place of residence of mother",11993.5,
24,1992,"Quebec, place of residence of mother",575990.7,
25,1992,"Saskatchewan, place of residence of mother",90953.8,
26,1992,"Unknown province or territory, place of residence of mother",0.0,
27,1992,"Yukon, place of residence of mother",4074.0,
28,1993,"Alberta, place of residence of mother",242608.0,
29,1993,"British Columbia, place of residence of mother",276848.8,
30,1993,"Canada, place of residence of mother",2332796.8,
31,1993,"Manitoba, place of residence of mother",101173.7,
32,1993,"New Brunswick, place of residence of mother",55187.5,
33,1993,"Newfoundland and Labrador, place of residence of mother",39423.9,
34,1993,"Northwest Territories including Nunavut, place of residence of mother",10255.0,
35,1993,"Nova Scotia, place of residence of mother",70508.5,
36,1993,"Ontario, place of residence of mother",889610.4,
37,1993,"Prince Edward Island, place of residence of mother",11419.199999999999,
38,1993,"Quebec, place of residence of mother",555147.1,
39,1993,"Saskatchewan, place of residence of mother",86561.8,
40,1993,"Unknown province or territory, place of residence of mother",0.0,
41,1993,"Yukon, place of residence of mother",3945.6,
42,1994,"Alberta, place of residence of mother",239599.5,
43,1994,"British Columbia, place of residence of mother",282418.3,
44,1994,"Canada, place of residence of mother",2315957.3,
45,1994,"Manitoba, place of residence of mother",99735.2,
46,1994,"New Brunswick, place of residence of mother",54770.0,
47,1994,"Newfoundland and Labrador, place of residence of mother",38913.8,
48,1994,"Northwest Territories including Nunavut, place of residence of mother",10370.7,
49,1994,"Nova Scotia, place of residence of mother",67781.1,
50,1994,"Ontario, place of residence of mother",888128.4,
51,1994,"Prince Edward Island, place of residence of mother",11187.0,
52,1994,"Quebec, place of residence of mother",544217.5,
53,1994,"Saskatchewan, place of residence of mother",85165.5,
54,1994,"Unknown province or territory, place of residence of mother",912.0,
55,1994,"Yukon, place of residence of mother",3549.2,
56,1995,"Alberta, place of residence of mother",234347.5,
57,1995,"British Columbia, place of residence of mother",281424.4,
58,1995,"Canada, place of residence of mother",2270474.6,
59,1995,"Manitoba, place of residence of mother",97577.3,
60,1995,"New Brunswick, place of residence of mother",52281.9,
61,1995,"Newfoundland and Labrador, place of residence of mother",36035.6,
62,1995,"Northwest Territories including Nunavut, place of residence of mother",10573.0,
63,1995,"Nova Scotia, place of residence of mother",65691.3,
64,1995,"Ontario, place of residence of mother",880284.2,
65,1995,"Prince Edward Island, place of residence of mother",11412.8,
66,1995,"Quebec, place of residence of mother",525107.4,
67,1995,"Saskatchewan, place of residence of mother",81915.7,
68,1995,"Unknown province or territory, place of residence of mother",0.0,
69,1995,"Yukon, place of residence of mother",3714.0,
70,1996,"Alberta, place of residence of mother",227995.30000000002,
71,1996,"British Columbia, place of residence of mother",277435.4,
72,1996,"Canada, place of residence of mother",2197874.6,
73,1996,"Manitoba, place of residence of mother",93755.8,
74,1996,"New Brunswick, place of residence of mother",49955.8,
75,1996,"Newfoundland and Labrador, place of residence of mother",35371.4,
76,1996,"Northwest Territories including Nunavut, place of residence of mother",10287.1,
77,1996,"Nova Scotia, place of residence of mother",64714.9,
78,1996,"Ontario, place of residence of mother",843205.0,
79,1996,"Prince Edward Island, place of residence of mother",11053.3,
80,1996,"Quebec, place of residence of mother",509683.4,
81,1996,"Saskatchewan, place of residence of mother",80749.3,
82,1996,"Unknown province or territory, place of residence of mother",0.0,
83,1996,"Yukon, place of residence of mother",3557.9,
84,1997,"Alberta, place of residence of mother",222294.0,
85,1997,"British Columbia, place of residence of mother",268162.9,
86,1997,"Canada, place of residence of mother",2095759.0,
87,1997,"Manitoba, place of residence of mother",88805.0,
88,1997,"New Brunswick, place of residence of mother",48419.3,
89,1997,"Newfoundland and Labrador, place of residence of mother",33364.9,
90,1997,"Northwest Territories including Nunavut, place of residence of mother",9720.9,
91,1997,"Nova Scotia, place of residence of mother",61016.7,
92,1997,"Ontario, place of residence of mother",802279.9,
93,1997,"Prince Edward Island, place of residence of mother",10432.9,
94,1997,"Quebec, place of residence of mother",479303.8,
95,1997,"Saskatchewan, place of residence of mother",78105.6,
96,1997,"Unknown province or territory, place of residence of mother",0.0,
97,1997,"Yukon, place of residence of mother",3743.7999999999997,
98,1998,"Alberta, place of residence of mother",228307.7,
99,1998,"British Columbia, place of residence of mother",259165.3,
100,1998,"Canada, place of residence of mother",2056286.7,
101,1998,"Manitoba, place of residence of mother",87641.7,
102,1998,"New Brunswick, place of residence of mother",48191.2,
103,1998,"Newfoundland and Labrador, place of residence of mother",30814.600000000002,
104,1998,"Northwest Territories including Nunavut, place of residence of mother",8686.8,
105,1998,"Nova Scotia, place of residence of mother",58967.0,
106,1998,"Ontario, place of residence of mother",797782.4,
107,1998,"Prince Edward Island, place of residence of mother",9927.9,
108,1998,"Quebec, place of residence of mother",455810.0,
109,1998,"Saskatchewan, place of residence of mother",77581.6,
110,1998,"Unknown province or territory, place of residence of mother",0.0,
111,1998,"Yukon, place of residence of mother",3276.3,
112,1999,"Alberta, place of residence of mother",229911.4,
113,1999,"British Columbia, place of residence of mother",252381.8,
114,1999,"Canada, place of residence of mother",2025777.0,
115,1999,"Manitoba, place of residence of mother",86723.7,
116,1999,"New Brunswick, place of residence of mother",46573.8,
117,1999,"Newfoundland and Labrador, place of residence of mother",31192.6,
118,1999,"Northwest Territories including Nunavut, place of residence of mother",9284.9,
119,1999,"Northwest Territories, place of residence of mother",5998.9,
120,1999,"Nova Scotia, place of residence of mother",58629.3,
121,1999,"Nunavut, place of residence of mother",4185.8,
122,1999,"Ontario, place of residence of mother",789084.2,
