Year,Province,Total PRs,Total TRs,Total Births,Total Deaths,Population Estimate
1991,Alberta,0,0,256630,28902,2572947
1991,Alberta,0,0,256630,28902,2580625
1991,Alberta,0,0,256630,28902,2592306
1991,Alberta,0,0,256630,28902,2604031
1991,Alberta,0,0,256630,28902,2572947
1991,Alberta,0,0,256630,28902,2580625
1991,Alberta,0,0,256630,28902,2592306
1991,Alberta,0,0,256630,28902,2604031
1991,British Columbia,0,0,273628,47954,3339935
1991,British Columbia,0,0,273628,47954,3352585
1991,British Columbia,0,0,273628,47954,3373787
1991,British Columbia,0,0,273628,47954,3404049
1991,British Columbia,0,0,273628,47954,3339935
1991,British Columbia,0,0,273628,47954,3352585
1991,British Columbia,0,0,273628,47954,3373787
1991,British Columbia,0,0,273628,47954,3404049
1991,Manitoba,0,0,103642,17886,1106196
1991,Manitoba,0,0,103642,17886,1107757
1991,Manitoba,0,0,103642,17886,1109604
1991,Manitoba,0,0,103642,17886,1109400
1991,Manitoba,0,0,103642,17886,1106196
1991,Manitoba,0,0,103642,17886,1107757
1991,Manitoba,0,0,103642,17886,1109604
1991,Manitoba,0,0,103642,17886,1109400
1991,New Brunswick,0,0,56978,10938,743210
1991,New Brunswick,0,0,56978,10938,744203
1991,New Brunswick,0,0,56978,10938,745567
1991,New Brunswick,0,0,56978,10938,745886
1991,New Brunswick,0,0,56978,10938,743210
1991,New Brunswick,0,0,56978,10938,744203
1991,New Brunswick,0,0,56978,10938,745567
1991,New Brunswick,0,0,56978,10938,745886
1991,Newfoundland and Labrador,0,0,42968,7596,577377
1991,Newfoundland and Labrador,0,0,42968,7596,578397
1991,Newfoundland and Labrador,0,0,42968,7596,579644
1991,Newfoundland and Labrador,0,0,42968,7596,579549
1991,Newfoundland and Labrador,0,0,42968,7596,577377
1991,Newfoundland and Labrador,0,0,42968,7596,578397
1991,Newfoundland and Labrador,0,0,42968,7596,579644
1991,Newfoundland and Labrador,0,0,42968,7596,579549
1991,Northwest Territories including Nunavut,0,0,9812,474,59711
1991,Northwest Territories including Nunavut,0,0,9812,474,60226
1991,Northwest Territories including Nunavut,0,0,9812,474,60878
1991,Northwest Territories including Nunavut,0,0,9812,474,59711
1991,Northwest Territories including Nunavut,0,0,9812,474,60226
1991,Northwest Territories including Nunavut,0,0,9812,474,60878
1991,Nova Scotia,0,0,72112,14510,912792
1991,Nova Scotia,0,0,72112,14510,912889
1991,Nova Scotia,0,0,72112,14510,914969
1991,Nova Scotia,0,0,72112,14510,916896
1991,Nova Scotia,0,0,72112,14510,912792
1991,Nova Scotia,0,0,72112,14510,912889
1991,Nova Scotia,0,0,72112,14510,914969
1991,Nova Scotia,0,0,72112,14510,916896
1991,Ontario,0,0,909316,145834,10355101
1991,Ontario,0,0,909316,145834,10385937
1991,Ontario,0,0,909316,145834,10431316
1991,Ontario,0,0,909316,145834,10465562
1991,Ontario,0,0,909316,145834,10355101
1991,Ontario,0,0,909316,145834,10385937
1991,Ontario,0,0,909316,145834,10431316
1991,Ontario,0,0,909316,145834,10465562
1991,Prince Edward Island,0,0,11296,2376,130477
1991,Prince Edward Island,0,0,11296,2376,130453
1991,Prince Edward Island,0,0,11296,2376,130369
1991,Prince Edward Island,0,0,11296,2376,130360
1991,Prince Edward Island,0,0,11296,2376,130477
1991,Prince Edward Island,0,0,11296,2376,130453
1991,Prince Edward Island,0,0,11296,2376,130369
1991,Prince Edward Island,0,0,11296,2376,130360
1991,Quebec,0,0,581654,98242,7026241
1991,Quebec,0,0,581654,98242,7044395
1991,Quebec,0,0,581654,98242,7067396
1991,Quebec,0,0,581654,98242,7080336
